NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	MRIUnit	Mammography	Radiotherapy
1	6508863.00	0.00	295375.00	38.40	186.09	106.34	103.38	0.00	0.00	0.00
1	3025053.00	0.00	173721.00	22.58	109.44	62.54	60.80	0.00	0.00	0.00
1	2979590.00	0.00	761798.00	99.03	479.93	274.25	266.63	0.00	0.00	0.00
1	2999908.00	0.00	341977.00	44.46	215.45	123.11	119.69	0.00	0.00	0.00
1	3019259.00	0.00	26226.00	3.41	16.52	9.44	9.18	0.00	0.00	0.00
1	3026823.00	0.00	66928.00	8.70	42.16	24.09	23.42	0.00	0.00	0.00
1	2992206.00	0.00	101008.00	13.13	63.63	36.36	35.35	0.00	0.00	0.00
1	2973748.00	0.00	76017.00	9.88	47.89	27.37	26.61	0.00	0.00	0.00
1	6436516.00	0.00	8814.00	1.15	5.55	3.17	3.08	0.00	0.00	0.00
1	2981146.00	0.00	57640.00	7.49	36.31	20.75	20.17	0.00	0.00	0.00
1	3031220.00	0.00	83245.00	10.82	52.44	29.97	29.14	0.00	0.00	0.00
1	3004763.00	0.00	31608.00	4.11	19.91	11.38	11.06	0.00	0.00	0.00
1	3036512.00	0.00	75852.00	9.86	47.79	27.31	26.55	0.00	0.00	0.00
1	2997855.00	0.00	99959.00	12.99	62.97	35.99	34.99	0.00	0.00	0.00
1	2979928.00	0.00	216245.00	28.11	136.23	77.85	75.69	0.00	0.00	0.00
1	2974701.00	0.00	47063.00	6.12	29.65	16.94	16.47	0.00	0.00	0.00
1	3029775.00	0.00	12325.00	1.60	7.76	4.44	4.31	0.00	0.00	0.00
1	3010044.00	0.00	36172.00	4.70	22.79	13.02	12.66	0.00	0.00	0.00
1	3007004.00	0.00	91350.00	11.88	57.55	32.89	31.97	0.00	0.00	0.00
1	2980905.00	0.00	41696.00	5.42	26.27	15.01	14.59	0.00	0.00	0.00
1	3003653.00	0.00	33876.00	4.40	21.34	12.20	11.86	0.00	0.00	0.00
1	2977659.00	0.00	29413.00	3.82	18.53	10.59	10.29	0.00	0.00	0.00
1	2977600.00	0.00	61459.00	7.99	38.72	22.13	21.51	0.00	0.00	0.00
1	2985490.00	0.00	102096.00	13.27	64.32	36.75	35.73	0.00	0.00	0.00
1	2982188.00	0.00	12344.00	1.60	7.78	4.44	4.32	0.00	0.00	0.00
1	2989820.00	0.00	39320.00	5.11	24.77	14.16	13.76	0.00	0.00	0.00
1	2975467.00	0.00	16446.00	2.14	10.36	5.92	5.76	0.00	0.00	0.00
1	3006640.00	0.00	56580.00	7.36	35.65	20.37	19.80	0.00	0.00	0.00
1	6442669.00	0.00	51818.00	6.74	32.65	18.65	18.14	0.00	0.00	0.00
1	3017456.00	0.00	32768.00	4.26	20.64	11.80	11.47	0.00	0.00	0.00
1	2970534.00	0.00	28169.00	3.66	17.75	10.14	9.86	0.00	0.00	0.00
1	3026808.00	0.00	15439.00	2.01	9.73	5.56	5.40	0.00	0.00	0.00
1	2976839.00	0.00	109506.00	14.24	68.99	39.42	38.33	0.00	0.00	0.00
1	2990679.00	0.00	20995.00	2.73	13.23	7.56	7.35	0.00	0.00	0.00
1	2999825.00	0.00	21151.00	2.75	13.33	7.61	7.40	0.00	0.00	0.00
1	3003726.00	0.00	24122.00	3.14	15.20	8.68	8.44	0.00	0.00	0.00
1	2997433.00	0.00	43364.00	5.64	27.32	15.61	15.18	0.00	0.00	0.00
1	3014683.00	0.00	46568.00	6.05	29.34	16.76	16.30	0.00	0.00	0.00
