lat_departure,lon_departure,lat_arrival,lon_arrival
46.3408,2.6033,46.3408,2.6033,
46.3603,2.5344,46.3408,2.6033,
46.2889,2.7417,46.3408,2.6033,
46.3544,2.6192,46.3408,2.6033,
46.3731,2.4767,46.3408,2.6033,
46.2878,2.6614,46.3408,2.6033,
46.3133,2.5356,46.3408,2.6033,
46.395,2.6081,46.3408,2.6033,
46.3272,2.5103,46.3408,2.6033,
46.2519,2.7017,46.3408,2.6033,
46.2669,2.6386,46.3408,2.6033,
46.3964,2.8572,46.3408,2.6033,
46.3356,2.7972,46.3408,2.6033,
46.31,2.6003,46.3408,2.6033,
46.4267,2.5972,46.3408,2.6033,
46.4253,2.6186,46.3408,2.6033,
46.3328,2.7025,46.3408,2.6033,
46.3627,6.475,46.3627,6.475,
46.4006,6.59,46.3627,6.475,
46.3878,6.5442,46.3627,6.475,
46.3319,6.3739,46.3627,6.475,
46.305,6.3036,46.3627,6.475,
46.2644,6.3703,46.3627,6.475,
46.335,6.4633,46.3627,6.475,
46.2719,6.2589,46.3627,6.475,
46.2358,6.3214,46.3627,6.475,
46.395,6.6125,46.3627,6.475,
46.3281,6.2686,46.3627,6.475,
46.4025,6.6653,46.3627,6.475,
46.3786,6.6303,46.3627,6.475,
46.355,6.4269,46.3627,6.475,
46.3381,6.4322,46.3627,6.475,
46.3511,6.2917,46.3627,6.475,
46.3042,6.4428,46.3627,6.475,
46.2089,6.4047,46.3627,6.475,
46.3764,6.5292,46.3627,6.475,
46.3372,6.5219,46.3627,6.475,
46.2347,6.6556,46.3627,6.475,
46.3161,6.3336,46.3627,6.475,
46.2992,6.3292,46.3627,6.475,
46.2489,6.4725,46.3627,6.475,
46.3994,6.6331,46.3627,6.475,
46.3686,6.5728,46.3627,6.475,
46.3533,6.5631,46.3627,6.475,
46.3614,6.675,46.3627,6.475,
46.3483,6.52,46.3627,6.475,
46.2569,6.5311,46.3627,6.475,
46.2858,6.4414,46.3627,6.475,
46.3536,6.3539,46.3627,6.475,
46.1925,6.4297,46.3627,6.475,
46.3711,6.5531,46.3627,6.475,
46.2733,6.3939,46.3627,6.475,
46.3125,6.4919,46.3627,6.475,
46.37,6.3267,46.3627,6.475,
45.0464,5.0517,45.0464,5.0517,
45.0672,4.8328,45.0464,5.0517,
45.0378,5.05,45.0464,5.0517,
45.0706,4.8425,45.0464,5.0517,
45.0067,5.0908,45.0464,5.0517,
45.1231,4.9828,45.0464,5.0517,
45.0139,4.9347,45.0464,5.0517,
45.0714,5.0514,45.0464,5.0517,
45.0186,5.2922,45.0464,5.0517,
45.0931,5.0472,45.0464,5.0517,
45.0817,4.8139,45.0464,5.0517,
45.0836,5.0847,45.0464,5.0517,
44.9639,4.8483,45.0464,5.0517,
45.0761,4.8908,45.0464,5.0517,
45.0781,4.9594,45.0464,5.0517,
45.1008,5.2481,45.0464,5.0517,
45.1692,4.8719,45.0464,5.0517,
45.0675,5.1328,45.0464,5.0517,
44.9383,5.0928,45.0464,5.0517,
45.0878,5.2011,45.0464,5.0517,
45.0881,5.1308,45.0464,5.0517,
45.1106,4.8969,45.0464,5.0517,
45.0747,5.2839,45.0464,5.0517,
45.175,5.2167,45.0464,5.0517,
45.0383,4.8294,45.0464,5.0517,
45.1469,5.0358,45.0464,5.0517,
45.0969,4.8639,45.0464,5.0517,
45.0781,5.1783,45.0464,5.0517,
44.9731,5.1517,45.0464,5.0517,
45.5242,4.8781,45.5242,4.8781,
45.6631,4.9531,45.5242,4.8781,
45.3719,4.8117,45.5242,4.8781,
45.3731,4.7975,45.5242,4.8781,
45.3969,4.7747,45.5242,4.8781,
45.6189,4.6722,45.5242,4.8781,
45.5303,4.9111,45.5242,4.8781,
45.6292,5.0633,45.5242,4.8781,
45.5022,5.1378,45.5242,4.8781,
45.6489,4.7947,45.5242,4.8781,
45.3444,4.8192,45.5242,4.8781,
45.4631,4.7678,45.5242,4.8781,
45.44,4.7731,45.5242,4.8781,
45.4183,4.6808,45.5242,4.8781,
45.5169,4.9647,45.5242,4.8781,
45.5558,5.0775,45.5242,4.8781,
45.4147,4.7311,45.5242,4.8781,
45.5886,5.0942,45.5242,4.8781,
45.4892,4.81,45.5242,4.8781,
45.585,4.9992,45.5242,4.8781,
45.5606,4.8061,45.5242,4.8781,
45.4731,4.9989,45.5242,4.8781,
45.4964,4.9083,45.5242,4.8781,
45.6414,4.6856,45.5242,4.8781,
45.5522,5.0042,45.5242,4.8781,
45.4558,4.8669,45.5242,4.8781,
45.56,4.8456,45.5242,4.8781,
45.4681,4.8408,45.5242,4.8781,
45.5369,5.1081,45.5242,4.8781,
45.5325,4.8619,45.5242,4.8781,
45.4531,4.7678,45.5242,4.8781,
45.5119,5.0161,45.5242,4.8781,
45.5253,4.8667,45.5242,4.8781,
45.5858,4.695,45.5242,4.8781,
45.5519,4.7156,45.5242,4.8781,
45.3828,4.7494,45.5242,4.8781,
45.4608,4.8117,45.5242,4.8781,
45.5611,5.0208,45.5242,4.8781,
45.5219,4.6247,45.5242,4.8781,
45.4072,4.8681,45.5242,4.8781,
45.4244,4.8181,45.5242,4.8781,
45.4142,4.7908,45.5242,4.8781,
45.4436,4.7933,45.5242,4.8781,
45.4219,4.9053,45.5242,4.8781,
45.6064,4.7322,45.5242,4.8781,
45.5158,4.8525,45.5242,4.8781,
45.3547,4.9069,45.5242,4.8781,
45.3619,4.8636,45.5242,4.8781,
45.4758,5.1022,45.5242,4.8781,
45.34,4.8572,45.5242,4.8781,
45.5186,5.0792,45.5242,4.8781,
45.4289,4.8397,45.5242,4.8781,
45.3469,4.8819,45.5242,4.8781,
44.9261,2.4406,44.9261,2.4406,
44.9039,2.4567,44.9261,2.4406,
44.9119,2.3625,44.9261,2.4406,
44.9589,2.4189,44.9261,2.4406,
44.9875,2.4231,44.9261,2.4406,
44.98,2.625,44.9261,2.4406,
44.9436,2.3144,44.9261,2.4406,
44.8836,2.3478,44.9261,2.4406,
44.8931,2.5194,44.9261,2.4406,
44.9517,2.5775,44.9261,2.4406,
44.9631,2.49,44.9261,2.4406,
44.9736,2.4211,44.9261,2.4406,
44.8569,2.3906,44.9261,2.4406,
45.76,4.84,45.696,4.793,
45.7667,4.8803,45.696,4.793,
45.6978,4.8867,45.696,4.793,
45.7768,4.9186,45.696,4.793,
