CODIGO_O	                        ORIGEM	CODIGO_D	                       DESTINO	      DISTANCIA
2992292	                    Montluçon	2992292	                    Montluçon	    0.00
8288785	                      Domérat	2992292	                    Montluçon	    0.14
3024090	                     Commentry	2992292	                    Montluçon	    0.30
6446574	                   Désertines	2992292	                    Montluçon	    0.05
3012962	                        Huriel	2992292	                    Montluçon	    0.26
2990767	              Néris-les-Bains	2992292	                    Montluçon	    0.18
2985455	                    Prémilhat	2992292	                    Montluçon	    0.15
2976667	                  Saint-Victor	2992292	                    Montluçon	    0.15
2984657	                   Quinssaines	2992292	                    Montluçon	    0.18
3020648	                    Larequille	2992292	                    Montluçon	    0.31
2968855	                     Villebret	2992292	                    Montluçon	    0.22
2968760	       Villefranche-d’Allier	2992292	                    Montluçon	    0.51
3020867	                         Doyet	2992292	                    Montluçon	    0.37
3005737	           Lavault-Sainte-Anne	2992292	                    Montluçon	    0.09
2970386	                          Vaux	2992292	                    Montluçon	    0.24
3002334	                 Estivareilles	2992292	                    Montluçon	    0.24
3010769	                      Chamblet	2992292	                    Montluçon	    0.19
2972742	              Thonon-les-Bains	2972742	              Thonon-les-Bains	    0.00
3019280	              Évian-les-Bains	2972742	              Thonon-les-Bains	    0.24
2985163	                       Publier	2972742	              Thonon-les-Bains	    0.15
6443051	                         Sciez	2972742	              Thonon-les-Bains	    0.21
3020894	                      Douvaine	2972742	              Thonon-les-Bains	    0.37
3031644	              Bons-en-Chablais	2972742	              Thonon-les-Bains	    0.34
3038099	                      Allinges	2972742	              Thonon-les-Bains	    0.08
2970236	                         Veigy	2972742	              Thonon-les-Bains	    0.49
6443032	                 Saint-Cergues	2972742	              Thonon-les-Bains	    0.46
2990590	                    Neuvecelle	2972742	              Thonon-les-Bains	    0.28
3025493	              Chens-sur-Léman	2972742	              Thonon-les-Bains	    0.41
6442973	                        Lugrin	2972742	              Thonon-les-Bains	    0.38
2977664	        Saint-Paul-en-Chablais	2972742	              Thonon-les-Bains	    0.30
3037457	              Anthy-sur-Léman	2972742	              Thonon-les-Bains	    0.09
6442980	                     Margencel	2972742	              Thonon-les-Bains	    0.11
2994189	                       Messery	2972742	              Thonon-les-Bains	    0.35
6443021	                    Perrignier	2972742	              Thonon-les-Bains	    0.17
6455255	                        Boëge	2972742	              Thonon-les-Bains	    0.45
2995713	                         Marin	2972742	              Thonon-les-Bains	    0.11
6442975	                         Lyaud	2972742	              Thonon-les-Bains	    0.11
6443038	          Saint-Jean-d’Aulps	2972742	              Thonon-les-Bains	    0.50
2995212	                      Massongy	2972742	              Thonon-les-Bains	    0.30
3035229	                     Ballaison	2972742	              Thonon-les-Bains	    0.33
3014112	                 Habère-Poche	2972742	              Thonon-les-Bains	    0.32
2994948	            Maxilly-sur-Léman	2972742	              Thonon-les-Bains	    0.32
3006617	                     Larringes	2972742	              Thonon-les-Bains	    0.19
6442954	                     Féternes	2972742	              Thonon-les-Bains	    0.17
3033283	                        Bernex	2972742	              Thonon-les-Bains	    0.38
3036881	                         Armoy	2972742	              Thonon-les-Bains	    0.10
3033653	                     Bellevaux	2972742	              Thonon-les-Bains	    0.31
3027810	                       Cervens	2972742	              Thonon-les-Bains	    0.22
3019254	                     Excenevex	2972742	              Thonon-les-Bains	    0.23
6451021	                       Bogève	2972742	              Thonon-les-Bains	    0.48
3027225	                    Champanges	2972742	              Thonon-les-Bains	    0.15
6451026	                    Brenthonne	2972742	              Thonon-les-Bains	    0.29
2989420	                        Orcier	2972742	              Thonon-les-Bains	    0.14
2967181	                        Yvoire	2972742	              Thonon-les-Bains	    0.29
6430196	             Romans-sur-Isère	6430196	             Romans-sur-Isère	    0.00
2972214	            Tournon-sur-Rhône	6430196	             Romans-sur-Isère	    0.43
6447896	               Bourg-de-Péage	6430196	             Romans-sur-Isère	    0.00
6430251	            Tain-l’Hermitage	6430196	             Romans-sur-Isère	    0.42
6447918	          Chatuzange-le-Goubet	6430196	             Romans-sur-Isère	    0.13
2980803	  Saint-Donat-sur-l’Herbasse	6430196	             Romans-sur-Isère	    0.25
6616247	       Châteauneuf-sur-Isère	6430196	             Romans-sur-Isère	    0.25
6430155	           Mours-Saint-Eusèbe	6430196	             Romans-sur-Isère	    0.07
2979239	          Saint-Jean-en-Royans	6430196	             Romans-sur-Isère	    0.48
2987484	                       Peyrins	6430196	             Romans-sur-Isère	    0.13
2979298	          Saint-Jean-de-Muzols	6430196	             Romans-sur-Isère	    0.48
6430094	                   Génissieux	6430196	             Romans-sur-Isère	    0.12
3023617	                        Cornas	6430196	             Romans-sur-Isère	    0.46
6430122	                      Mercurol	6430196	             Romans-sur-Isère	    0.33
3024651	                     Clérieux	6430196	             Romans-sur-Isère	    0.20
2972606	       Saint-Hilaire-du-Rosier	6430196	             Romans-sur-Isère	    0.41
2981452	     Saint-Barthélemy-de-Vals	6430196	             Romans-sur-Isère	    0.49
2977645	        Saint-Paul-lès-Romans	6430196	             Romans-sur-Isère	    0.17
3026502	                       Charpey	6430196	             Romans-sur-Isère	    0.31
2978974	                 Saint-Lattier	6430196	             Romans-sur-Isère	    0.32
3026062	         Châtillon-Saint-Jean	6430196	             Romans-sur-Isère	    0.19
6447907	         Chantemerle-les-Blés	6430196	             Romans-sur-Isère	    0.35
2979014	           Saint-Just-de-Claix	6430196	             Romans-sur-Isère	    0.46
12319247	      Saint-Antoine l’Abbaye	6430196	             Romans-sur-Isère	    0.48
2994983	                        Mauves	6430196	             Romans-sur-Isère	    0.44
2995798	                       Margès	6430196	             Romans-sur-Isère	    0.28
3006871	                       Larnage	6430196	             Romans-sur-Isère	    0.39
3019211	                        Eymeux	6430196	             Romans-sur-Isère	    0.26
2983264	              Rochefort-Samson	6430196	             Romans-sur-Isère	    0.28
2969280	                        Vienne	2969280	                        Vienne	    0.00
2993780	                         Mions	2969280	                        Vienne	    0.41
2969432	                    Roussillon	2969280	                        Vienne	    0.44
3002988	       Le Péage-de-Roussillon	2969280	                        Vienne	    0.45
6433371	        Saint-Maurice-l’Exil	2969280	                        Vienne	    0.41
2991743	                       Mornant	2969280	                        Vienne	    0.48
2986191	                 Pont-Évêque	2969280	                        Vienne	    0.07
3013305	                      Heyrieux	2969280	                        Vienne	    0.46
2979342	         Saint-Jean-de-Bournay	2969280	                        Vienne	    0.51
3026606	                        Charly	2969280	                        Vienne	    0.38
8292479	             Salaise-sur-Sanne	2969280	                        Vienne	    0.51
3023937	                      Condrieu	2969280	                        Vienne	    0.27
2981085	         Saint-Clair-du-Rhône	2969280	                        Vienne	    0.31
2988160	                     Pélussin	2969280	                        Vienne	    0.48
6433194	                     Estrablin	2969280	                        Vienne	    0.17
2979918	 Saint-Georges-d’Espéranche	2969280	                        Vienne	    0.40
3025760	                      Chavanay	2969280	                        Vienne	    0.42
3021419	                       Diémoz	2969280	                        Vienne	    0.46
3037813	                        Ampuis	2969280	                        Vienne	    0.16
2979017	         Saint-Just-Chaleyssin	2969280	                        Vienne	    0.29
6617450	              Loire-sur-Rhône	2969280	                        Vienne	    0.17
3019176	                   Eyzin-Pinet	2969280	                        Vienne	    0.28
3012487	                        Jardin	2969280	                        Vienne	    0.10
2978945	        Saint-Laurent-d’Agny	2969280	                        Vienne	    0.50
6433412	                      Septème	2969280	                        Vienne	    0.26
6616654	           Les Côtes-d’Arey	2969280	                        Vienne	    0.19
6433418	                      Seyssuel	2969280	                        Vienne	    0.12
2983825	              Reventin-Vaugris	2969280	                        Vienne	    0.17
3026728	                  Charantonnay	2969280	                        Vienne	    0.45
2977137	           Saint-Romain-en-Gal	2969280	                        Vienne	    0.04
2999742	        Les Roches-de-Condrieu	2969280	                        Vienne	    0.29
6433245	                       Moidieu	2969280	                        Vienne	    0.27
2980691	                Sainte-Colombe	2969280	                        Vienne	    0.00
2981793	     Saint-Andéol-le-Château	2969280	                        Vienne	    0.40
3004536	                      Échalas	2969280	                        Vienne	    0.33
2977535	         Saint-Pierre-de-Bœuf	2969280	                        Vienne	    0.47
6612505	           Chonas-l’Amballan	2969280	                        Vienne	    0.22
6433274	            Oytier-Saint-Oblas	2969280	                        Vienne	    0.30
6616758	                  Châteauneuf	2969280	                        Vienne	    0.49
6448715	                        Assieu	2969280	                        Vienne	    0.33
