CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
2992292,Montluçon,2992292,Montluçon,0.00,3
2983489,Riom,2992292,Montluçon,1.58,3
2967166,Yzeure,2992292,Montluçon,1.57,3
2972742,Thonon-les-Bains,2972742,Thonon-les-Bains,0.00,3
2970831,Bellegarde-sur-Valserine,2972742,Thonon-les-Bains,1.44,3
3027301,Chamonix-Mont-Blanc,2972742,Thonon-les-Bains,1.44,3
6430196,Romans-sur-Isère,6430196,Romans-sur-Isère,0.00,3
3019238,Eybens,6430196,Romans-sur-Isère,1.40,3
2985290,Privas,6430196,Romans-sur-Isère,1.24,3
2969280,Vienne,2969280,Vienne,0.00,3
2993277,Monistrol-sur-Loire,2969280,Vienne,1.52,3
3021729,Dardilly,2969280,Vienne,0.82,3
3036016,Aurillac,3036016,Aurillac,0.00,3
