NIVEL,CODIGO,DESTINO,POP ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
1,2992292,Montluçon,75146.00,9.77,47.34,27.05,26.30,0.00,0.00,0.00,0.00,0.00
1,2972742,Thonon-les-Bains,127476.00,16.57,80.31,45.89,44.62,0.00,0.00,0.00,0.00,0.00
1,6430196,Romans-sur-Isère,112707.00,14.65,71.01,40.57,39.45,0.00,0.00,0.00,0.00,0.00
1,2969280,Vienne,177942.00,23.13,112.10,64.06,62.28,0.00,0.00,0.00,0.00,0.00
1,3036016,Aurillac,50582.00,6.58,31.87,18.21,17.70,0.00,0.00,0.00,0.00,0.00
1,2979985,Saint-Genis-Laval,1483677.00,192.88,934.72,534.12,519.29,0.00,0.00,0.00,0.00,0.00
1,2983489,Riom,369099.00,47.98,232.53,132.88,129.18,0.00,0.00,0.00,0.00,0.00
1,2967166,Yzeure,44661.00,5.81,28.14,16.08,15.63,0.00,0.00,0.00,0.00,0.00
1,2970831,Bellegarde-sur-Valserine,33987.00,4.42,21.41,12.24,11.90,0.00,0.00,0.00,0.00,0.00
1,3019238,Eybens,473548.00,61.56,298.34,170.48,165.74,0.00,0.00,0.00,0.00,0.00
1,2993277,Monistrol-sur-Loire,55628.00,7.23,35.05,20.03,19.47,0.00,0.00,0.00,0.00,0.00
1,3021729,Dardilly,14554.00,1.89,9.17,5.24,5.09,0.00,0.00,0.00,0.00,0.00
1,3027301,Chamonix-Mont-Blanc,51390.00,6.68,32.38,18.50,17.99,0.00,0.00,0.00,0.00,0.00
1,2985290,Privas,71916.00,9.35,45.31,25.89,25.17,0.00,0.00,0.00,0.00,0.00
1,3015823,Gleizé,246420.00,32.03,155.24,88.71,86.25,0.00,0.00,0.00,0.00,0.00
1,2977350,Saint-Priest-en-Jarez,472486.00,61.42,297.67,170.09,165.37,0.00,0.00,0.00,0.00,0.00
1,3007730,Langeac,6458.00,0.84,4.07,2.32,2.26,0.00,0.00,0.00,0.00,0.00
1,6451052,Contamine-sur-Arve,260970.00,33.93,164.41,93.95,91.34,0.00,0.00,0.00,0.00,0.00
1,3025274,Chevry,84090.00,10.93,52.98,30.27,29.43,0.00,0.00,0.00,0.00,0.00
1,2991179,Murat,8220.00,1.07,5.18,2.96,2.88,0.00,0.00,0.00,0.00,0.00
1,6430138,Montéléger,197355.00,25.66,124.33,71.05,69.07,0.00,0.00,0.00,0.00,0.00
1,2996874,Mâcot-la-Plagne,35740.00,4.65,22.52,12.87,12.51,0.00,0.00,0.00,0.00,0.00
1,2971074,Val-d’Isère,1577.00,0.20,0.99,0.57,0.55,0.00,0.00,0.00,0.00,0.00
1,2978623,Saint-Mamet-la-Salvetat,3677.00,0.48,2.32,1.32,1.29,0.00,0.00,0.00,0.00,0.00
1,2994806,Méaudre,24932.00,3.24,15.71,8.98,8.73,0.00,0.00,0.00,0.00,0.00
1,2993323,Monestier-de-Clermont,9251.00,1.20,5.83,3.33,3.24,0.00,0.00,0.00,0.00,0.00
1,3003517,Le Mayet-de-Montagne,15998.00,2.08,10.08,5.76,5.60,0.00,0.00,0.00,0.00,0.00
1,6614502,Lempdes-sur-Allagnon,39717.00,5.16,25.02,14.30,13.90,0.00,0.00,0.00,0.00,0.00
1,6430201,Saillans,5986.00,0.78,3.77,2.16,2.10,0.00,0.00,0.00,0.00,0.00
1,3027880,Cérilly,10382.00,1.35,6.54,3.74,3.63,0.00,0.00,0.00,0.00,0.00
1,2979705,Saint-Gervais-d’Auvergne,7097.00,0.92,4.47,2.55,2.48,0.00,0.00,0.00,0.00,0.00
1,3004433,Le Crest,44855.00,5.83,28.26,16.15,15.70,0.00,0.00,0.00,0.00,0.00
1,2987922,Pérouges,70791.00,9.20,44.60,25.48,24.78,0.00,0.00,0.00,0.00,0.00
1,6424578,Malafretaz,65465.00,8.51,41.24,23.57,22.91,0.00,0.00,0.00,0.00,0.00
1,6424542,Groissiat,40433.00,5.26,25.47,14.56,14.15,0.00,0.00,0.00,0.00,0.00
1,3000902,Les Gets,12383.00,1.61,7.80,4.46,4.33,0.00,0.00,0.00,0.00,0.00
1,2985835,Pouilly-lès-Feurs,50281.00,6.54,31.68,18.10,17.60,0.00,0.00,0.00,0.00,0.00
1,3036723,Arsac-en-Velay,64941.00,8.44,40.91,23.38,22.73,0.00,0.00,0.00,0.00,0.00
1,6448959,Boisset-lès-Montrond,34417.00,4.47,21.68,12.39,12.05,0.00,0.00,0.00,0.00,0.00
1,6424514,Dompierre-sur-Veyle,112183.00,14.58,70.68,40.39,39.26,0.00,0.00,0.00,0.00,0.00
1,3010460,La Chambre,13187.00,1.71,8.31,4.75,4.62,0.00,0.00,0.00,0.00,0.00
1,6434284,Saint-Just-en-Chevalet,17668.00,2.30,11.13,6.36,6.18,0.00,0.00,0.00,0.00,0.00
1,2977050,Saint-Sauves-d’Auvergne,5235.00,0.68,3.30,1.88,1.83,0.00,0.00,0.00,0.00,0.00
1,3022100,Culhat,35975.00,4.68,22.66,12.95,12.59,0.00,0.00,0.00,0.00,0.00
1,2990587,Neuvéglise,2306.00,0.30,1.45,0.83,0.81,0.00,0.00,0.00,0.00,0.00
1,6455737,La Garde-Adhémar,45404.00,5.90,28.60,16.35,15.89,0.00,0.00,0.00,0.00,0.00
1,2967945,Virieu-le-Grand,32463.00,4.22,20.45,11.69,11.36,0.00,0.00,0.00,0.00,0.00
1,2977132,Saint-Romain-Lachalm,5290.00,0.69,3.33,1.90,1.85,0.00,0.00,0.00,0.00,0.00
1,2978326,Saint-Martin-de-Valamas,13405.00,1.74,8.45,4.83,4.69,0.00,0.00,0.00,0.00,0.00
1,2992777,Mont-de-Lans,7583.00,0.99,4.78,2.73,2.65,0.00,0.00,0.00,0.00,0.00
1,2972868,Thiel-sur-Acolin,12772.00,1.66,8.05,4.60,4.47,0.00,0.00,0.00,0.00,0.00
1,6454096,Virieu,192003.00,24.96,120.96,69.12,67.20,0.00,0.00,0.00,0.00,0.00
1,3022800,Coutouvre,108609.00,14.12,68.42,39.10,38.01,0.00,0.00,0.00,0.00,0.00
1,2973493,Talencieux,91784.00,11.93,57.82,33.04,32.12,0.00,0.00,0.00,0.00,0.00
1,2968019,Vinsobres,19806.00,2.57,12.48,7.13,6.93,0.00,0.00,0.00,0.00,0.00
