NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
2	2990919	Narbonne	682075.00	35.58	20.53	49.27	0.00	81.43	0.34	0.25	0.11	0.01
2	2973385	Tarbes	161157.00	25.31	14.60	35.04	0.00	57.91	0.24	0.18	0.08	0.00
2	2991153	Muret	231762.00	13.92	8.03	19.28	0.00	31.86	0.13	0.10	0.04	0.00
2	6427003	Rodez	177989.00	16.62	9.59	23.01	0.00	38.03	0.16	0.12	0.05	0.00
2	2993875	Millau	40665.00	11.98	6.91	16.59	0.00	27.41	0.12	0.08	0.04	0.00
2	3036281	Auch	1229616.00	20.81	12.00	28.81	0.00	47.61	0.20	0.14	0.06	0.00
2	3028337	Castelnau-le-Lez	1261358.00	18.03	10.40	24.96	0.00	41.26	0.17	0.12	0.06	0.00
2	2994617	Mende	32082.00	9.38	5.41	12.99	0.00	21.47	0.09	0.06	0.03	0.00
2	3029302	Cabestany	97003.00	7.68	4.43	10.63	0.00	17.57	0.07	0.05	0.02	0.00
2	3018506	Figeac	140525.00	8.66	5.00	11.99	0.00	19.82	0.08	0.06	0.03	0.00
2	3018174	Foix	223972.00	9.62	5.55	13.32	0.00	22.02	0.09	0.07	0.03	0.00
2	6431321	Marguerittes	265638.00	5.60	3.23	7.75	0.00	12.81	0.05	0.04	0.02	0.00
2	2987376	Pibrac	208052.00	6.72	3.88	9.31	0.00	15.39	0.06	0.05	0.02	0.00
