NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP ATENDIDA,ATEND_FTE
1,2990919,Narbonne,1,Physicians,153325,19.93
1,2990919,Narbonne,2,Nurses,153325,96.59
1,2990919,Narbonne,3,OtherCadres,153325,55.20
1,2990919,Narbonne,4,CommunityBased,153325,53.66
1,2990919,Narbonne,5,Beds,153325,0.00
1,2990919,Narbonne,6,CTScanner,153325,0.00
1,2990919,Narbonne,7,MRIUnit,153325,0.00
1,2990919,Narbonne,8,Mammography,153325,0.00
1,2990919,Narbonne,9,Radiotherapy,153325,0.00
1,2973385,Tarbes,1,Physicians,117115,15.22
1,2973385,Tarbes,2,Nurses,117115,73.78
1,2973385,Tarbes,3,OtherCadres,117115,42.16
1,2973385,Tarbes,4,CommunityBased,117115,40.99
1,2973385,Tarbes,5,Beds,117115,0.00
1,2973385,Tarbes,6,CTScanner,117115,0.00
1,2973385,Tarbes,7,MRIUnit,117115,0.00
1,2973385,Tarbes,8,Mammography,117115,0.00
1,2973385,Tarbes,9,Radiotherapy,117115,0.00
1,2991153,Muret,1,Physicians,121837,15.84
1,2991153,Muret,2,Nurses,121837,76.76
1,2991153,Muret,3,OtherCadres,121837,43.86
1,2991153,Muret,4,CommunityBased,121837,42.64
1,2991153,Muret,5,Beds,121837,0.00
1,2991153,Muret,6,CTScanner,121837,0.00
1,2991153,Muret,7,MRIUnit,121837,0.00
1,2991153,Muret,8,Mammography,121837,0.00
1,2991153,Muret,9,Radiotherapy,121837,0.00
1,6427003,Rodez,1,Physicians,80188,10.42
1,6427003,Rodez,2,Nurses,80188,50.52
1,6427003,Rodez,3,OtherCadres,80188,28.87
1,6427003,Rodez,4,CommunityBased,80188,28.07
1,6427003,Rodez,5,Beds,80188,0.00
1,6427003,Rodez,6,CTScanner,80188,0.00
1,6427003,Rodez,7,MRIUnit,80188,0.00
1,6427003,Rodez,8,Mammography,80188,0.00
1,6427003,Rodez,9,Radiotherapy,80188,0.00
1,2993875,Millau,1,Physicians,27915,3.63
1,2993875,Millau,2,Nurses,27915,17.59
1,2993875,Millau,3,OtherCadres,27915,10.05
1,2993875,Millau,4,CommunityBased,27915,9.77
1,2993875,Millau,5,Beds,27915,0.00
1,2993875,Millau,6,CTScanner,27915,0.00
1,2993875,Millau,7,MRIUnit,27915,0.00
1,2993875,Millau,8,Mammography,27915,0.00
1,2993875,Millau,9,Radiotherapy,27915,0.00
1,3036281,Auch,1,Physicians,27928,3.63
1,3036281,Auch,2,Nurses,27928,17.59
1,3036281,Auch,3,OtherCadres,27928,10.05
1,3036281,Auch,4,CommunityBased,27928,9.77
1,3036281,Auch,5,Beds,27928,0.00
1,3036281,Auch,6,CTScanner,27928,0.00
1,3036281,Auch,7,MRIUnit,27928,0.00
1,3036281,Auch,8,Mammography,27928,0.00
1,3036281,Auch,9,Radiotherapy,27928,0.00
1,3028337,Castelnau-le-Lez,1,Physicians,603600,78.47
1,3028337,Castelnau-le-Lez,2,Nurses,603600,380.27
1,3028337,Castelnau-le-Lez,3,OtherCadres,603600,217.30
1,3028337,Castelnau-le-Lez,4,CommunityBased,603600,211.26
1,3028337,Castelnau-le-Lez,5,Beds,603600,0.00
1,3028337,Castelnau-le-Lez,6,CTScanner,603600,0.00
1,3028337,Castelnau-le-Lez,7,MRIUnit,603600,0.00
1,3028337,Castelnau-le-Lez,8,Mammography,603600,0.00
1,3028337,Castelnau-le-Lez,9,Radiotherapy,603600,0.00
1,2994617,Mende,1,Physicians,14843,1.93
1,2994617,Mende,2,Nurses,14843,9.35
1,2994617,Mende,3,OtherCadres,14843,5.34
1,2994617,Mende,4,CommunityBased,14843,5.19
1,2994617,Mende,5,Beds,14843,0.00
1,2994617,Mende,6,CTScanner,14843,0.00
1,2994617,Mende,7,MRIUnit,14843,0.00
1,2994617,Mende,8,Mammography,14843,0.00
1,2994617,Mende,9,Radiotherapy,14843,0.00
1,3029302,Cabestany,1,Physicians,68084,8.85
1,3029302,Cabestany,2,Nurses,68084,42.89
1,3029302,Cabestany,3,OtherCadres,68084,24.51
1,3029302,Cabestany,4,CommunityBased,68084,23.83
1,3029302,Cabestany,5,Beds,68084,0.00
1,3029302,Cabestany,6,CTScanner,68084,0.00
1,3029302,Cabestany,7,MRIUnit,68084,0.00
1,3029302,Cabestany,8,Mammography,68084,0.00
1,3029302,Cabestany,9,Radiotherapy,68084,0.00
1,3018506,Figeac,1,Physicians,31753,4.13
1,3018506,Figeac,2,Nurses,31753,20.00
1,3018506,Figeac,3,OtherCadres,31753,11.43
1,3018506,Figeac,4,CommunityBased,31753,11.11
1,3018506,Figeac,5,Beds,31753,0.00
1,3018506,Figeac,6,CTScanner,31753,0.00
1,3018506,Figeac,7,MRIUnit,31753,0.00
1,3018506,Figeac,8,Mammography,31753,0.00
1,3018506,Figeac,9,Radiotherapy,31753,0.00
1,3018174,Foix,1,Physicians,48440,6.30
1,3018174,Foix,2,Nurses,48440,30.52
1,3018174,Foix,3,OtherCadres,48440,17.44
1,3018174,Foix,4,CommunityBased,48440,16.95
1,3018174,Foix,5,Beds,48440,0.00
1,3018174,Foix,6,CTScanner,48440,0.00
1,3018174,Foix,7,MRIUnit,48440,0.00
1,3018174,Foix,8,Mammography,48440,0.00
1,3018174,Foix,9,Radiotherapy,48440,0.00
1,6431321,Marguerittes,1,Physicians,191125,24.85
1,6431321,Marguerittes,2,Nurses,191125,120.41
1,6431321,Marguerittes,3,OtherCadres,191125,68.81
1,6431321,Marguerittes,4,CommunityBased,191125,66.89
1,6431321,Marguerittes,5,Beds,191125,0.00
1,6431321,Marguerittes,6,CTScanner,191125,0.00
1,6431321,Marguerittes,7,MRIUnit,191125,0.00
1,6431321,Marguerittes,8,Mammography,191125,0.00
1,6431321,Marguerittes,9,Radiotherapy,191125,0.00
1,2987376,Pibrac,1,Physicians,8517,1.11
1,2987376,Pibrac,2,Nurses,8517,5.37
1,2987376,Pibrac,3,OtherCadres,8517,3.07
1,2987376,Pibrac,4,CommunityBased,8517,2.98
1,2987376,Pibrac,5,Beds,8517,0.00
1,2987376,Pibrac,6,CTScanner,8517,0.00
1,2987376,Pibrac,7,MRIUnit,8517,0.00
1,2987376,Pibrac,8,Mammography,8517,0.00
1,2987376,Pibrac,9,Radiotherapy,8517,0.00
1,2972665,Thuir,1,Physicians,325599,42.33
1,2972665,Thuir,2,Nurses,325599,205.13
1,2972665,Thuir,3,OtherCadres,325599,117.22
1,2972665,Thuir,4,CommunityBased,325599,113.96
1,2972665,Thuir,5,Beds,325599,0.00
1,2972665,Thuir,6,CTScanner,325599,0.00
1,2972665,Thuir,7,MRIUnit,325599,0.00
1,2972665,Thuir,8,Mammography,325599,0.00
1,2972665,Thuir,9,Radiotherapy,325599,0.00
1,3023606,Cornebarrieu,1,Physicians,985571,128.12
1,3023606,Cornebarrieu,2,Nurses,985571,620.91
1,3023606,Cornebarrieu,3,OtherCadres,985571,354.81
1,3023606,Cornebarrieu,4,CommunityBased,985571,344.95
1,3023606,Cornebarrieu,5,Beds,985571,0.00
1,3023606,Cornebarrieu,6,CTScanner,985571,0.00
1,3023606,Cornebarrieu,7,MRIUnit,985571,0.00
1,3023606,Cornebarrieu,8,Mammography,985571,0.00
1,3023606,Cornebarrieu,9,Radiotherapy,985571,0.00
1,2978325,Saint-Martin-de-Valgalgues,1,Physicians,108068,14.05
1,2978325,Saint-Martin-de-Valgalgues,2,Nurses,108068,68.08
1,2978325,Saint-Martin-de-Valgalgues,3,OtherCadres,108068,38.90
1,2978325,Saint-Martin-de-Valgalgues,4,CommunityBased,108068,37.82
1,2978325,Saint-Martin-de-Valgalgues,5,Beds,108068,0.00
1,2978325,Saint-Martin-de-Valgalgues,6,CTScanner,108068,0.00
1,2978325,Saint-Martin-de-Valgalgues,7,MRIUnit,108068,0.00
1,2978325,Saint-Martin-de-Valgalgues,8,Mammography,108068,0.00
1,2978325,Saint-Martin-de-Valgalgues,9,Radiotherapy,108068,0.00
1,3007694,Langogne,1,Physicians,2886,0.38
1,3007694,Langogne,2,Nurses,2886,1.82
1,3007694,Langogne,3,OtherCadres,2886,1.04
1,3007694,Langogne,4,CommunityBased,2886,1.01
1,3007694,Langogne,5,Beds,2886,0.00
1,3007694,Langogne,6,CTScanner,2886,0.00
1,3007694,Langogne,7,MRIUnit,2886,0.00
1,3007694,Langogne,8,Mammography,2886,0.00
1,3007694,Langogne,9,Radiotherapy,2886,0.00
1,2983744,Le Cailar,1,Physicians,120809,15.71
1,2983744,Le Cailar,2,Nurses,120809,76.11
1,2983744,Le Cailar,3,OtherCadres,120809,43.49
1,2983744,Le Cailar,4,CommunityBased,120809,42.28
1,2983744,Le Cailar,5,Beds,120809,0.00
1,2983744,Le Cailar,6,CTScanner,120809,0.00
1,2983744,Le Cailar,7,MRIUnit,120809,0.00
1,2983744,Le Cailar,8,Mammography,120809,0.00
1,2983744,Le Cailar,9,Radiotherapy,120809,0.00
1,3035416,Bagnères-de-Luchon,1,Physicians,2293,0.30
1,3035416,Bagnères-de-Luchon,2,Nurses,2293,1.44
1,3035416,Bagnères-de-Luchon,3,OtherCadres,2293,0.83
1,3035416,Bagnères-de-Luchon,4,CommunityBased,2293,0.80
1,3035416,Bagnères-de-Luchon,5,Beds,2293,0.00
1,3035416,Bagnères-de-Luchon,6,CTScanner,2293,0.00
1,3035416,Bagnères-de-Luchon,7,MRIUnit,2293,0.00
1,3035416,Bagnères-de-Luchon,8,Mammography,2293,0.00
1,3035416,Bagnères-de-Luchon,9,Radiotherapy,2293,0.00
1,2975018,Septfonds,1,Physicians,33702,4.38
1,2975018,Septfonds,2,Nurses,33702,21.23
1,2975018,Septfonds,3,OtherCadres,33702,12.13
1,2975018,Septfonds,4,CommunityBased,33702,11.80
1,2975018,Septfonds,5,Beds,33702,0.00
1,2975018,Septfonds,6,CTScanner,33702,0.00
1,2975018,Septfonds,7,MRIUnit,33702,0.00
1,2975018,Septfonds,8,Mammography,33702,0.00
1,2975018,Septfonds,9,Radiotherapy,33702,0.00
1,2968062,Vinça,1,Physicians,11392,1.48
1,2968062,Vinça,2,Nurses,11392,7.18
1,2968062,Vinça,3,OtherCadres,11392,4.10
1,2968062,Vinça,4,CommunityBased,11392,3.99
1,2968062,Vinça,5,Beds,11392,0.00
1,2968062,Vinça,6,CTScanner,11392,0.00
1,2968062,Vinça,7,MRIUnit,11392,0.00
1,2968062,Vinça,8,Mammography,11392,0.00
1,2968062,Vinça,9,Radiotherapy,11392,0.00
1,2979995,Saint-Geniez-d’Olt,1,Physicians,12541,1.63
1,2979995,Saint-Geniez-d’Olt,2,Nurses,12541,7.90
1,2979995,Saint-Geniez-d’Olt,3,OtherCadres,12541,4.51
1,2979995,Saint-Geniez-d’Olt,4,CommunityBased,12541,4.39
1,2979995,Saint-Geniez-d’Olt,5,Beds,12541,0.00
1,2979995,Saint-Geniez-d’Olt,6,CTScanner,12541,0.00
1,2979995,Saint-Geniez-d’Olt,7,MRIUnit,12541,0.00
1,2979995,Saint-Geniez-d’Olt,8,Mammography,12541,0.00
1,2979995,Saint-Geniez-d’Olt,9,Radiotherapy,12541,0.00
1,2967812,Viviers-lès-Montagnes,1,Physicians,109925,14.29
1,2967812,Viviers-lès-Montagnes,2,Nurses,109925,69.25
1,2967812,Viviers-lès-Montagnes,3,OtherCadres,109925,39.57
1,2967812,Viviers-lès-Montagnes,4,CommunityBased,109925,38.47
1,2967812,Viviers-lès-Montagnes,5,Beds,109925,0.00
1,2967812,Viviers-lès-Montagnes,6,CTScanner,109925,0.00
1,2967812,Viviers-lès-Montagnes,7,MRIUnit,109925,0.00
1,2967812,Viviers-lès-Montagnes,8,Mammography,109925,0.00
1,2967812,Viviers-lès-Montagnes,9,Radiotherapy,109925,0.00
1,3004185,Le Fousseret,1,Physicians,14487,1.88
1,3004185,Le Fousseret,2,Nurses,14487,9.13
1,3004185,Le Fousseret,3,OtherCadres,14487,5.22
1,3004185,Le Fousseret,4,CommunityBased,14487,5.07
1,3004185,Le Fousseret,5,Beds,14487,0.00
1,3004185,Le Fousseret,6,CTScanner,14487,0.00
1,3004185,Le Fousseret,7,MRIUnit,14487,0.00
1,3004185,Le Fousseret,8,Mammography,14487,0.00
1,3004185,Le Fousseret,9,Radiotherapy,14487,0.00
1,3018238,Florac,1,Physicians,1894,0.25
1,3018238,Florac,2,Nurses,1894,1.19
1,3018238,Florac,3,OtherCadres,1894,0.68
1,3018238,Florac,4,CommunityBased,1894,0.66
1,3018238,Florac,5,Beds,1894,0.00
1,3018238,Florac,6,CTScanner,1894,0.00
1,3018238,Florac,7,MRIUnit,1894,0.00
1,3018238,Florac,8,Mammography,1894,0.00
1,3018238,Florac,9,Radiotherapy,1894,0.00
1,2987103,Pinet,1,Physicians,219793,28.57
1,2987103,Pinet,2,Nurses,219793,138.47
1,2987103,Pinet,3,OtherCadres,219793,79.13
1,2987103,Pinet,4,CommunityBased,219793,76.93
1,2987103,Pinet,5,Beds,219793,0.00
1,2987103,Pinet,6,CTScanner,219793,0.00
1,2987103,Pinet,7,MRIUnit,219793,0.00
1,2987103,Pinet,8,Mammography,219793,0.00
1,2987103,Pinet,9,Radiotherapy,219793,0.00
1,2998132,L’Isle-en-Dodon,1,Physicians,8918,1.16
1,2998132,L’Isle-en-Dodon,2,Nurses,8918,5.62
1,2998132,L’Isle-en-Dodon,3,OtherCadres,8918,3.21
1,2998132,L’Isle-en-Dodon,4,CommunityBased,8918,3.12
1,2998132,L’Isle-en-Dodon,5,Beds,8918,0.00
1,2998132,L’Isle-en-Dodon,6,CTScanner,8918,0.00
1,2998132,L’Isle-en-Dodon,7,MRIUnit,8918,0.00
1,2998132,L’Isle-en-Dodon,8,Mammography,8918,0.00
1,2998132,L’Isle-en-Dodon,9,Radiotherapy,8918,0.00
1,3006711,Laroque,1,Physicians,24387,3.17
1,3006711,Laroque,2,Nurses,24387,15.36
1,3006711,Laroque,3,OtherCadres,24387,8.78
1,3006711,Laroque,4,CommunityBased,24387,8.54
1,3006711,Laroque,5,Beds,24387,0.00
1,3006711,Laroque,6,CTScanner,24387,0.00
1,3006711,Laroque,7,MRIUnit,24387,0.00
1,3006711,Laroque,8,Mammography,24387,0.00
1,3006711,Laroque,9,Radiotherapy,24387,0.00
1,3011252,Labastide-Rouairoux,1,Physicians,8485,1.10
1,3011252,Labastide-Rouairoux,2,Nurses,8485,5.35
1,3011252,Labastide-Rouairoux,3,OtherCadres,8485,3.05
1,3011252,Labastide-Rouairoux,4,CommunityBased,8485,2.97
1,3011252,Labastide-Rouairoux,5,Beds,8485,0.00
1,3011252,Labastide-Rouairoux,6,CTScanner,8485,0.00
1,3011252,Labastide-Rouairoux,7,MRIUnit,8485,0.00
1,3011252,Labastide-Rouairoux,8,Mammography,8485,0.00
1,3011252,Labastide-Rouairoux,9,Radiotherapy,8485,0.00
1,2998445,Lieuran-lès-Béziers,1,Physicians,140253,18.23
1,2998445,Lieuran-lès-Béziers,2,Nurses,140253,88.36
1,2998445,Lieuran-lès-Béziers,3,OtherCadres,140253,50.49
1,2998445,Lieuran-lès-Béziers,4,CommunityBased,140253,49.09
1,2998445,Lieuran-lès-Béziers,5,Beds,140253,0.00
1,2998445,Lieuran-lès-Béziers,6,CTScanner,140253,0.00
1,2998445,Lieuran-lès-Béziers,7,MRIUnit,140253,0.00
1,2998445,Lieuran-lès-Béziers,8,Mammography,140253,0.00
1,2998445,Lieuran-lès-Béziers,9,Radiotherapy,140253,0.00
1,2970978,Vallabrègues,1,Physicians,122731,15.95
1,2970978,Vallabrègues,2,Nurses,122731,77.32
1,2970978,Vallabrègues,3,OtherCadres,122731,44.18
1,2970978,Vallabrègues,4,CommunityBased,122731,42.96
1,2970978,Vallabrègues,5,Beds,122731,0.00
1,2970978,Vallabrègues,6,CTScanner,122731,0.00
1,2970978,Vallabrègues,7,MRIUnit,122731,0.00
1,2970978,Vallabrègues,8,Mammography,122731,0.00
1,2970978,Vallabrègues,9,Radiotherapy,122731,0.00
1,3027915,Cerbère,1,Physicians,12594,1.64
1,3027915,Cerbère,2,Nurses,12594,7.93
1,3027915,Cerbère,3,OtherCadres,12594,4.53
1,3027915,Cerbère,4,CommunityBased,12594,4.41
1,3027915,Cerbère,5,Beds,12594,0.00
1,3027915,Cerbère,6,CTScanner,12594,0.00
1,3027915,Cerbère,7,MRIUnit,12594,0.00
1,3027915,Cerbère,8,Mammography,12594,0.00
1,3027915,Cerbère,9,Radiotherapy,12594,0.00
1,3011313,Labarthe-Rivière,1,Physicians,17473,2.27
1,3011313,Labarthe-Rivière,2,Nurses,17473,11.01
1,3011313,Labarthe-Rivière,3,OtherCadres,17473,6.29
1,3011313,Labarthe-Rivière,4,CommunityBased,17473,6.12
1,3011313,Labarthe-Rivière,5,Beds,17473,0.00
1,3011313,Labarthe-Rivière,6,CTScanner,17473,0.00
1,3011313,Labarthe-Rivière,7,MRIUnit,17473,0.00
1,3011313,Labarthe-Rivière,8,Mammography,17473,0.00
1,3011313,Labarthe-Rivière,9,Radiotherapy,17473,0.00
1,2992147,Montpezat,1,Physicians,14233,1.85
1,2992147,Montpezat,2,Nurses,14233,8.97
1,2992147,Montpezat,3,OtherCadres,14233,5.12
1,2992147,Montpezat,4,CommunityBased,14233,4.98
