NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
2,3014728,"Grenoble",687985,1148.93495,825.582,1726.84235,0,1836.91995,4.540701,3.439925,2.1327535,0.2063955
2,6454573,"Lyon",563474,941.00158,676.1688,1414.31974,0,1504.47558,3.7189284,2.81737,1.7467694,0.1690422
2,6496352,"Saint-Étienne",335352,560.03784,402.4224,841.73352,0,895.38984,2.2133232,1.67676,1.0395912,0.1006056
2,2968254,"Villeurbanne",147712,246.67904,177.2544,370.75712,0,394.39104,0.9748992,0.73856,0.4579072,0.0443136
2,6501240,"Clermont-Ferrand",143886,240.28962,172.6632,361.15386,0,384.17562,0.9496476,0.71943,0.4460466,0.0431658
2,8296151,"Annecy",126924,211.96308,152.3088,318.57924,0,338.88708,0.8376984,0.63462,0.3934644,0.0380772
2,2970072,"Vénissieux",114828,191.76276,137.7936,288.21828,0,306.59076,0.7578648,0.57414,0.3559668,0.0344484
2,6453882,"Valence",108760,181.6292,130.512,272.9876,0,290.3892,0.717816,0.5438,0.337156,0.032628
2,6430140,"Montélimar",98058,163.75686,117.6696,246.12558,0,261.81486,0.6471828,0.49029,0.3039798,0.0294174
2,3027422,"Chambéry",80349,134.18283,96.4188,201.67599,0,214.53183,0.5303034,0.401745,0.2490819,0.0241047
2,6527084,"Vaulx-en-Velin",49658,82.92886,59.5896,124.64158,0,132.58686,0.3277428,0.24829,0.1539398,0.0148974
2,6618456,"Saint-Priest",411936,687.93312,494.3232,1033.95936,0,1099.86912,2.7187776,2.05968,1.2770016,0.1235808
2,3029096,"Caluire-et-Cuire",43187,72.12229,51.8244,108.39937,0,115.30929,0.2850342,0.215935,0.1338797,0.0129561
2,3029931,"Bron",41543,69.37681,49.8516,104.27293,0,110.91981,0.2741838,0.207715,0.1287833,0.0124629
2,8287970,"Villefranche-sur-Saône",36857,61.55119,44.2284,92.51107,0,98.40819,0.2432562,0.184285,0.1142567,0.0110571
2,6433192,"Échirolles",36840,61.5228,44.208,92.4684,0,98.3628,0.243144,0.1842,0.114204,0.011052
2,6451007,"Annemasse",35712,59.63904,42.8544,89.63712,0,95.35104,0.2356992,0.17856,0.1107072,0.0107136
2,2992292,"Montluçon",67580,112.8586,81.096,169.6258,0,180.4386,0.446028,0.3379,0.209498,0.020274
2,2979070,"Saint-Chamond",34967,58.39489,41.9604,87.76717,0,93.36189,0.2307822,0.174835,0.1083977,0.0104901
2,2972742,"Thonon-les-Bains",86956,145.21652,104.3472,218.25956,0,232.17252,0.5739096,0.43478,0.2695636,0.0260868
2,2983362,"Roanne",58361,97.46287,70.0332,146.48611,0,155.82387,0.3851826,0.291805,0.1809191,0.0175083
2,2994048,"Meyzieu",33477,55.90659,40.1724,84.02727,0,89.38359,0.2209482,0.167385,0.1037787,0.0100431
2,6430196,"Romans-sur-Isère",33160,55.3772,39.792,83.2316,0,88.5372,0.218856,0.1658,0.102796,0.009948
2,2983536,"Rillieux-la-Pape",30012,50.12004,36.0144,75.33012,0,80.13204,0.1980792,0.15006,0.0930372,0.0090036
2,6452510,"Aix-les-Bains",29794,49.75598,35.7528,74.78294,0,79.54998,0.1966404,0.14897,0.0923614,0.0089382
2,2969280,"Vienne",29306,48.94102,35.1672,73.55806,0,78.24702,0.1934196,0.14653,0.0908486,0.0087918
2,6615539,"Bourgoin-Jallieu",50991,85.15497,61.1892,127.98741,0,136.14597,0.3365406,0.254955,0.1580721,0.0152973
2,8287998,"Oullins",26273,43.87591,31.5276,65.94523,0,70.14891,0.1734018,0.131365,0.0814463,0.0078819
2,3036016,"Aurillac",50582,84.47194,60.6984,126.96082,0,135.05394,0.3338412,0.25291,0.1568042,0.0151746
2,2969392,"Vichy",87984,146.93328,105.5808,220.83984,0,234.91728,0.5806944,0.43992,0.2727504,0.0263952
2,2988888,"Oyonnax",22427,37.45309,26.9124,56.29177,0,59.88009,0.1480182,0.112135,0.0695237,0.0067281
2,6441798,"Tassin-la-Demi-Lune",22297,37.23599,26.7564,55.96547,0,59.53299,0.1471602,0.111485,0.0691207,0.0066891
2,2980586,"Sainte-Foy-lès-Lyon",22012,36.76004,26.4144,55.25012,0,58.77204,0.1452792,0.11006,0.0682372,0.0066036
2,2979985,"Saint-Genis-Laval",21217,35.43239,25.4604,53.25467,0,56.64939,0.1400322,0.106085,0.0657727,0.0063651
2,3015902,"Givors",20121,33.60207,24.1452,50.50371,0,53.72307,0.1327986,0.100605,0.0623751,0.0060363
2,6433470,"Voiron",20108,33.58036,24.1296,50.47108,0,53.68836,0.1327128,0.10054,0.0623348,0.0060324
2,2991481,"Moulins",58162,97.13054,69.7944,145.98662,0,155.29254,0.3838692,0.29081,0.1803022,0.0174486
2,2976931,"Albertville",35570,59.4019,42.684,89.2807,0,94.9719,0.234762,0.17785,0.110267,0.010671
2,3002465,"Le Puy-en-Velay",41126,68.68042,49.3512,103.22626,0,109.80642,0.2714316,0.20563,0.1274906,0.0123378
2,2983489,"Riom",19011,31.74837,22.8132,47.71761,0,50.75937,0.1254726,0.095055,0.0589341,0.0057033
2,3020392,"Écully",18587,31.04029,22.3044,46.65337,0,49.62729,0.1226742,0.092935,0.0576197,0.0055761
2,2994087,"Meylan",17448,29.13816,20.9376,43.79448,0,46.58616,0.1151568,0.08724,0.0540888,0.0052344
