NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP_ATENDIDA,ATEND_FTE
1,3014728,"Grenoble",1,"Physicians",687985,282.0739
1,3014728,"Grenoble",2,"Nurses",687985,1740.602
1,3014728,"Grenoble",3,"OtherCadres",687985,859.9813
1,3014728,"Grenoble",4,"CommunityBased",687985,3357.3668
1,3014728,"Grenoble",5,"Beds",687985,0
1,3014728,"Grenoble",6,"CTScanner",687985,0
1,3014728,"Grenoble",7,"MRIUnit",687985,0
1,3014728,"Grenoble",8,"Mammography",687985,0
1,3014728,"Grenoble",9,"Radiotherapy",687985,0
1,6454573,"Lyon",1,"Physicians",563474,231.0242
1,6454573,"Lyon",2,"Nurses",563474,1425.5891
1,6454573,"Lyon",3,"OtherCadres",563474,704.3429
1,6454573,"Lyon",4,"CommunityBased",563474,2749.7529
1,6454573,"Lyon",5,"Beds",563474,0
1,6454573,"Lyon",6,"CTScanner",563474,0
1,6454573,"Lyon",7,"MRIUnit",563474,0
1,6454573,"Lyon",8,"Mammography",563474,0
1,6454573,"Lyon",9,"Radiotherapy",563474,0
1,6496352,"Saint-Étienne",1,"Physicians",335352,137.4947
1,6496352,"Saint-Étienne",2,"Nurses",335352,848.4405
1,6496352,"Saint-Étienne",3,"OtherCadres",335352,419.1909
1,6496352,"Saint-Étienne",4,"CommunityBased",335352,1636.5181
1,6496352,"Saint-Étienne",5,"Beds",335352,0
1,6496352,"Saint-Étienne",6,"CTScanner",335352,0
1,6496352,"Saint-Étienne",7,"MRIUnit",335352,0
1,6496352,"Saint-Étienne",8,"Mammography",335352,0
1,6496352,"Saint-Étienne",9,"Radiotherapy",335352,0
1,2968254,"Villeurbanne",1,"Physicians",147712,60.5619
1,2968254,"Villeurbanne",2,"Nurses",147712,373.7114
1,2968254,"Villeurbanne",3,"OtherCadres",147712,184.64
1,2968254,"Villeurbanne",4,"CommunityBased",147712,720.8346
1,2968254,"Villeurbanne",5,"Beds",147712,0
1,2968254,"Villeurbanne",6,"CTScanner",147712,0
1,2968254,"Villeurbanne",7,"MRIUnit",147712,0
1,2968254,"Villeurbanne",8,"Mammography",147712,0
1,2968254,"Villeurbanne",9,"Radiotherapy",147712,0
1,6501240,"Clermont-Ferrand",1,"Physicians",143886,58.9933
1,6501240,"Clermont-Ferrand",2,"Nurses",143886,364.0316
1,6501240,"Clermont-Ferrand",3,"OtherCadres",143886,179.8575
1,6501240,"Clermont-Ferrand",4,"CommunityBased",143886,702.1637
1,6501240,"Clermont-Ferrand",5,"Beds",143886,0
1,6501240,"Clermont-Ferrand",6,"CTScanner",143886,0
1,6501240,"Clermont-Ferrand",7,"MRIUnit",143886,0
1,6501240,"Clermont-Ferrand",8,"Mammography",143886,0
1,6501240,"Clermont-Ferrand",9,"Radiotherapy",143886,0
1,8296151,"Annecy",1,"Physicians",126924,52.0388
1,8296151,"Annecy",2,"Nurses",126924,321.1177
1,8296151,"Annecy",3,"OtherCadres",126924,158.655
1,8296151,"Annecy",4,"CommunityBased",126924,619.3891
1,8296151,"Annecy",5,"Beds",126924,0
1,8296151,"Annecy",6,"CTScanner",126924,0
1,8296151,"Annecy",7,"MRIUnit",126924,0
1,8296151,"Annecy",8,"Mammography",126924,0
1,8296151,"Annecy",9,"Radiotherapy",126924,0
1,2970072,"Vénissieux",1,"Physicians",76112,31.206
1,2970072,"Vénissieux",2,"Nurses",76112,192.5632
1,2970072,"Vénissieux",3,"OtherCadres",76112,95.1401
1,2970072,"Vénissieux",4,"CommunityBased",76112,371.4265
1,2970072,"Vénissieux",5,"Beds",76112,0
1,2970072,"Vénissieux",6,"CTScanner",76112,0
1,2970072,"Vénissieux",7,"MRIUnit",76112,0
1,2970072,"Vénissieux",8,"Mammography",76112,0
1,2970072,"Vénissieux",9,"Radiotherapy",76112,0
1,6453882,"Valence",1,"Physicians",101114,41.4567
1,6453882,"Valence",2,"Nurses",101114,255.8186
1,6453882,"Valence",3,"OtherCadres",101114,126.3927
1,6453882,"Valence",4,"CommunityBased",101114,493.4362
1,6453882,"Valence",5,"Beds",101114,0
1,6453882,"Valence",6,"CTScanner",101114,0
1,6453882,"Valence",7,"MRIUnit",101114,0
1,6453882,"Valence",8,"Mammography",101114,0
1,6453882,"Valence",9,"Radiotherapy",101114,0
1,6430140,"Montélimar",1,"Physicians",98058,40.2037
1,6430140,"Montélimar",2,"Nurses",98058,248.0868
1,6430140,"Montélimar",3,"OtherCadres",98058,122.5728
1,6430140,"Montélimar",4,"CommunityBased",98058,478.5233
1,6430140,"Montélimar",5,"Beds",98058,0
1,6430140,"Montélimar",6,"CTScanner",98058,0
1,6430140,"Montélimar",7,"MRIUnit",98058,0
1,6430140,"Montélimar",8,"Mammography",98058,0
1,6430140,"Montélimar",9,"Radiotherapy",98058,0
1,3027422,"Chambéry",1,"Physicians",80349,32.9431
1,3027422,"Chambéry",2,"Nurses",80349,203.283
1,3027422,"Chambéry",3,"OtherCadres",80349,100.4365
1,3027422,"Chambéry",4,"CommunityBased",80349,392.1032
1,3027422,"Chambéry",5,"Beds",80349,0
1,3027422,"Chambéry",6,"CTScanner",80349,0
1,3027422,"Chambéry",7,"MRIUnit",80349,0
1,3027422,"Chambéry",8,"Mammography",80349,0
1,3027422,"Chambéry",9,"Radiotherapy",80349,0
1,6527084,"Vaulx-en-Velin",1,"Physicians",49658,20.3598
1,6527084,"Vaulx-en-Velin",2,"Nurses",49658,125.6347
1,6527084,"Vaulx-en-Velin",3,"OtherCadres",49658,62.0725
1,6527084,"Vaulx-en-Velin",4,"CommunityBased",49658,242.331
1,6527084,"Vaulx-en-Velin",5,"Beds",49658,0
1,6527084,"Vaulx-en-Velin",6,"CTScanner",49658,0
1,6527084,"Vaulx-en-Velin",7,"MRIUnit",49658,0
1,6527084,"Vaulx-en-Velin",8,"Mammography",49658,0
1,6527084,"Vaulx-en-Velin",9,"Radiotherapy",49658,0
1,6618456,"Saint-Priest",1,"Physicians",411936,168.8939
1,6618456,"Saint-Priest",2,"Nurses",411936,1042.1981
1,6618456,"Saint-Priest",3,"OtherCadres",411936,514.9216
1,6618456,"Saint-Priest",4,"CommunityBased",411936,2010.2475
1,6618456,"Saint-Priest",5,"Beds",411936,0
1,6618456,"Saint-Priest",6,"CTScanner",411936,0
1,6618456,"Saint-Priest",7,"MRIUnit",411936,0
1,6618456,"Saint-Priest",8,"Mammography",411936,0
1,6618456,"Saint-Priest",9,"Radiotherapy",411936,0
1,3029096,"Caluire-et-Cuire",1,"Physicians",43187,17.7067
1,3029096,"Caluire-et-Cuire",2,"Nurses",43187,109.2631
1,3029096,"Caluire-et-Cuire",3,"OtherCadres",43187,53.9838
1,3029096,"Caluire-et-Cuire",4,"CommunityBased",43187,210.7526
1,3029096,"Caluire-et-Cuire",5,"Beds",43187,0
1,3029096,"Caluire-et-Cuire",6,"CTScanner",43187,0
1,3029096,"Caluire-et-Cuire",7,"MRIUnit",43187,0
1,3029096,"Caluire-et-Cuire",8,"Mammography",43187,0
1,3029096,"Caluire-et-Cuire",9,"Radiotherapy",43187,0
1,3029931,"Bron",1,"Physicians",41543,17.0326
1,3029931,"Bron",2,"Nurses",41543,105.1038
1,3029931,"Bron",3,"OtherCadres",41543,51.9288
1,3029931,"Bron",4,"CommunityBased",41543,202.7298
1,3029931,"Bron",5,"Beds",41543,0
1,3029931,"Bron",6,"CTScanner",41543,0
1,3029931,"Bron",7,"MRIUnit",41543,0
1,3029931,"Bron",8,"Mammography",41543,0
1,3029931,"Bron",9,"Radiotherapy",41543,0
1,8287970,"Villefranche-sur-Saône",1,"Physicians",36857,15.1114
1,8287970,"Villefranche-sur-Saône",2,"Nurses",36857,93.2482
1,8287970,"Villefranche-sur-Saône",3,"OtherCadres",36857,46.0713
1,8287970,"Villefranche-sur-Saône",4,"CommunityBased",36857,179.8622
1,8287970,"Villefranche-sur-Saône",5,"Beds",36857,0
1,8287970,"Villefranche-sur-Saône",6,"CTScanner",36857,0
1,8287970,"Villefranche-sur-Saône",7,"MRIUnit",36857,0
1,8287970,"Villefranche-sur-Saône",8,"Mammography",36857,0
1,8287970,"Villefranche-sur-Saône",9,"Radiotherapy",36857,0
1,6433192,"Échirolles",1,"Physicians",36840,15.1044
1,6433192,"Échirolles",2,"Nurses",36840,93.2052
1,6433192,"Échirolles",3,"OtherCadres",36840,46.05
1,6433192,"Échirolles",4,"CommunityBased",36840,179.7792
1,6433192,"Échirolles",5,"Beds",36840,0
1,6433192,"Échirolles",6,"CTScanner",36840,0
1,6433192,"Échirolles",7,"MRIUnit",36840,0
1,6433192,"Échirolles",8,"Mammography",36840,0
1,6433192,"Échirolles",9,"Radiotherapy",36840,0
1,6451007,"Annemasse",1,"Physicians",35712,14.6419
1,6451007,"Annemasse",2,"Nurses",35712,90.3514
1,6451007,"Annemasse",3,"OtherCadres",35712,44.64
1,6451007,"Annemasse",4,"CommunityBased",35712,174.2746
1,6451007,"Annemasse",5,"Beds",35712,0
1,6451007,"Annemasse",6,"CTScanner",35712,0
1,6451007,"Annemasse",7,"MRIUnit",35712,0
1,6451007,"Annemasse",8,"Mammography",35712,0
1,6451007,"Annemasse",9,"Radiotherapy",35712,0
1,2992292,"Montluçon",1,"Physicians",67580,27.7077
1,2992292,"Montluçon",2,"Nurses",67580,170.9776
1,2992292,"Montluçon",3,"OtherCadres",67580,84.4752
1,2992292,"Montluçon",4,"CommunityBased",67580,329.7903
1,2992292,"Montluçon",5,"Beds",67580,0
1,2992292,"Montluçon",6,"CTScanner",67580,0
1,2992292,"Montluçon",7,"MRIUnit",67580,0
1,2992292,"Montluçon",8,"Mammography",67580,0
1,2992292,"Montluçon",9,"Radiotherapy",67580,0
1,2979070,"Saint-Chamond",1,"Physicians",34967,14.3365
1,2979070,"Saint-Chamond",2,"Nurses",34967,88.4665
1,2979070,"Saint-Chamond",3,"OtherCadres",34967,43.7088
1,2979070,"Saint-Chamond",4,"CommunityBased",34967,170.639
1,2979070,"Saint-Chamond",5,"Beds",34967,0
1,2979070,"Saint-Chamond",6,"CTScanner",34967,0
1,2979070,"Saint-Chamond",7,"MRIUnit",34967,0
1,2979070,"Saint-Chamond",8,"Mammography",34967,0
1,2979070,"Saint-Chamond",9,"Radiotherapy",34967,0
1,2972742,"Thonon-les-Bains",1,"Physicians",84271,34.5512
1,2972742,"Thonon-les-Bains",2,"Nurses",84271,213.2054
1,2972742,"Thonon-les-Bains",3,"OtherCadres",84271,105.339
1,2972742,"Thonon-les-Bains",4,"CommunityBased",84271,411.2425
1,2972742,"Thonon-les-Bains",5,"Beds",84271,0
1,2972742,"Thonon-les-Bains",6,"CTScanner",84271,0
1,2972742,"Thonon-les-Bains",7,"MRIUnit",84271,0
1,2972742,"Thonon-les-Bains",8,"Mammography",84271,0
1,2972742,"Thonon-les-Bains",9,"Radiotherapy",84271,0
1,2983362,"Roanne",1,"Physicians",58361,23.9281
1,2983362,"Roanne",2,"Nurses",58361,147.6535
1,2983362,"Roanne",3,"OtherCadres",58361,72.9517
1,2983362,"Roanne",4,"CommunityBased",58361,284.8017
1,2983362,"Roanne",5,"Beds",58361,0
1,2983362,"Roanne",6,"CTScanner",58361,0
1,2983362,"Roanne",7,"MRIUnit",58361,0
1,2983362,"Roanne",8,"Mammography",58361,0
1,2983362,"Roanne",9,"Radiotherapy",58361,0
1,2994048,"Meyzieu",1,"Physicians",33477,13.7256
1,2994048,"Meyzieu",2,"Nurses",33477,84.6968
1,2994048,"Meyzieu",3,"OtherCadres",33477,41.8463
1,2994048,"Meyzieu",4,"CommunityBased",33477,163.3678
1,2994048,"Meyzieu",5,"Beds",33477,0
1,2994048,"Meyzieu",6,"CTScanner",33477,0
1,2994048,"Meyzieu",7,"MRIUnit",33477,0
1,2994048,"Meyzieu",8,"Mammography",33477,0
1,2994048,"Meyzieu",9,"Radiotherapy",33477,0
1,6430196,"Romans-sur-Isère",1,"Physicians",33160,13.5956
1,6430196,"Romans-sur-Isère",2,"Nurses",33160,83.8948
1,6430196,"Romans-sur-Isère",3,"OtherCadres",33160,41.45
1,6430196,"Romans-sur-Isère",4,"CommunityBased",33160,161.8208
1,6430196,"Romans-sur-Isère",5,"Beds",33160,0
1,6430196,"Romans-sur-Isère",6,"CTScanner",33160,0
1,6430196,"Romans-sur-Isère",7,"MRIUnit",33160,0
1,6430196,"Romans-sur-Isère",8,"Mammography",33160,0
1,6430196,"Romans-sur-Isère",9,"Radiotherapy",33160,0
1,2983536,"Rillieux-la-Pape",1,"Physicians",30012,12.3049
1,2983536,"Rillieux-la-Pape",2,"Nurses",30012,75.9304
1,2983536,"Rillieux-la-Pape",3,"OtherCadres",30012,37.515
1,2983536,"Rillieux-la-Pape",4,"CommunityBased",30012,146.4586
1,2983536,"Rillieux-la-Pape",5,"Beds",30012,0
1,2983536,"Rillieux-la-Pape",6,"CTScanner",30012,0
1,2983536,"Rillieux-la-Pape",7,"MRIUnit",30012,0
1,2983536,"Rillieux-la-Pape",8,"Mammography",30012,0
1,2983536,"Rillieux-la-Pape",9,"Radiotherapy",30012,0
1,6452510,"Aix-les-Bains",1,"Physicians",29794,12.2155
1,6452510,"Aix-les-Bains",2,"Nurses",29794,75.3788
1,6452510,"Aix-les-Bains",3,"OtherCadres",29794,37.2425
1,6452510,"Aix-les-Bains",4,"CommunityBased",29794,145.3947
1,6452510,"Aix-les-Bains",5,"Beds",29794,0
1,6452510,"Aix-les-Bains",6,"CTScanner",29794,0
1,6452510,"Aix-les-Bains",7,"MRIUnit",29794,0
1,6452510,"Aix-les-Bains",8,"Mammography",29794,0
1,6452510,"Aix-les-Bains",9,"Radiotherapy",29794,0
1,2969280,"Vienne",1,"Physicians",29306,12.0155
1,2969280,"Vienne",2,"Nurses",29306,74.1442
1,2969280,"Vienne",3,"OtherCadres",29306,36.6325
1,2969280,"Vienne",4,"CommunityBased",29306,143.0133
1,2969280,"Vienne",5,"Beds",29306,0
1,2969280,"Vienne",6,"CTScanner",29306,0
1,2969280,"Vienne",7,"MRIUnit",29306,0
1,2969280,"Vienne",8,"Mammography",29306,0
1,2969280,"Vienne",9,"Radiotherapy",29306,0
1,6615539,"Bourgoin-Jallieu",1,"Physicians",50991,20.9064
1,6615539,"Bourgoin-Jallieu",2,"Nurses",50991,129.0072
1,6615539,"Bourgoin-Jallieu",3,"OtherCadres",50991,63.739
1,6615539,"Bourgoin-Jallieu",4,"CommunityBased",50991,248.8362
1,6615539,"Bourgoin-Jallieu",5,"Beds",50991,0
1,6615539,"Bourgoin-Jallieu",6,"CTScanner",50991,0
1,6615539,"Bourgoin-Jallieu",7,"MRIUnit",50991,0
1,6615539,"Bourgoin-Jallieu",8,"Mammography",50991,0
1,6615539,"Bourgoin-Jallieu",9,"Radiotherapy",50991,0
1,8287998,"Oullins",1,"Physicians",26273,10.7719
1,8287998,"Oullins",2,"Nurses",26273,66.4707
1,8287998,"Oullins",3,"OtherCadres",26273,32.8413
1,8287998,"Oullins",4,"CommunityBased",26273,128.2122
1,8287998,"Oullins",5,"Beds",26273,0
1,8287998,"Oullins",6,"CTScanner",26273,0
1,8287998,"Oullins",7,"MRIUnit",26273,0
1,8287998,"Oullins",8,"Mammography",26273,0
1,8287998,"Oullins",9,"Radiotherapy",26273,0
1,3036016,"Aurillac",1,"Physicians",38153,15.6427
1,3036016,"Aurillac",2,"Nurses",38153,96.5271
1,3036016,"Aurillac",3,"OtherCadres",38153,47.6914
1,3036016,"Aurillac",4,"CommunityBased",38153,186.1867
1,3036016,"Aurillac",5,"Beds",38153,0
1,3036016,"Aurillac",6,"CTScanner",38153,0
1,3036016,"Aurillac",7,"MRIUnit",38153,0
1,3036016,"Aurillac",8,"Mammography",38153,0
1,3036016,"Aurillac",9,"Radiotherapy",38153,0
1,2969392,"Vichy",1,"Physicians",81250,33.3125
1,2969392,"Vichy",2,"Nurses",81250,205.5626
1,2969392,"Vichy",3,"OtherCadres",81250,101.5628
1,2969392,"Vichy",4,"CommunityBased",81250,396.4999
1,2969392,"Vichy",5,"Beds",81250,0
1,2969392,"Vichy",6,"CTScanner",81250,0
1,2969392,"Vichy",7,"MRIUnit",81250,0
1,2969392,"Vichy",8,"Mammography",81250,0
1,2969392,"Vichy",9,"Radiotherapy",81250,0
1,2988888,"Oyonnax",1,"Physicians",22427,9.1951
1,2988888,"Oyonnax",2,"Nurses",22427,56.7403
1,2988888,"Oyonnax",3,"OtherCadres",22427,28.0338
1,2988888,"Oyonnax",4,"CommunityBased",22427,109.4438
1,2988888,"Oyonnax",5,"Beds",22427,0
1,2988888,"Oyonnax",6,"CTScanner",22427,0
1,2988888,"Oyonnax",7,"MRIUnit",22427,0
1,2988888,"Oyonnax",8,"Mammography",22427,0
1,2988888,"Oyonnax",9,"Radiotherapy",22427,0
1,6441798,"Tassin-la-Demi-Lune",1,"Physicians",22297,9.1418
1,6441798,"Tassin-la-Demi-Lune",2,"Nurses",22297,56.4114
1,6441798,"Tassin-la-Demi-Lune",3,"OtherCadres",22297,27.8713
