CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
3006622,"Dijon",3006622,"Dijon",0,2
6447838,"Besançon",6447838,"Besançon",0,2
3033791,"Belfort",3033791,"Belfort",0,2
3027484,"Chalon-sur-Saône",3027484,"Chalon-sur-Saône",0,2
3020855,"Dracy-le-Fort",3027484,"Chalon-sur-Saône",0.18,2
3035843,"Auxerre",3035843,"Auxerre",0,2
2996882,"Mâcon",2996882,"Mâcon",0,2
2990474,"Nevers",2990474,"Nevers",0,2
3025944,"Chaulgnes",2990474,"Nevers",0.39,2
11962198,"Sens",11962198,"Sens",0,2
3023010,"Courlon-sur-Yonne",11962198,"Sens",0.45,2
2992938,"Montbéliard",2992938,"Montbéliard",0,2
3021263,"Dole",3021263,"Dole",0,2
3025062,"Choisey",3021263,"Dole",0.1,2
6614182,"Le Creusot",6614182,"Le Creusot",0,2
6490278,"Beaune",6490278,"Beaune",0,2
2992863,"Montceau-les-Mines",2992863,"Montceau-les-Mines",0,2
2972320,"Toulon-sur-Arroux",2992863,"Montceau-les-Mines",0.45,2
6429944,"Pontarlier",6429944,"Pontarlier",0,2
6433608,"Lons-le-Saunier",6433608,"Lons-le-Saunier",0,2
2989385,"Orgelet",6433608,"Lons-le-Saunier",0.44,2
6454607,"Vesoul",6454607,"Vesoul",0,2
6442111,"Scey-sur-Saône-et-Saint-Albin",6454607,"Vesoul",0.37,2
3035883,"Autun",3035883,"Autun",0,2
2973510,"Talant",2973510,"Talant",0,2
6441973,"Héricourt",6441973,"Héricourt",0,2
3012319,"Joigny",3012319,"Joigny",0,2
6442356,"Paray-le-Monial",6442356,"Paray-le-Monial",0,2
6454111,"Saint-Claude",6454111,"Saint-Claude",0,2
3018032,"Fontaine-lès-Dijon",3018032,"Fontaine-lès-Dijon",0,2
2976697,"Saint-Vallier",2976697,"Saint-Vallier",0,2
2997076,"Lure",2997076,"Lure",0,2
3027235,"Champagnole",3027235,"Champagnole",0,2
3035828,"Auxonne",3035828,"Auxonne",0,2
2981655,"Saint-Apollinaire",2981655,"Saint-Apollinaire",0,2
6442184,"Charnay-lès-Mâcon",6442184,"Charnay-lès-Mâcon",0,2
2972083,"Tramayes",6442184,"Charnay-lès-Mâcon",0.35,2
2993928,"Migennes",2993928,"Migennes",0,2
2991692,"Morteau",2991692,"Morteau",0,2
3002256,"Le Russey",2991692,"Morteau",0.37,2
6441988,"Luxeuil-les-Bains",6441988,"Luxeuil-les-Bains",0,2
2977229,"Saint-Rémy",2977229,"Saint-Rémy",0,2
3035768,"Avallon",3035768,"Avallon",0,2
2997439,"Louhans",2997439,"Louhans",0,2
2970687,"Varennes-Saint-Sauveur",2997439,"Louhans",0.4,2
8295798,"Châtenoy-le-Royal",8295798,"Châtenoy-le-Royal",0,2
6454631,"Saint-Marcel",6454631,"Saint-Marcel",0,2
6447839,"Bethoncourt",6447839,"Bethoncourt",0,2
6454592,"Gray",6454592,"Gray",0,2
3027642,"Chagny",3027642,"Chagny",0,2
6442513,"Tournus",6442513,"Tournus",0,2
2989837,"Nuits-Saint-Georges",2989837,"Nuits-Saint-Georges",0,2
3026046,"Châtillon-sur-Seine",3026046,"Châtillon-sur-Seine",0,2
3021661,"Decize",3021661,"Decize",0,2
2968511,"Villeneuve-sur-Yonne",2968511,"Villeneuve-sur-Yonne",0,2
2992953,"Montbard",2992953,"Montbard",0,2
3034535,"Baume-les-Dames",3034535,"Baume-les-Dames",0,2
2996881,"Cluny",2996881,"Cluny",0,2
3031090,"Bourbon-Lancy",3031090,"Bourbon-Lancy",0,2
6452602,"Bavilliers",6452602,"Bavilliers",0,2
2972467,"Tonnerre",2972467,"Tonnerre",0,2
6428669,"Is-sur-Tille",6428669,"Is-sur-Tille",0,2
2993316,"Monéteau",2993316,"Monéteau",0,2
6429772,"Étupes",6429772,"Étupes",0,2
3013448,"Hérimoncourt",3013448,"Hérimoncourt",0,2
3024782,"Clamecy",3024782,"Clamecy",0,2
6455993,"Les Rousses",6455993,"Les Rousses",0,2
6615236,"Bois-d’Amont",6455993,"Les Rousses",0.2,2
6455085,"Arbois",6455085,"Arbois",0,2
