NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
3,3006622,"Dijon",156920,312.2708,1409.1416,393.8692,0,285.5944,3.122708,2.636256,2.447952,1.600584
3,6447838,"Besançon",128138,254.99462,1150.67924,321.62638,0,233.21116,2.5499462,2.1527184,1.9989528,1.3070076
3,3033791,"Belfort",154226,306.90974,1384.94948,387.10726,0,280.69132,3.0690974,2.5909968,2.4059256,1.5731052
3,3027484,"Chalon-sur-Saône",63055,125.47945,566.2339,158.26805,0,114.7601,1.2547945,1.059324,0.983658,0.643161
3,3035843,"Auxerre",38223,76.06377,343.24254,95.93973,0,69.56586,0.7606377,0.6421464,0.5962788,0.3898746
3,2996882,"Mâcon",55766,110.97434,500.77868,139.97266,0,101.49412,1.1097434,0.9368688,0.8699496,0.5688132
3,2990474,"Nevers",72455,144.18545,650.6459,181.86205,0,131.8681,1.4418545,1.217244,1.130298,0.739041
3,11962198,"Sens",63524,126.41276,570.44552,159.44524,0,115.61368,1.2641276,1.0672032,0.9909744,0.6479448
3,2992938,"Montbéliard",25395,50.53605,228.0471,63.74145,0,46.2189,0.5053605,0.426636,0.396162,0.259029
3,3021263,"Dole",42373,84.32227,380.50954,106.35623,0,77.11886,0.8432227,0.7118664,0.6610188,0.4322046
3,6614182,"Le Creusot",59428.9999999999,118.26371,533.67242,149.16679,0,108.16078,1.1826371,0.9984072,0.9270924,0.6061758
3,6490278,"Beaune",36431,72.49769,327.15038,91.44181,0,66.30442,0.7249769,0.6120408,0.5683236,0.3715962
3,2992863,"Montceau-les-Mines",33145,65.95855,297.6421,83.19395,0,60.3239,0.6595855,0.556836,0.517062,0.338079
3,6429944,"Pontarlier",33778,67.21822,303.32644,84.78278,0,61.47596,0.6721822,0.5674704,0.5269368,0.3445356
3,6433608,"Lons-le-Saunier",37937,75.49463,340.67426,95.22187,0,69.04534,0.7549463,0.6373416,0.5918172,0.3869574
3,6454607,"Vesoul",34571,68.79629,310.44758,86.77321,0,62.91922,0.6879629,0.5807928,0.5393076,0.3526242
3,3035883,"Autun",14992,29.83408,134.62816,37.62992,0,27.28544,0.2983408,0.2518656,0.2338752,0.1529184
3,2973510,"Talant",11630,23.1437,104.4374,29.1913,0,21.1666,0.231437,0.195384,0.181428,0.118626
3,6441973,"Héricourt",10654,21.20146,95.67292,26.74154,0,19.39028,0.2120146,0.1789872,0.1662024,0.1086708
3,3012319,"Joigny",30717,61.12683,275.83866,77.09967,0,55.90494,0.6112683,0.5160456,0.4791852,0.3133134
3,6442356,"Paray-le-Monial",19356,38.51844,173.81688,48.58356,0,35.22792,0.3851844,0.3251808,0.3019536,0.1974312
3,6454111,"Saint-Claude",24890,49.5311,223.5122,62.4739,0,45.2998,0.495311,0.418152,0.388284,0.253878
3,3018032,"Fontaine-lès-Dijon",102002,202.98398,915.97796,256.02502,0,185.64364,2.0298398,1.7136336,1.5912312,1.0404204
3,2976697,"Saint-Vallier",15706,31.25494,141.03988,39.42206,0,28.58492,0.3125494,0.2638608,0.2450136,0.1602012
3,2997076,"Lure",16523,32.88077,148.37654,41.47273,0,30.07186,0.3288077,0.2775864,0.2577588,0.1685346
3,3027235,"Champagnole",10868,21.62732,97.59464,27.27868,0,19.77976,0.2162732,0.1825824,0.1695408,0.1108536
3,3035828,"Auxonne",12788,25.44812,114.83624,32.09788,0,23.27416,0.2544812,0.2148384,0.1994928,0.1304376
3,2981655,"Saint-Apollinaire",9632,19.16768,86.49536,24.17632,0,17.53024,0.1916768,0.1618176,0.1502592,0.0982464
3,6442184,"Charnay-lès-Mâcon",9742,19.38658,87.48316,24.45242,0,17.73044,0.1938658,0.1636656,0.1519752,0.0993684
3,2993928,"Migennes",7247,14.42153,65.07806,18.18997,0,13.18954,0.1442153,0.1217496,0.1130532,0.0739194
3,2991692,"Morteau",33493,66.65107,300.76714,84.06743,0,60.95726,0.6665107,0.5626824,0.5224908,0.3416286
3,6441988,"Luxeuil-les-Bains",17598,35.02002,158.03004,44.17098,0,32.02836,0.3502002,0.2956464,0.2745288,0.1794996
3,2977229,"Saint-Rémy",6617,13.16783,59.42066,16.60867,0,12.04294,0.1316783,0.1111656,0.1032252,0.0674934
3,3035768,"Avallon",10408,20.71192,93.46384,26.12408,0,18.94256,0.2071192,0.1748544,0.1623648,0.1061616
3,2997439,"Louhans",19019,37.84781,170.79062,47.73769,0,34.61458,0.3784781,0.3195192,0.2966964,0.1939938
3,8295798,"Châtenoy-le-Royal",26822,53.37578,240.86156,67.32322,0,48.81604,0.5337578,0.4506096,0.4184232,0.2735844
3,6454631,"Saint-Marcel",6113,12.16487,54.89474,15.34363,0,11.12566,0.1216487,0.1026984,0.0953628,0.0623526
3,6447839,"Bethoncourt",116963,232.75637,1050.32774,293.57713,0,212.87266,2.3275637,1.9649784,1.8246228,1.1930226
3,6454592,"Gray",13064,25.99736,117.31472,32.79064,0,23.77648,0.2599736,0.2194752,0.2037984,0.1332528
3,3027642,"Chagny",5535,11.01465,49.7043,13.89285,0,10.0737,0.1101465,0.092988,0.086346,0.056457
3,6442513,"Tournus",12651,25.17549,113.60598,31.75401,0,23.02482,0.2517549,0.2125368,0.1973556,0.1290402
3,2989837,"Nuits-Saint-Georges",5421,10.78779,48.68058,13.60671,0,9.86622,0.1078779,0.0910728,0.0845676,0.0552942
3,3026046,"Châtillon-sur-Seine",5354,10.65446,48.07892,13.43854,0,9.74428,0.1065446,0.0899472,0.0835224,0.0546108
3,3021661,"Decize",18150,36.1185,162.987,45.5565,0,33.033,0.361185,0.30492,0.28314,0.18513
3,2968511,"Villeneuve-sur-Yonne",5179,10.30621,46.50742,12.99929,0,9.42578,0.1030621,0.0870072,0.0807924,0.0528258
3,2992953,"Montbard",11994,23.86806,107.70612,30.10494,0,21.82908,0.2386806,0.2014992,0.1871064,0.1223388
3,3034535,"Baume-les-Dames",66783,132.89817,599.71134,167.62533,0,121.54506,1.3289817,1.1219544,1.0418148,0.6811866
3,2996881,"Cluny",4880,9.7112,43.8224,12.2488,0,8.8816,0.097112,0.081984,0.076128,0.049776
3,3031090,"Bourbon-Lancy",4820,9.5918,43.2836,12.0982,0,8.7724,0.095918,0.080976,0.075192,0.049164
3,6452602,"Bavilliers",7423,14.77177,66.65854,18.63173,0,13.50986,0.1477177,0.1247064,0.1157988,0.0757146
3,2972467,"Tonnerre",4478,8.91122,40.21244,11.23978,0,8.14996,0.0891122,0.0752304,0.0698568,0.0456756
3,6428669,"Is-sur-Tille",9631,19.16569,86.48638,24.17381,0,17.52842,0.1916569,0.1618008,0.1502436,0.0982362
3,2993316,"Monéteau",4127,8.21273,37.06046,10.35877,0,7.51114,0.0821273,0.0693336,0.0643812,0.0420954
3,6429772,"Étupes",3726,7.41474,33.45948,9.35226,0,6.78132,0.0741474,0.0625968,0.0581256,0.0380052
3,3013448,"Hérimoncourt",3676,7.31524,33.01048,9.22676,0,6.69032,0.0731524,0.0617568,0.0573456,0.0374952
3,3024782,"Clamecy",4826,9.60374,43.33748,12.11326,0,8.78332,0.0960374,0.0810768,0.0752856,0.0492252
3,6455085,"Arbois",3314,6.59486,29.75972,8.31814,0,6.03148,0.0659486,0.0556752,0.0516984,0.0338028
3,3037370,"Appoigny",27543,54.81057,247.33614,69.13293,0,50.12826,0.5481057,0.4627224,0.4296708,0.2809386
3,3020991,"Doubs",3126,6.22074,28.07148,7.84626,0,5.68932,0.0622074,0.0525168,0.0487656,0.0318852
3,6454608,"Charolles",2810,5.5919,25.2338,7.0531,0,5.1142,0.055919,0.047208,0.043836,0.028662
3,6446048,"Toucy",18918,37.64682,169.88364,47.48418,0,34.43076,0.3764682,0.3178224,0.2951208,0.1929636
3,6433750,"Salins-les-Bains",10726,21.34474,96.31948,26.92226,0,19.52132,0.2134474,0.1801968,0.1673256,0.1094052
3,3022433,"Crissey",2475,4.92525,22.2255,6.21225,0,4.5045,0.0492525,0.04158,0.03861,0.025245
3,2975819,"Saulieu",2385,4.74615,21.4173,5.98635,0,4.3407,0.0474615,0.040068,0.037206,0.024327
3,2974710,"Seurre",21432,42.64968,192.45936,53.79432,0,39.00624,0.4264968,0.3600576,0.3343392,0.2186064
3,3017330,"Franois",4681,9.31519,42.03538,11.74931,0,8.51942,0.0931519,0.0786408,0.0730236,0.0477462
3,2996957,"Luzy",1982,3.94418,17.79836,4.97482,0,3.60724,0.0394418,0.0332976,0.0309192,0.0202164
3,3012961,"Hurigny",1968,3.91632,17.67264,4.93968,0,3.58176,0.0391632,0.0330624,0.0307008,0.0200736
3,6614949,"Château-Chinon (Ville)",3369,6.70431,30.25362,8.45619,0,6.13158,0.0670431,0.0565992,0.0525564,0.0343638
3,2977432,"Saint-Pierre-le-Moûtier",4565,9.08435,40.9937,11.45815,0,8.3083,0.0908435,0.076692,0.071214,0.046563
