CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
6498011,"Rennes",6498011,"Rennes",0,1
3030300,"Brest",3030300,"Brest",0,1
8291241,"Plouzané",3030300,"Brest",0.21,1
2997965,"Locmaria-Plouzané",3030300,"Brest",0.29,1
6431001,"Plougonvelin",3030300,"Brest",0.43,1
2986698,"Plouarzel",3030300,"Brest",0.46,1
2993884,"Milizac",3030300,"Brest",0.26,1
3029068,"Camaret-sur-Mer",3030300,"Brest",0.38,1
2986661,"Plouguin",3030300,"Brest",0.43,1
2986646,"Ploumoguer",3030300,"Brest",0.43,1
3007487,"Lanvéoc",3030300,"Brest",0.29,1
3007490,"Lanrivoaré",3030300,"Brest",0.36,1
2986634,"Plourin",3030300,"Brest",0.49,1
2973813,"Quimper",2973813,"Quimper",0,1
3017624,"Fouesnant",2973813,"Quimper",0.33,1
3019920,"Ergué-Gabéric",2973813,"Quimper",0.14,1
3030102,"Briec",2973813,"Quimper",0.34,1
3009352,"La Forêt-Fouesnant",2973813,"Quimper",0.33,1
3020283,"Elliant",2973813,"Quimper",0.38,1
6430984,"Plogonnec",2973813,"Quimper",0.29,1
3007645,"Edern",2973813,"Quimper",0.37,1
3007818,"Landrévarzec",2973813,"Quimper",0.27,1
6431031,"Quéménéven",2973813,"Quimper",0.33,1
6464789,"Lorient",6464789,"Lorient",0,1
3007663,"Languidic",6464789,"Lorient",0.44,1
2970777,"Vannes",2970777,"Vannes",0,1
2978640,"Saint-Malo",2978640,"Saint-Malo",0,1
2986757,"Pleurtuit",2978640,"Saint-Malo",0.21,1
2978062,"Saint-Méloir-des-Ondes",2978640,"Saint-Malo",0.19,1
6612499,"Miniac-Morvan",2978640,"Saint-Malo",0.42,1
2986683,"Plouër-sur-Rance",2978640,"Saint-Malo",0.33,1
2981237,"Saint-Cast-le-Guildo",2978640,"Saint-Malo",0.46,1
2986695,"Ploubalay",2978640,"Saint-Malo",0.31,1
6616116,"Pleudihen-sur-Rance",2978640,"Saint-Malo",0.4,1
2981008,"Saint-Coulomb",2978640,"Saint-Malo",0.19,1
2986796,"Plerguer",2978640,"Saint-Malo",0.45,1
2979160,"Saint-Jouan-des-Guérets",2978640,"Saint-Malo",0.15,1
3009266,"La Fresnais",2978640,"Saint-Malo",0.34,1
2973579,"Taden",2978640,"Saint-Malo",0.48,1
2978668,"Saint-Lunaire",2978640,"Saint-Malo",0.19,1
3006929,"La Richardais",2978640,"Saint-Malo",0.13,1
2977616,"Saint-Père-Marc-en-Poulet",2978640,"Saint-Malo",0.23,1
2981294,"Saint-Briac-sur-Mer",2978640,"Saint-Malo",0.24,1
6455892,"La Gouesnière",2978640,"Saint-Malo",0.24,1
3026237,"Châteauneuf-d’Ille-et-Vilaine",2978640,"Saint-Malo",0.28,1
