NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
2,6498011,"Rennes",727357,1214.68619,872.8284,1825.66607,0,1942.04319,4.8005562,3.636785,2.2548067,0.2182071
2,3030300,"Brest",341516,570.33172,409.8192,857.20516,0,911.84772,2.2540056,1.70758,1.0586996,0.1024548
2,2973813,"Quimper",101667,169.78389,122.0004,255.18417,0,271.45089,0.6710022,0.508335,0.3151677,0.0305001
2,6464789,"Lorient",65159,108.81553,78.1908,163.54909,0,173.97453,0.4300494,0.325795,0.2019929,0.0195477
2,2970777,"Vannes",53352,89.09784,64.0224,133.91352,0,142.44984,0.3521232,0.26676,0.1653912,0.0160056
2,2978640,"Saint-Malo",117648,196.47216,141.1776,295.29648,0,314.12016,0.7764768,0.58824,0.3647088,0.0352944
2,8286872,"Saint-Brieuc",44372,74.10124,53.2464,111.37372,0,118.47324,0.2928552,0.22186,0.1375532,0.0133116
2,3007794,"Lanester",22728,37.95576,27.2736,57.04728,0,60.68376,0.1500048,0.11364,0.0704568,0.0068184
2,3017609,"Fougères",20418,34.09806,24.5016,51.24918,0,54.51606,0.1347588,0.10209,0.0632958,0.0061254
2,3007609,"Lannion",20040,33.4668,24.048,50.3004,0,53.5068,0.132264,0.1002,0.062124,0.006012
2,3024035,"Concarneau",20514,34.25838,24.6168,51.49014,0,54.77238,0.1353924,0.10257,0.0635934,0.0061542
2,3029713,"Bruz",49347,82.40949,59.2164,123.86097,0,131.75649,0.3256902,0.246735,0.1529757,0.0148041
2,2967879,"Vitré",23968,40.02656,28.7616,60.15968,0,63.99456,0.1581888,0.11984,0.0743008,0.0071904
2,2986732,"Ploemeur",17790,29.7093,21.348,44.6529,0,47.4993,0.117414,0.08895,0.055149,0.005337
2,3027767,"Cesson-Sévigné",17312,28.91104,20.7744,43.45312,0,46.22304,0.1142592,0.08656,0.0536672,0.0051936
2,3007874,"Landerneau",15914,26.57638,19.0968,39.94414,0,42.49038,0.1050324,0.07957,0.0493334,0.0047742
2,6449866,"Hennebont",15858,26.48286,19.0296,39.80358,0,42.34086,0.1046628,0.07929,0.0491598,0.0047574
2,6454341,"Pontivy",14889,24.86463,17.8668,37.37139,0,39.75363,0.0982674,0.074445,0.0461559,0.0044667
2,3014213,"Guipavas",14842,24.78614,17.8104,37.25342,0,39.62814,0.0979572,0.07421,0.0460102,0.0044526
2,2991772,"Morlaix",14729,24.59743,17.6748,36.96979,0,39.32643,0.0972114,0.073645,0.0456599,0.0044187
2,3021356,"Dinan",32752,54.69584,39.3024,82.20752,0,87.44784,0.2161632,0.16376,0.1015312,0.0098256
2,6453802,"Plérin",96082,160.45694,115.2984,241.16582,0,256.53894,0.6341412,0.48041,0.2978542,0.0288246
2,2983743,"Douarnenez",20818,34.76606,24.9816,52.25318,0,55.58406,0.1373988,0.10409,0.0645358,0.0062454
2,2986215,"Auray",29333,48.98611,35.1996,73.62583,0,78.31911,0.1935978,0.146665,0.0909323,0.0087999
2,2984699,"Quimperlé",12188,20.35396,14.6256,30.59188,0,32.54196,0.0804408,0.06094,0.0377828,0.0036564
2,6437369,"Saint-Avé",11787,19.68429,14.1444,29.58537,0,31.47129,0.0777942,0.058935,0.0365397,0.0035361
2,3014303,"Guidel",11659,19.47053,13.9908,29.26409,0,31.12953,0.0769494,0.058295,0.0361429,0.0034977
2,2986678,"Ploufragan",11489,19.18663,13.7868,28.83739,0,30.67563,0.0758274,0.057445,0.0356159,0.0034467
2,3026842,"Chantepie",10458,17.46486,12.5496,26.24958,0,27.92286,0.0690228,0.05229,0.0324198,0.0031374
2,3021351,"Dinard",24215,40.43905,29.058,60.77965,0,64.65405,0.159819,0.121075,0.0750665,0.0072645
2,2986729,"Ploërmel",18992,31.71664,22.7904,47.66992,0,50.70864,0.1253472,0.09496,0.0588752,0.0056976
2,2979619,"Saint-Grégoire",9765,16.30755,11.718,24.51015,0,26.07255,0.064449,0.048825,0.0302715,0.0029295
2,6453799,"Loudéac",35519,59.31673,42.6228,89.15269,0,94.83573,0.2344254,0.177595,0.1101089,0.0106557
2,6614831,"Redon",31430,52.4881,37.716,78.8893,0,83.9181,0.207438,0.15715,0.097433,0.009429
2,3007842,"Landivisiau",9142,15.26714,10.9704,22.94642,0,24.40914,0.0603372,0.04571,0.0283402,0.0027426
2,2975113,"Séné",31240,52.1708,37.488,78.4124,0,83.4108,0.206184,0.1562,0.096844,0.009372
2,2975916,"Sarzeau",8487,14.17329,10.1844,21.30237,0,22.66029,0.0560142,0.042435,0.0263097,0.0025461
2,2971931,"Trégueux",17019,28.42173,20.4228,42.71769,0,45.44073,0.1123254,0.085095,0.0527589,0.0051057
2,3012495,"Janzé",8329,13.90943,9.9948,20.90579,0,22.23843,0.0549714,0.041645,0.0258199,0.0024987
2,3006876,"Larmor-Plage",8327,13.90609,9.9924,20.90077,0,22.23309,0.0549582,0.041635,0.0258137,0.0024981
2,2977189,"Saint-Renan",12648,21.12216,15.1776,31.74648,0,33.77016,0.0834768,0.06324,0.0392088,0.0037944
2,2969741,"Vern-sur-Seiche",260199,434.53233,312.2388,653.09949,0,694.73133,1.7173134,1.300995,0.8066169,0.0780597
2,3014280,"Guilers",7987,13.33829,9.5844,20.04737,0,21.32529,0.0527142,0.039935,0.0247597,0.0023961
2,3022242,"Crozon",10160,16.9672,12.192,25.5016,0,27.1272,0.067056,0.0508,0.031496,0.003048
2,3035327,"Bain-de-Bretagne",24138,40.31046,28.9656,60.58638,0,64.44846,0.1593108,0.12069,0.0748278,0.0072414
2,2994245,"Lesneven",90288,150.78096,108.3456,226.62288,0,241.06896,0.5959008,0.45144,0.2798928,0.0270864
2,2988796,"Paimpol",27254,45.51418,32.7048,68.40754,0,72.76818,0.1798764,0.13627,0.0844874,0.0081762
2,3028603,"Carhaix-Plouguer",22313,37.26271,26.7756,56.00563,0,59.57571,0.1472658,0.111565,0.0691703,0.0066939
2,3014221,"Guingamp",7022,11.72674,8.4264,17.62522,0,18.74874,0.0463452,0.03511,0.0217682,0.0021066
2,2992581,"Montfort-sur-Meu",12141,20.27547,14.5692,30.47391,0,32.41647,0.0801306,0.060705,0.0376371,0.0036423
2,2986708,"Plonéour-Lanvern",75346,125.82782,90.4152,189.11846,0,201.17382,0.4972836,0.37673,0.2335726,0.0226038
2,3014393,"Guer",10671,17.82057,12.8052,26.78421,0,28.49157,0.0704286,0.053355,0.0330801,0.0032013
2,3024137,"Combourg",30357,50.69619,36.4284,76.19607,0,81.05319,0.2003562,0.151785,0.0941067,0.0091071
2,3026262,"Châteaulin",9951,16.61817,11.9412,24.97701,0,26.56917,0.0656766,0.049755,0.0308481,0.0029853
2,3028868,"Cancale",5147,8.59549,6.1764,12.91897,0,13.74249,0.0339702,0.025735,0.0159557,0.0015441
2,2991077,"Muzillac",67647,112.97049,81.1764,169.79397,0,180.61749,0.4464702,0.338235,0.2097057,0.0202941
2,2967234,"Yffiniac",8090,13.5103,9.708,20.3059,0,21.6003,0.053394,0.04045,0.025079,0.002427
2,3033884,"Bégard",6269,10.46923,7.5228,15.73519,0,16.73823,0.0413754,0.031345,0.0194339,0.0018807
2,6437322,"Nivillac",4645,7.75715,5.574,11.65895,0,12.40215,0.030657,0.023225,0.0143995,0.0013935
2,6431048,"Saint-Martin-des-Champs",69750,116.4825,83.7,175.0725,0,186.2325,0.46035,0.34875,0.216225,0.020925
2,2978067,"Saint-Méen-le-Grand",33945,56.68815,40.734,85.20195,0,90.63315,0.224037,0.169725,0.1052295,0.0101835
2,6616618,"Pont-Péan",4437,7.40979,5.3244,11.13687,0,11.84679,0.0292842,0.022185,0.0137547,0.0013311
2,3008857,"La Guerche-de-Bretagne",9378,15.66126,11.2536,23.53878,0,25.03926,0.0618948,0.04689,0.0290718,0.0028134
2,2986803,"Plémet",4959,8.28153,5.9508,12.44709,0,13.24053,0.0327294,0.024795,0.0153729,0.0014877
2,2989918,"Noyal-Pontivy",3619,6.04373,4.3428,9.08369,0,9.66273,0.0238854,0.018095,0.0112189,0.0010857
2,3033470,"Bénodet",10623,17.74041,12.7476,26.66373,0,28.36341,0.0701118,0.053115,0.0329313,0.0031869
2,3032125,"Bohars",15489,25.86663,18.5868,38.87739,0,41.35563,0.1022274,0.077445,0.0480159,0.0046467
2,2986672,"Plougonven",3477,5.80659,4.1724,8.72727,0,9.28359,0.0229482,0.017385,0.0107787,0.0010431
2,6431037,"Roscoff",10649,17.78383,12.7788,26.72899,0,28.43283,0.0702834,0.053245,0.0330119,0.0031947
2,2992537,"Montgermont",52836,88.23612,63.4032,132.61836,0,141.07212,0.3487176,0.26418,0.1637916,0.0158508
2,2976537,"Saint-Yvi",5095,8.50865,6.114,12.78845,0,13.60365,0.033627,0.025475,0.0157945,0.0015285
2,2994676,"Mellac",96997,161.98499,116.3964,243.46247,0,258.98199,0.6401802,0.484985,0.3006907,0.0290991
2,2982711,"Rostrenen",4798,8.01266,5.7576,12.04298,0,12.81066,0.0316668,0.02399,0.0148738,0.0014394
2,2986894,"Plancoët",29517,49.29339,35.4204,74.08767,0,78.81039,0.1948122,0.147585,0.0915027,0.0088551
