NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
3	6498011	Rennes	727357.00	1447.44	6531.67	1825.67	0.00	1323.79	14.47	12.22	11.35	7.42
3	3030300	Brest	341516.00	679.62	3066.81	857.21	0.00	621.56	6.80	5.74	5.33	3.48
3	2973813	Quimper	159584.00	317.57	1433.06	400.56	0.00	290.44	3.18	2.68	2.49	1.63
3	6464789	Lorient	65159.00	129.67	585.13	163.55	0.00	118.59	1.30	1.09	1.02	0.66
3	2970777	Vannes	53352.00	106.17	479.10	133.91	0.00	97.10	1.06	0.90	0.83	0.54
3	2978640	Saint-Malo	117648.00	234.12	1056.48	295.30	0.00	214.12	2.34	1.98	1.84	1.20
3	8286872	Saint-Brieuc	44372.00	88.30	398.46	111.37	0.00	80.76	0.88	0.75	0.69	0.45
3	3007794	Lanester	22728.00	45.23	204.10	57.05	0.00	41.36	0.45	0.38	0.35	0.23
3	3017609	Fougères	72033.00	143.35	646.86	180.80	0.00	131.10	1.43	1.21	1.12	0.73
3	3007609	Lannion	20040.00	39.88	179.96	50.30	0.00	36.47	0.40	0.34	0.31	0.20
3	3024035	Concarneau	20514.00	40.82	184.22	51.49	0.00	37.34	0.41	0.34	0.32	0.21
3	3029713	Bruz	60018.00	119.44	538.96	150.65	0.00	109.23	1.19	1.01	0.94	0.61
3	2967879	Vitré	23968.00	47.70	215.23	60.16	0.00	43.62	0.48	0.40	0.37	0.24
3	2986732	Ploemeur	17790.00	35.40	159.75	44.65	0.00	32.38	0.35	0.30	0.28	0.18
3	3027767	Cesson-Sévigné	17312.00	34.45	155.46	43.45	0.00	31.51	0.34	0.29	0.27	0.18
3	3007874	Landerneau	15914.00	31.67	142.91	39.94	0.00	28.96	0.32	0.27	0.25	0.16
3	6449866	Hennebont	15858.00	31.56	142.40	39.80	0.00	28.86	0.32	0.27	0.25	0.16
3	6454341	Pontivy	14889.00	29.63	133.70	37.37	0.00	27.10	0.30	0.25	0.23	0.15
3	3014213	Guipavas	14842.00	29.54	133.28	37.25	0.00	27.01	0.30	0.25	0.23	0.15
3	2991772	Morlaix	14729.00	29.31	132.27	36.97	0.00	26.81	0.29	0.25	0.23	0.15
3	3021356	Dinan	32752.00	65.18	294.11	82.21	0.00	59.61	0.65	0.55	0.51	0.33
3	6453802	Plérin	96082.00	191.20	862.82	241.17	0.00	174.87	1.91	1.61	1.50	0.98
3	2983743	Douarnenez	20818.00	41.43	186.95	52.25	0.00	37.89	0.41	0.35	0.32	0.21
3	2986215	Auray	29333.00	58.37	263.41	73.63	0.00	53.39	0.58	0.49	0.46	0.30
3	2984699	Quimperlé	12188.00	24.25	109.45	30.59	0.00	22.18	0.24	0.20	0.19	0.12
