NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP_ATENDIDA,ATEND_FTE
1,6498011,"Rennes",1,"Physicians",727357,298.2164
1,6498011,"Rennes",2,"Nurses",727357,1840.2132
1,6498011,"Rennes",3,"OtherCadres",727357,909.1963
1,6498011,"Rennes",4,"CommunityBased",727357,3549.5022
1,6498011,"Rennes",5,"Beds",727357,0
1,6498011,"Rennes",6,"CTScanner",727357,0
1,6498011,"Rennes",7,"MRIUnit",727357,0
1,6498011,"Rennes",8,"Mammography",727357,0
1,6498011,"Rennes",9,"Radiotherapy",727357,0
1,3030300,"Brest",1,"Physicians",341516,140.0215
1,3030300,"Brest",2,"Nurses",341516,864.0356
1,3030300,"Brest",3,"OtherCadres",341516,426.8953
1,3030300,"Brest",4,"CommunityBased",341516,1666.5979
1,3030300,"Brest",5,"Beds",341516,0
1,3030300,"Brest",6,"CTScanner",341516,0
1,3030300,"Brest",7,"MRIUnit",341516,0
1,3030300,"Brest",8,"Mammography",341516,0
1,3030300,"Brest",9,"Radiotherapy",341516,0
1,2973813,"Quimper",1,"Physicians",101667,41.6835
1,2973813,"Quimper",2,"Nurses",101667,257.2175
1,2973813,"Quimper",3,"OtherCadres",101667,127.084
1,2973813,"Quimper",4,"CommunityBased",101667,496.1349
1,2973813,"Quimper",5,"Beds",101667,0
1,2973813,"Quimper",6,"CTScanner",101667,0
1,2973813,"Quimper",7,"MRIUnit",101667,0
1,2973813,"Quimper",8,"Mammography",101667,0
1,2973813,"Quimper",9,"Radiotherapy",101667,0
1,6464789,"Lorient",1,"Physicians",65159,26.7152
1,6464789,"Lorient",2,"Nurses",65159,164.8523
1,6464789,"Lorient",3,"OtherCadres",65159,81.4488
1,6464789,"Lorient",4,"CommunityBased",65159,317.9759
1,6464789,"Lorient",5,"Beds",65159,0
1,6464789,"Lorient",6,"CTScanner",65159,0
1,6464789,"Lorient",7,"MRIUnit",65159,0
1,6464789,"Lorient",8,"Mammography",65159,0
1,6464789,"Lorient",9,"Radiotherapy",65159,0
1,2970777,"Vannes",1,"Physicians",53352,21.8743
1,2970777,"Vannes",2,"Nurses",53352,134.9806
1,2970777,"Vannes",3,"OtherCadres",53352,66.69
1,2970777,"Vannes",4,"CommunityBased",53352,260.3578
