NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
2	2988800	Nice	1006402.00	1680.69	1207.68	2526.07	0.00	2687.09	6.64	5.03	3.12	0.30
2	2969187	Marseille	870018.00	1452.93	1044.02	2183.75	0.00	2322.95	5.74	4.35	2.70	0.26
2	2980772	Toulon	171953.00	287.16	206.34	431.60	0.00	459.11	1.13	0.86	0.53	0.05
2	3038354	Aix-en-Provence	166254.00	277.64	199.50	417.30	0.00	443.90	1.10	0.83	0.52	0.05
2	3035681	Avignon	93671.00	156.43	112.41	235.11	0.00	250.10	0.62	0.47	0.29	0.03
2	3028808	Cannes	73868.00	123.36	88.64	185.41	0.00	197.23	0.49	0.37	0.23	0.02
2	2977162	Antibes	72999.00	121.91	87.60	183.23	0.00	194.91	0.48	0.36	0.23	0.02
2	2974657	La Seyne-sur-Mer	63936.00	106.77	76.72	160.48	0.00	170.71	0.42	0.32	0.20	0.02
2	3012937	Hyères	55588.00	92.83	66.71	139.53	0.00	148.42	0.37	0.28	0.17	0.02
2	3017253	Fréjus	52672.00	87.96	63.21	132.21	0.00	140.63	0.35	0.26	0.16	0.02
2	3036938	Arles	69506.00	116.08	83.41	174.46	0.00	185.58	0.46	0.35	0.22	0.02
2	3029227	Cagnes-sur-Mer	50928.00	85.05	61.11	127.83	0.00	135.98	0.34	0.25	0.16	0.02
2	3014856	Grasse	50396.00	84.16	60.48	126.49	0.00	134.56	0.33	0.25	0.16	0.02
2	6454958	Martigues	98683.00	164.80	118.42	247.69	0.00	263.48	0.65	0.49	0.31	0.03
2	3036433	Aubagne	69691.00	116.38	83.63	174.92	0.00	186.07	0.46	0.35	0.22	0.02
2	2976341	Salon-de-Provence	54943.00	91.75	65.93	137.91	0.00	146.70	0.36	0.27	0.17	0.02
2	3012647	Istres	43133.00	72.03	51.76	108.26	0.00	115.17	0.28	0.22	0.13	0.01
2	3004871	Le Cannet	41471.00	69.26	49.77	104.09	0.00	110.73	0.27	0.21	0.13	0.01
2	3016702	Gap	50147.00	83.75	60.18	125.87	0.00	133.89	0.33	0.25	0.16	0.02
2	3020850	Draguignan	39340.00	65.70	47.21	98.74	0.00	105.04	0.26	0.20	0.12	0.01
2	6456718	La Ciotat	35174.00	58.74	42.21	88.29	0.00	93.91	0.23	0.18	0.11	0.01
2	6445063	Saint-Raphaël	37979.00	63.42	45.57	95.33	0.00	101.40	0.25	0.19	0.12	0.01
2	2967870	Vitrolles	103034.00	172.07	123.64	258.62	0.00	275.10	0.68	0.52	0.32	0.03
2	2995750	Marignane	32920.00	54.98	39.50	82.63	0.00	87.90	0.22	0.16	0.10	0.01
2	2989460	Orange	52419.00	87.54	62.90	131.57	0.00	139.96	0.35	0.26	0.16	0.02
2	2978891	Saint-Laurent-du-Var	28453.00	47.52	34.14	71.42	0.00	75.97	0.19	0.14	0.09	0.01
2	3028542	Carpentras	67338.00	112.45	80.81	169.02	0.00	179.79	0.44	0.34	0.21	0.02
2	6425695	Vallauris	26672.00	44.54	32.01	66.95	0.00	71.21	0.18	0.13	0.08	0.01
2	6614137	Cavaillon	84918.00	141.81	101.90	213.14	0.00	226.73	0.56	0.42	0.26	0.03
2	3009198	La Garde	25126.00	41.96	30.15	63.07	0.00	67.09	0.17	0.13	0.08	0.01
2	2996255	Mandelieu-la-Napoule	55382.00	92.49	66.46	139.01	0.00	147.87	0.37	0.28	0.17	0.02
2	6425528	Manosque	29271.00	48.88	35.13	73.47	0.00	78.15	0.19	0.15	0.09	0.01
2	3038159	Allauch	21187.00	35.38	25.42	53.18	0.00	56.57	0.14	0.11	0.07	0.01
2	3016667	Gardanne	20794.00	34.73	24.95	52.19	0.00	55.52	0.14	0.10	0.06	0.01
2	2987825	Pertuis	20380.00	34.03	24.46	51.15	0.00	54.41	0.13	0.10	0.06	0.01
2	2991551	Mougins	19489.00	32.55	23.39	48.92	0.00	52.04	0.13	0.10	0.06	0.01
2	2974188	Sorgues	22958.00	38.34	27.55	57.62	0.00	61.30	0.15	0.11	0.07	0.01
2	2970148	Vence	172924.00	288.78	207.51	434.04	0.00	461.71	1.14	0.86	0.54	0.05
2	2999891	La Crau	36715.00	61.31	44.06	92.15	0.00	98.03	0.24	0.18	0.11	0.01
2	3030057	Brignoles	46909.00	78.34	56.29	117.74	0.00	125.25	0.31	0.23	0.15	0.01
2	2976258	Sanary-sur-Mer	16696.00	27.88	20.04	41.91	0.00	44.58	0.11	0.08	0.05	0.01
2	6618043	Digne-les-Bains	18794.00	31.39	22.55	47.17	0.00	50.18	0.12	0.09	0.06	0.01
2	2973393	Tarascon	38700.00	64.63	46.44	97.14	0.00	103.33	0.26	0.19	0.12	0.01
2	3031387	Bouc-Bel-Air	196070.00	327.44	235.28	492.14	0.00	523.51	1.29	0.98	0.61	0.06
2	2982875	Roquebrune-sur-Argens	34836.00	58.18	41.80	87.44	0.00	93.01	0.23	0.17	0.11	0.01
2	2989590	Ollioules	13771.00	23.00	16.53	34.57	0.00	36.77	0.09	0.07	0.04	0.00
2	3003188	Cogolin	47701.00	79.66	57.24	119.73	0.00	127.36	0.31	0.24	0.15	0.01
2	3030142	Briançon	18581.00	31.03	22.30	46.64	0.00	49.61	0.12	0.09	0.06	0.01
2	3037352	Apt	33123.00	55.32	39.75	83.14	0.00	88.44	0.22	0.17	0.10	0.01
2	3003650	Le Luc	33885.00	56.59	40.66	85.05	0.00	90.47	0.22	0.17	0.11	0.01
2	2977214	Saint-Rémy-de-Provence	9829.00	16.41	11.79	24.67	0.00	26.24	0.06	0.05	0.03	0.00
2	3028534	Carqueiranne	9555.00	15.96	11.47	23.98	0.00	25.51	0.06	0.05	0.03	0.00
2	6615256	Valréas	13131.00	21.93	15.76	32.96	0.00	35.06	0.09	0.07	0.04	0.00
2	6447163	Roquevaire	8858.00	14.79	10.63	22.23	0.00	23.65	0.06	0.04	0.03	0.00
2	2988220	Pégomas	7992.00	13.35	9.59	20.06	0.00	21.34	0.05	0.04	0.02	0.00
2	6447121	Éguilles	30844.00	51.51	37.01	77.42	0.00	82.35	0.20	0.15	0.10	0.01
2	2974446	Sisteron	31655.00	52.86	37.99	79.45	0.00	84.52	0.21	0.16	0.10	0.01
2	3023842	Contes	7429.00	12.41	8.91	18.65	0.00	19.84	0.05	0.04	0.02	0.00
2	3019219	Eyguières	6926.00	11.57	8.31	17.38	0.00	18.49	0.05	0.03	0.02	0.00
2	2976656	Saint-Victoret	23202.00	38.75	27.84	58.24	0.00	61.95	0.15	0.12	0.07	0.01
