NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
2,3227183,"Ajaccio",70659,118.00053,84.7908,177.35409,0,188.65953,0.4663494,0.353295,0.2190429,0.0211977
2,3018443,"Bastia",45715,76.34405,54.858,114.74465,0,122.05905,0.301719,0.228575,0.1417165,0.0137145
2,2985947,"Porto-Vecchio",18786,31.37262,22.5432,47.15286,0,50.15862,0.1239876,0.09393,0.0582366,0.0056358
2,6616385,"Borgo",28571,47.71357,34.2852,71.71321,0,76.28457,0.1885686,0.142855,0.0885701,0.0085713
2,2988658,"Corte",7468,12.47156,8.9616,18.74468,0,19.93956,0.0492888,0.03734,0.0231508,0.0022404
2,3029090,"Calvi",15327,25.59609,18.3924,38.47077,0,40.92309,0.1011582,0.076635,0.0475137,0.0045981
2,3213049,"Furiani",15269,25.49923,18.3228,38.32519,0,40.76823,0.1007754,0.076345,0.0473339,0.0045807
2,6431123,"Sartène",10719,17.90073,12.8628,26.90469,0,28.61973,0.0707454,0.053595,0.0332289,0.0032157
2,3031801,"Bonifacio",3189,5.32563,3.8268,8.00439,0,8.51463,0.0210474,0.015945,0.0098859,0.0009567
2,2973571,"Aléria",14944,24.95648,17.9328,37.50944,0,39.90048,0.0986304,0.07472,0.0463264,0.0044832
2,3037372,"Appietto",25244,42.15748,30.2928,63.36244,0,67.40148,0.1666104,0.12622,0.0782564,0.0075732
