CODIGO_O	                        ORIGEM	CODIGO_D	                       DESTINO	      DISTANCIA
2973781	                    Strasbourg	2973781	                    Strasbourg	    0.00
8293796	                         Nancy	8293796	                         Nancy	    0.00
6454365	                          Metz	6454365	                          Metz	    0.00
6441541	                      Mulhouse	6441541	                      Mulhouse	    0.00
6524641	                         Reims	6524641	                         Reims	    0.00
3032847	                      Bezannes	6524641	                         Reims	    0.14
2985208	                        Prunay	6524641	                         Reims	    0.33
6445533	                       Épinal	6445533	                       Épinal	    0.00
3024297	                        Colmar	3024297	                        Colmar	    0.00
6441214	                  Marckolsheim	3024297	                        Colmar	    0.42
6441561	                         Orbey	3024297	                        Colmar	    0.38
6450659	                      Biesheim	3024297	                        Colmar	    0.37
3011969	                   Kaysersberg	3024297	                        Colmar	    0.24
3033382	                      Bergheim	3024297	                        Colmar	    0.34
3007160	                    Lapoutroie	3024297	                        Colmar	    0.40
6441499	                       Kunheim	3024297	                        Colmar	    0.33
6441179	                     Kintzheim	3024297	                        Colmar	    0.49
2989100	                       Ostheim	3024297	                        Colmar	    0.22
3014415	                       Guémar	3024297	                        Colmar	    0.31
3012365	                      Jebsheim	3024297	                        Colmar	    0.25
6450651	                      Bennwihr	3024297	                        Colmar	    0.18
3017249	                      Fréland	3024297	                        Colmar	    0.39
6441542	                   Muntzenheim	3024297	                        Colmar	    0.23
2983451	                     Riquewihr	3024297	                        Colmar	    0.26
2989686	                     Ohnenheim	3024297	                        Colmar	    0.40
6453634	                        Troyes	6453634	                        Troyes	    0.00
3010271	         La Chapelle-Saint-Luc	6453634	                        Troyes	    0.07
2980335	                 Sainte-Savine	6453634	                        Troyes	    0.06
2979052	       Saint-Julien-les-Villas	6453634	                        Troyes	    0.09
3006889	          La Rivière-de-Corps	6453634	                        Troyes	    0.12
6455513	        Les Noës-près-Troyes	6453634	                        Troyes	    0.07
2977718	      Saint-Parres-aux-Tertres	6453634	                        Troyes	    0.07
6426561	                    Saint-Lyé	6453634	                        Troyes	    0.23
3030171	                   Bréviandes	6453634	                        Troyes	    0.13
2979861	                 Saint-Germain	6453634	                        Troyes	    0.15
6426445	             Lusigny-sur-Barse	6453634	                        Troyes	    0.37
3022588	          Créney-près-Troyes	6453634	                        Troyes	    0.13
2969700	                    Verrières	6453634	                        Troyes	    0.23
