NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
2,2973781,"Strasbourg",465069,776.66523,558.0828,1167.32319,0,1241.73423,3.0694554,2.325345,1.4417139,0.1395207
2,8293796,"Nancy",434565,725.72355,521.478,1090.75815,0,1160.28855,2.868129,2.172825,1.3471515,0.1303695
2,6454365,"Metz",405447,677.09649,486.5364,1017.67197,0,1082.54349,2.6759502,2.027235,1.2568857,0.1216341
2,6441541,"Mulhouse",285121,476.15207,342.1452,715.65371,0,761.27307,1.8817986,1.425605,0.8838751,0.0855363
2,6524641,"Reims",186040,310.6868,223.248,466.9604,0,496.7268,1.227864,0.9302,0.576724,0.055812
2,6445533,"Épinal",93184,155.61728,111.8208,233.89184,0,248.80128,0.6150144,0.46592,0.2888704,0.0279552
2,3024297,"Colmar",99732,166.55244,119.6784,250.32732,0,266.28444,0.6582312,0.49866,0.3091692,0.0299196
2,6453634,"Troyes",127660,213.1922,153.192,320.4266,0,340.8522,0.842556,0.6383,0.395746,0.038298
2,2994020,"Charleville-Mézières",46428,77.53476,55.7136,116.53428,0,123.96276,0.3064248,0.23214,0.1439268,0.0139284
2,3027487,"Châlons-en-Champagne",75083,125.38861,90.0996,188.45833,0,200.47161,0.4955478,0.375415,0.2327573,0.0225249
2,6454375,"Thionville",43537,72.70679,52.2444,109.27787,0,116.24379,0.2873442,0.217685,0.1349647,0.0130611
2,3014078,"Haguenau",63632,106.26544,76.3584,159.71632,0,169.89744,0.4199712,0.31816,0.1972592,0.0190896
2,2975446,"Schiltigheim",62942,105.11314,75.5304,157.98442,0,168.05514,0.4154172,0.31471,0.1951202,0.0188826
2,2970797,"Vandœuvre-lès-Nancy",41641,69.54047,49.9692,104.51891,0,111.18147,0.2748306,0.208205,0.1290871,0.0124923
2,3012834,"Illkirch-Graffenstaden",90838,151.69946,109.0056,228.00338,0,242.53746,0.5995308,0.45419,0.2815978,0.0272514
2,2980816,"Saint-Dizier",46809,78.17103,56.1708,117.49059,0,124.98003,0.3089394,0.234045,0.1451079,0.0140427
2,3020062,"Épernay",35522,59.32174,42.6264,89.16022,0,94.84374,0.2344452,0.17761,0.1101182,0.0106566
2,3025892,"Chaumont",28794,48.08598,34.5528,72.27294,0,76.87998,0.1900404,0.14397,0.0892614,0.0086382
2,6454357,"Forbach",24114,40.27038,28.9368,60.52614,0,64.38438,0.1591524,0.12057,0.0747534,0.0072342
2,6441606,"Saint-Louis",21177,35.36559,25.4124,53.15427,0,56.54259,0.1397682,0.105885,0.0656487,0.0063531
2,2975964,"Sarreguemines",22248,37.15416,26.6976,55.84248,0,59.40216,0.1468368,0.11124,0.0689688,0.0066744
2,2980827,"Saint-Dié-des-Vosges",37058,61.88686,44.4696,93.01558,0,98.94486,0.2445828,0.18529,0.1148798,0.0111174
2,2975233,"Sélestat",19360,32.3312,23.232,48.5936,0,51.6912,0.127776,0.0968,0.060016,0.005808
2,6454301,"Lunéville",18027,30.10509,21.6324,45.24777,0,48.13209,0.1189782,0.090135,0.0558837,0.0054081
2,2969958,"Verdun",29678,49.56226,35.6136,74.49178,0,79.24026,0.1958748,0.14839,0.0920018,0.0089034
2,2975349,"Sedan",60178,100.49726,72.2136,151.04678,0,160.67526,0.3971748,0.30089,0.1865518,0.0180534
2,3013627,"Hayange",67906,113.40302,81.4872,170.44406,0,181.30902,0.4481796,0.33953,0.2105086,0.0203718
2,2972350,"Toul",21045,35.14515,25.254,52.82295,0,56.19015,0.138897,0.105225,0.0652395,0.0063135
2,6454369,"Saint-Avold",15433,25.77311,18.5196,38.73683,0,41.20611,0.1018578,0.077165,0.0478423,0.0046299
2,6449768,"Bar-le-Duc",20171,33.68557,24.2052,50.62921,0,53.85657,0.1331286,0.100855,0.0625301,0.0060513
2,6454309,"Pont-à-Mousson",14434,24.10478,17.3208,36.22934,0,38.53878,0.0952644,0.07217,0.0447454,0.0043302
2,6426538,"Romilly-sur-Seine",20269,33.84923,24.3228,50.87519,0,54.11823,0.1337754,0.101345,0.0628339,0.0060807
2,6436699,"Laxou",14300,23.881,17.16,35.893,0,38.181,0.09438,0.0715,0.04433,0.00429
2,3022513,"Creutzwald",63282,105.68094,75.9384,158.83782,0,168.96294,0.4176612,0.31641,0.1961742,0.0189846
2,6450596,"Bischwiller",14543,24.28681,17.4516,36.50293,0,38.82981,0.0959838,0.072715,0.0450833,0.0043629
2,6426546,"Saint-André-les-Vergers",12581,21.01027,15.0972,31.57831,0,33.59127,0.0830346,0.062905,0.0390011,0.0037743
2,2967856,"Vitry-le-François",15719,26.25073,18.8628,39.45469,0,41.96973,0.1037454,0.078595,0.0487289,0.0047157
2,2989796,"Obernai",11350,18.9545,13.62,28.4885,0,30.3045,0.07491,0.05675,0.035185,0.003405
2,3027857,"Cernay",186946,312.19982,224.3352,469.23446,0,499.14582,1.2338436,0.93473,0.5795326,0.0560838
2,2975588,"Saverne",25790,43.0693,30.948,64.7329,0,68.8593,0.170214,0.12895,0.079949,0.007737
2,6454560,"Guebwiller",11022,18.40674,13.2264,27.66522,0,29.42874,0.0727452,0.05511,0.0341682,0.0033066
2,3019865,"Erstein",13302,22.21434,15.9624,33.38802,0,35.51634,0.0877932,0.06651,0.0412362,0.0039906
2,3029771,"Brumath",9970,16.6499,11.964,25.0247,0,26.6199,0.065802,0.04985,0.030907,0.002991
2,2968316,"Villerupt",69977,116.86159,83.9724,175.64227,0,186.83859,0.4618482,0.349885,0.2169287,0.0209931
2,6436741,"Maxéville",173296,289.40432,207.9552,434.97296,0,462.70032,1.1437536,0.86648,0.5372176,0.0519888
2,2987429,"Pfastatt",9656,16.12552,11.5872,24.23656,0,25.78152,0.0637296,0.04828,0.0299336,0.0028968
2,2993476,"Molsheim",218263,364.49921,261.9156,547.84013,0,582.76221,1.4405358,1.091315,0.6766153,0.0654789
2,3021178,"Essey-lès-Nancy",8825,14.73775,10.59,22.15075,0,23.56275,0.058245,0.044125,0.0273575,0.0026475
2,3015741,"Golbey",43296,72.30432,51.9552,108.67296,0,115.60032,0.2857536,0.21648,0.1342176,0.0129888
2,3016274,"Gérardmer",45875,76.61125,55.05,115.14625,0,122.48625,0.302775,0.229375,0.1422125,0.0137625
