NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP_ATENDIDA,ATEND_FTE
1,2973781,"Strasbourg",1,"Physicians",465069,190.6783
1,2973781,"Strasbourg",2,"Nurses",465069,1176.6246
1,2973781,"Strasbourg",3,"OtherCadres",465069,581.3362
1,2973781,"Strasbourg",4,"CommunityBased",465069,2269.5367
1,2973781,"Strasbourg",5,"Beds",465069,0
1,2973781,"Strasbourg",6,"CTScanner",465069,0
1,2973781,"Strasbourg",7,"MRIUnit",465069,0
1,2973781,"Strasbourg",8,"Mammography",465069,0
1,2973781,"Strasbourg",9,"Radiotherapy",465069,0
1,8293796,"Nancy",1,"Physicians",434565,178.1717
1,8293796,"Nancy",2,"Nurses",434565,1099.4494
1,8293796,"Nancy",3,"OtherCadres",434565,543.2063
1,8293796,"Nancy",4,"CommunityBased",434565,2120.6772
1,8293796,"Nancy",5,"Beds",434565,0
1,8293796,"Nancy",6,"CTScanner",434565,0
1,8293796,"Nancy",7,"MRIUnit",434565,0
1,8293796,"Nancy",8,"Mammography",434565,0
1,8293796,"Nancy",9,"Radiotherapy",434565,0
1,6454365,"Metz",1,"Physicians",391187,160.3867
1,6454365,"Metz",2,"Nurses",391187,989.7031
1,6454365,"Metz",3,"OtherCadres",391187,488.9838
1,6454365,"Metz",4,"CommunityBased",391187,1908.9926
1,6454365,"Metz",5,"Beds",391187,0
1,6454365,"Metz",6,"CTScanner",391187,0
1,6454365,"Metz",7,"MRIUnit",391187,0
1,6454365,"Metz",8,"Mammography",391187,0
1,6454365,"Metz",9,"Radiotherapy",391187,0
1,6441541,"Mulhouse",1,"Physicians",285121,116.8996
1,6441541,"Mulhouse",2,"Nurses",285121,721.3561
1,6441541,"Mulhouse",3,"OtherCadres",285121,356.4013
1,6441541,"Mulhouse",4,"CommunityBased",285121,1391.3905
1,6441541,"Mulhouse",5,"Beds",285121,0
1,6441541,"Mulhouse",6,"CTScanner",285121,0
1,6441541,"Mulhouse",7,"MRIUnit",285121,0
1,6441541,"Mulhouse",8,"Mammography",285121,0
1,6441541,"Mulhouse",9,"Radiotherapy",285121,0
1,6524641,"Reims",1,"Physicians",186040,76.2764
1,6524641,"Reims",2,"Nurses",186040,470.6812
1,6524641,"Reims",3,"OtherCadres",186040,232.55
1,6524641,"Reims",4,"CommunityBased",186040,907.8752
1,6524641,"Reims",5,"Beds",186040,0
1,6524641,"Reims",6,"CTScanner",186040,0
1,6524641,"Reims",7,"MRIUnit",186040,0
1,6524641,"Reims",8,"Mammography",186040,0
1,6524641,"Reims",9,"Radiotherapy",186040,0
1,6445533,"Épinal",1,"Physicians",93184,38.2054
1,6445533,"Épinal",2,"Nurses",93184,235.7555
1,6445533,"Épinal",3,"OtherCadres",93184,116.48
1,6445533,"Épinal",4,"CommunityBased",93184,454.7379
1,6445533,"Épinal",5,"Beds",93184,0
1,6445533,"Épinal",6,"CTScanner",93184,0
1,6445533,"Épinal",7,"MRIUnit",93184,0
1,6445533,"Épinal",8,"Mammography",93184,0
1,6445533,"Épinal",9,"Radiotherapy",93184,0
1,3024297,"Colmar",1,"Physicians",99732,40.8902
1,3024297,"Colmar",2,"Nurses",99732,252.3219
1,3024297,"Colmar",3,"OtherCadres",99732,124.6654
1,3024297,"Colmar",4,"CommunityBased",99732,486.6922
1,3024297,"Colmar",5,"Beds",99732,0
1,3024297,"Colmar",6,"CTScanner",99732,0
1,3024297,"Colmar",7,"MRIUnit",99732,0
1,3024297,"Colmar",8,"Mammography",99732,0
1,3024297,"Colmar",9,"Radiotherapy",99732,0
1,6453634,"Troyes",1,"Physicians",127660,52.3405
1,6453634,"Troyes",2,"Nurses",127660,322.9798
1,6453634,"Troyes",3,"OtherCadres",127660,159.5756
1,6453634,"Troyes",4,"CommunityBased",127660,622.9807
1,6453634,"Troyes",5,"Beds",127660,0
1,6453634,"Troyes",6,"CTScanner",127660,0
1,6453634,"Troyes",7,"MRIUnit",127660,0
1,6453634,"Troyes",8,"Mammography",127660,0
1,6453634,"Troyes",9,"Radiotherapy",127660,0
1,2994020,"Charleville-Mézières",1,"Physicians",46428,19.0355
1,2994020,"Charleville-Mézières",2,"Nurses",46428,117.4628
1,2994020,"Charleville-Mézières",3,"OtherCadres",46428,58.035
1,2994020,"Charleville-Mézières",4,"CommunityBased",46428,226.5686
1,2994020,"Charleville-Mézières",5,"Beds",46428,0
1,2994020,"Charleville-Mézières",6,"CTScanner",46428,0
1,2994020,"Charleville-Mézières",7,"MRIUnit",46428,0
1,2994020,"Charleville-Mézières",8,"Mammography",46428,0
1,2994020,"Charleville-Mézières",9,"Radiotherapy",46428,0
1,3027487,"Châlons-en-Champagne",1,"Physicians",67069,27.4982
1,3027487,"Châlons-en-Champagne",2,"Nurses",67069,169.6846
