NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
3,2998324,"Lille",232787,463.24613,2090.42726,584.29537,0,423.67234,4.6324613,3.9108216,3.6314772,2.3744274
3,6455273,"Amiens",136105,270.84895,1222.2229,341.62355,0,247.7111,2.7084895,2.286564,2.123238,1.388271
3,2978439,"Boulogne-sur-Mer",133062,264.79338,1194.89676,333.98562,0,242.17284,2.6479338,2.2354416,2.0757672,1.3572324
3,2982681,"Roubaix",100000,199,898,251,0,182,1.99,1.68,1.56,1.02
3,2972284,"Tourcoing",97368,193.76232,874.36464,244.39368,0,177.20976,1.9376232,1.6357824,1.5189408,0.9931536
3,3029159,"Calais",156303,311.04297,1403.60094,392.32053,0,284.47146,3.1104297,2.6258904,2.4383268,1.5942906
3,2995695,"Beauvais",56020,111.4798,503.0596,140.6102,0,101.9564,1.114798,0.941136,0.873912,0.571404
3,2977295,"Saint-Quentin",55499,110.44301,498.38102,139.30249,0,101.00818,1.1044301,0.9323832,0.8657844,0.5660898
3,8286482,"Valenciennes",43336,86.23864,389.15728,108.77336,0,78.87152,0.8623864,0.7280448,0.6760416,0.4420272
3,3036784,"Arras",41019,81.62781,368.35062,102.95769,0,74.65458,0.8162781,0.6891192,0.6398964,0.4183938
3,2967421,"Wattrelos",40958,81.50642,367.80284,102.80458,0,74.54356,0.8150642,0.6880944,0.6389448,0.4177716
3,7626220,"Compiègne",55066,109.58134,494.49268,138.21566,0,100.22012,1.0958134,0.9251088,0.8590296,0.5616732
3,3021000,"Douai",58213,115.84387,522.75274,146.11463,0,105.94766,1.1584387,0.9779784,0.9081228,0.5937726
3,6438650,"Creil",125325,249.39675,1125.4185,314.56575,0,228.0915,2.4939675,2.10546,1.95507,1.278315
3,3029030,"Cambrai",32558,64.79042,292.37084,81.72058,0,59.25556,0.6479042,0.5469744,0.5079048,0.3320916
3,3003093,"Lens",31415,62.51585,282.1067,78.85165,0,57.1753,0.6251585,0.527772,0.490074,0.320433
3,2998431,"Liévin",30785,61.26215,276.4493,77.27035,0,56.0287,0.6126215,0.517188,0.480246,0.314007
3,2995150,"Maubeuge",29944,59.58856,268.89712,75.15944,0,54.49808,0.5958856,0.5030592,0.4671264,0.3054288
3,2974389,"Soissons",97162,193.35238,872.51476,243.87662,0,176.83484,1.9335238,1.6323216,1.5157272,0.9910524
3,3008218,"Lambersart",27649,55.02151,248.28802,69.39899,0,50.32118,0.5502151,0.4645032,0.4313244,0.2820198
3,6439604,"Hénin-Beaumont",26022,51.78378,233.67756,65.31522,0,47.36004,0.5178378,0.4371696,0.4059432,0.2654244
3,3033002,"Béthune",231129,459.94671,2075.53842,580.13379,0,420.65478,4.5994671,3.8829672,3.6056124,2.3575158
3,3036903,"Armentières",227460,452.6454,2042.5908,570.9246,0,413.9772,4.526454,3.821328,3.548376,2.320092
3,6453527,"Laon",34952,69.55448,313.86896,87.72952,0,63.61264,0.6955448,0.5871936,0.5452512,0.3565104
3,6438266,"Grande-Synthe",22966,45.70234,206.23468,57.64466,0,41.79812,0.4570234,0.3858288,0.3582696,0.2342532
3,3038789,"Abbeville",66477,132.28923,596.96346,166.85727,0,120.98814,1.3228923,1.1168136,1.0370412,0.6780654
3,6454415,"Loos",26142,52.02258,234.75516,65.61642,0,47.57844,0.5202258,0.4391856,0.4078152,0.2666484
3,8286238,"Hazebrouck",27106,53.94094,243.41188,68.03606,0,49.33292,0.5394094,0.4553808,0.4228536,0.2764812
3,3023356,"Coudekerque-Branche",35625,70.89375,319.9125,89.41875,0,64.8375,0.7089375,0.5985,0.55575,0.363375
3,2967438,"Wasquehal",20479,40.75321,183.90142,51.40229,0,37.27178,0.4075321,0.3440472,0.3194724,0.2088858
3,6438865,"Nogent-sur-Oise",20033,39.86567,179.89634,50.28283,0,36.46006,0.3986567,0.3365544,0.3125148,0.2043366
3,6454406,"Denain",19933,39.66667,178.99834,50.03183,0,36.27806,0.3966667,0.3348744,0.3109548,0.2033166
3,3028486,"Carvin",204830,407.6117,1839.3734,514.1233,0,372.7906,4.076117,3.441144,3.195348,2.089266
3,2981839,"Saint-Amand-les-Eaux",16053,31.94547,144.15594,40.29303,0,29.21646,0.3194547,0.2696904,0.2504268,0.1637406
3,6455196,"Bailleul",348029,692.57771,3125.30042,873.55279,0,633.41278,6.9257771,5.8468872,5.4292524,3.5498958
3,2975088,"Senlis",14891,29.63309,133.72118,37.37641,0,27.10162,0.2963309,0.2501688,0.2322996,0.1518882
3,3022569,"Crépy-en-Valois",74534,148.32266,669.31532,187.08034,0,135.65188,1.4832266,1.2521712,1.1627304,0.7602468
3,3028205,"Caudry",18530,36.8747,166.3994,46.5103,0,33.7246,0.368747,0.311304,0.289068,0.189006
3,2982938,"Roncq",53792,107.04608,483.05216,135.01792,0,97.90144,1.0704608,0.9037056,0.8391552,0.5486784
3,2989877,"Noyon",47620,94.7638,427.6276,119.5262,0,86.6684,0.947638,0.800016,0.742872,0.485724
3,6438896,"Pont-Sainte-Maxence",14482,28.81918,130.04836,36.34982,0,26.35724,0.2881918,0.2432976,0.2259192,0.1477164
3,2975361,"Seclin",229091,455.89109,2057.23718,575.01841,0,416.94562,4.5589109,3.8487288,3.5738196,2.3367282
3,2974324,"Somain",12213,24.30387,109.67274,30.65463,0,22.22766,0.2430387,0.2051784,0.1905228,0.1245726
3,6439413,"Bully-les-Mines",12117,24.11283,108.81066,30.41367,0,22.05294,0.2411283,0.2035656,0.1890252,0.1235934
3,6438351,"Marly",180794,359.78006,1623.53012,453.79294,0,329.04508,3.5978006,3.0373392,2.8203864,1.8440988
3,3025859,"Chauny",11773,23.42827,105.72154,29.55023,0,21.42686,0.2342827,0.1977864,0.1836588,0.1200846
3,3017512,"Fourmies",11714,23.31086,105.19172,29.40214,0,21.31948,0.2331086,0.1967952,0.1827384,0.1194828
3,2977058,"Saint-Saulve",11353,22.59247,101.94994,28.49603,0,20.66246,0.2259247,0.1907304,0.1771068,0.1158006
3,6439867,"Saint-Martin-Boulogne",11226,22.33974,100.80948,28.17726,0,20.43132,0.2233974,0.1885968,0.1751256,0.1145052
3,3014816,"Gravelines",11132,22.15268,99.96536,27.94132,0,20.26024,0.2215268,0.1870176,0.1736592,0.1135464
3,6438625,"Chantilly",11001,21.89199,98.78898,27.61251,0,20.02182,0.2189199,0.1848168,0.1716156,0.1122102
3,6439685,"Longuenesse",15081,30.01119,135.42738,37.85331,0,27.44742,0.3001119,0.2533608,0.2352636,0.1538262
3,6450253,"Auchel",10399,20.69401,93.38302,26.10149,0,18.92618,0.2069401,0.1747032,0.1622244,0.1060698
3,6438310,"Jeumont",10229,20.35571,91.85642,25.67479,0,18.61678,0.2035571,0.1718472,0.1595724,0.1043358
3,3024643,"Clermont",11264,22.41536,101.15072,28.27264,0,20.50048,0.2241536,0.1892352,0.1757184,0.1148928
3,6439773,"Oignies",9841,19.58359,88.37218,24.70091,0,17.91062,0.1958359,0.1653288,0.1535196,0.1003782
3,3038271,"Albert",12335,24.54665,110.7683,30.96085,0,22.4497,0.2454665,0.207228,0.192426,0.125817
3,3038393,"Aire-sur-la-Lys",9772,19.44628,87.75256,24.52772,0,17.78504,0.1944628,0.1641696,0.1524432,0.0996744
3,3019827,"Escaudain",9645,19.19355,86.6121,24.20895,0,17.5539,0.1919355,0.162036,0.150462,0.098379
3,6618431,"Beuvry",9331,18.56869,83.79238,23.42081,0,16.98242,0.1856869,0.1567608,0.1455636,0.0951762
3,6438728,"Gouvieux",32115,63.90885,288.3927,80.60865,0,58.4493,0.6390885,0.539532,0.500994,0.327573
3,6614547,"Lamorlaye",8823,17.55777,79.23054,22.14573,0,16.05786,0.1755777,0.1482264,0.1376388,0.0899946
3,3013258,"Hirson",8800,17.512,79.024,22.088,0,16.016,0.17512,0.14784,0.13728,0.08976
3,6438325,"Lesquin",8635,17.18365,77.5423,21.67385,0,15.7157,0.1718365,0.145068,0.134706,0.088077
3,2994837,"Mazingarbe",8036,15.99164,72.16328,20.17036,0,14.62552,0.1599164,0.1350048,0.1253616,0.0819672
3,6438304,"Houplines",7770,15.4623,69.7746,19.5027,0,14.1414,0.154623,0.130536,0.121212,0.079254
3,2967411,"Wavrin",7723,15.36877,69.35254,19.38473,0,14.05586,0.1536877,0.1297464,0.1204788,0.0787746
3,2987928,"Péronne",18780,37.3722,168.6444,47.1378,0,34.1796,0.373722,0.315504,0.292968,0.191556
3,3017167,"Fresnes-sur-Escaut",7532,14.98868,67.63736,18.90532,0,13.70824,0.1498868,0.1265376,0.1174992,0.0768264
3,6439479,"Divion",6977,13.88423,62.65346,17.51227,0,12.69814,0.1388423,0.1172136,0.1088412,0.0711654
3,2998532,"Liancourt",119120,237.0488,1069.6976,298.9912,0,216.7984,2.370488,2.001216,1.858272,1.215024
3,2997619,"Loos-en-Gohelle",6855,13.64145,61.5579,17.20605,0,12.4761,0.1364145,0.115164,0.106938,0.069921
3,3011307,"La Bassée",6545,13.02455,58.7741,16.42795,0,11.9119,0.1302455,0.109956,0.102102,0.066759
3,6438342,"Louvroil",6405,12.74595,57.5169,16.07655,0,11.6571,0.1274595,0.107604,0.099918,0.065331
3,3017556,"Fouquières-lès-Lens",6399,12.73401,57.46302,16.06149,0,11.64618,0.1273401,0.1075032,0.0998244,0.0652698
3,3023742,"Corbie",6307,12.55093,56.63686,15.83057,0,11.47874,0.1255093,0.1059576,0.0983892,0.0643314
3,3008463,"Lallaing",102810,204.5919,923.2338,258.0531,0,187.1142,2.045919,1.727208,1.603836,1.048662
3,2992760,"Montdidier",8797,17.50603,78.99706,22.08047,0,16.01054,0.1750603,0.1477896,0.1372332,0.0897294
3,3020944,"Doullens",24007,47.77393,215.58286,60.25757,0,43.69274,0.4777393,0.4033176,0.3745092,0.2448714
