NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP_ATENDIDA,ATEND_FTE
1,2998324,"Lille",1,"Physicians",232787,95.4427
1,2998324,"Lille",2,"Nurses",232787,588.9511
1,2998324,"Lille",3,"OtherCadres",232787,290.9838
1,2998324,"Lille",4,"CommunityBased",232787,1136.0006
1,2998324,"Lille",5,"Beds",232787,0
1,2998324,"Lille",6,"CTScanner",232787,0
1,2998324,"Lille",7,"MRIUnit",232787,0
1,2998324,"Lille",8,"Mammography",232787,0
1,2998324,"Lille",9,"Radiotherapy",232787,0
1,6455273,"Amiens",1,"Physicians",136105,55.8031
1,6455273,"Amiens",2,"Nurses",136105,344.3457
1,6455273,"Amiens",3,"OtherCadres",136105,170.1313
1,6455273,"Amiens",4,"CommunityBased",136105,664.1924
1,6455273,"Amiens",5,"Beds",136105,0
1,6455273,"Amiens",6,"CTScanner",136105,0
1,6455273,"Amiens",7,"MRIUnit",136105,0
1,6455273,"Amiens",8,"Mammography",136105,0
1,6455273,"Amiens",9,"Radiotherapy",136105,0
1,2978439,"Boulogne-sur-Mer",1,"Physicians",133062,54.5554
1,2978439,"Boulogne-sur-Mer",2,"Nurses",133062,336.6469
1,2978439,"Boulogne-sur-Mer",3,"OtherCadres",133062,166.3275
1,2978439,"Boulogne-sur-Mer",4,"CommunityBased",133062,649.3426
1,2978439,"Boulogne-sur-Mer",5,"Beds",133062,0
1,2978439,"Boulogne-sur-Mer",6,"CTScanner",133062,0
1,2978439,"Boulogne-sur-Mer",7,"MRIUnit",133062,0
1,2978439,"Boulogne-sur-Mer",8,"Mammography",133062,0
1,2978439,"Boulogne-sur-Mer",9,"Radiotherapy",133062,0
1,2982681,"Roubaix",1,"Physicians",100000,41
1,2982681,"Roubaix",2,"Nurses",100000,253
1,2982681,"Roubaix",3,"OtherCadres",100000,125
1,2982681,"Roubaix",4,"CommunityBased",100000,488
1,2982681,"Roubaix",5,"Beds",100000,0
1,2982681,"Roubaix",6,"CTScanner",100000,0
1,2982681,"Roubaix",7,"MRIUnit",100000,0
1,2982681,"Roubaix",8,"Mammography",100000,0
1,2982681,"Roubaix",9,"Radiotherapy",100000,0
1,2972284,"Tourcoing",1,"Physicians",97368,39.9209
1,2972284,"Tourcoing",2,"Nurses",97368,246.341
1,2972284,"Tourcoing",3,"OtherCadres",97368,121.71
1,2972284,"Tourcoing",4,"CommunityBased",97368,475.1558
1,2972284,"Tourcoing",5,"Beds",97368,0
1,2972284,"Tourcoing",6,"CTScanner",97368,0
1,2972284,"Tourcoing",7,"MRIUnit",97368,0
1,2972284,"Tourcoing",8,"Mammography",97368,0
1,2972284,"Tourcoing",9,"Radiotherapy",97368,0
1,3029159,"Calais",1,"Physicians",156303,64.0841
1,3029159,"Calais",2,"Nurses",156303,395.4467
1,3029159,"Calais",3,"OtherCadres",156303,195.3796
1,3029159,"Calais",4,"CommunityBased",156303,762.7586
1,3029159,"Calais",5,"Beds",156303,0
1,3029159,"Calais",6,"CTScanner",156303,0
1,3029159,"Calais",7,"MRIUnit",156303,0
1,3029159,"Calais",8,"Mammography",156303,0
1,3029159,"Calais",9,"Radiotherapy",156303,0
1,2995695,"Beauvais",1,"Physicians",56020,22.9682
1,2995695,"Beauvais",2,"Nurses",56020,141.7306
1,2995695,"Beauvais",3,"OtherCadres",56020,70.025
1,2995695,"Beauvais",4,"CommunityBased",56020,273.3776
1,2995695,"Beauvais",5,"Beds",56020,0
1,2995695,"Beauvais",6,"CTScanner",56020,0
1,2995695,"Beauvais",7,"MRIUnit",56020,0
1,2995695,"Beauvais",8,"Mammography",56020,0
1,2995695,"Beauvais",9,"Radiotherapy",56020,0
1,2977295,"Saint-Quentin",1,"Physicians",55499,22.7546
1,2977295,"Saint-Quentin",2,"Nurses",55499,140.4125
1,2977295,"Saint-Quentin",3,"OtherCadres",55499,69.3737
1,2977295,"Saint-Quentin",4,"CommunityBased",55499,270.8351
1,2977295,"Saint-Quentin",5,"Beds",55499,0
1,2977295,"Saint-Quentin",6,"CTScanner",55499,0
1,2977295,"Saint-Quentin",7,"MRIUnit",55499,0
1,2977295,"Saint-Quentin",8,"Mammography",55499,0
1,2977295,"Saint-Quentin",9,"Radiotherapy",55499,0
1,8286482,"Valenciennes",1,"Physicians",43336,17.7678
1,8286482,"Valenciennes",2,"Nurses",43336,109.6401
1,8286482,"Valenciennes",3,"OtherCadres",43336,54.17
1,8286482,"Valenciennes",4,"CommunityBased",43336,211.4797
1,8286482,"Valenciennes",5,"Beds",43336,0
1,8286482,"Valenciennes",6,"CTScanner",43336,0
1,8286482,"Valenciennes",7,"MRIUnit",43336,0
1,8286482,"Valenciennes",8,"Mammography",43336,0
1,8286482,"Valenciennes",9,"Radiotherapy",43336,0
1,3036784,"Arras",1,"Physicians",41019,16.8178
1,3036784,"Arras",2,"Nurses",41019,103.7781
1,3036784,"Arras",3,"OtherCadres",41019,51.2738
1,3036784,"Arras",4,"CommunityBased",41019,200.1727
1,3036784,"Arras",5,"Beds",41019,0
1,3036784,"Arras",6,"CTScanner",41019,0
1,3036784,"Arras",7,"MRIUnit",41019,0
1,3036784,"Arras",8,"Mammography",41019,0
1,3036784,"Arras",9,"Radiotherapy",41019,0
1,2967421,"Wattrelos",1,"Physicians",40958,16.7928
1,2967421,"Wattrelos",2,"Nurses",40958,103.6237
1,2967421,"Wattrelos",3,"OtherCadres",40958,51.1975
1,2967421,"Wattrelos",4,"CommunityBased",40958,199.875
1,2967421,"Wattrelos",5,"Beds",40958,0
1,2967421,"Wattrelos",6,"CTScanner",40958,0
1,2967421,"Wattrelos",7,"MRIUnit",40958,0
1,2967421,"Wattrelos",8,"Mammography",40958,0
1,2967421,"Wattrelos",9,"Radiotherapy",40958,0
1,7626220,"Compiègne",1,"Physicians",40199,16.4816
1,7626220,"Compiègne",2,"Nurses",40199,101.7035
1,7626220,"Compiègne",3,"OtherCadres",40199,50.2488
1,7626220,"Compiègne",4,"CommunityBased",40199,196.1711
1,7626220,"Compiègne",5,"Beds",40199,0
1,7626220,"Compiègne",6,"CTScanner",40199,0
1,7626220,"Compiègne",7,"MRIUnit",40199,0
1,7626220,"Compiègne",8,"Mammography",40199,0
1,7626220,"Compiègne",9,"Radiotherapy",40199,0
1,3021000,"Douai",1,"Physicians",58213,23.8673
1,3021000,"Douai",2,"Nurses",58213,147.2789
1,3021000,"Douai",3,"OtherCadres",58213,72.7664
1,3021000,"Douai",4,"CommunityBased",58213,284.0795
1,3021000,"Douai",5,"Beds",58213,0
1,3021000,"Douai",6,"CTScanner",58213,0
1,3021000,"Douai",7,"MRIUnit",58213,0
1,3021000,"Douai",8,"Mammography",58213,0
1,3021000,"Douai",9,"Radiotherapy",58213,0
1,6438650,"Creil",1,"Physicians",35657,14.6194
1,6438650,"Creil",2,"Nurses",35657,90.2122
1,6438650,"Creil",3,"OtherCadres",35657,44.5713
1,6438650,"Creil",4,"CommunityBased",35657,174.0062
1,6438650,"Creil",5,"Beds",35657,0
1,6438650,"Creil",6,"CTScanner",35657,0
1,6438650,"Creil",7,"MRIUnit",35657,0
1,6438650,"Creil",8,"Mammography",35657,0
1,6438650,"Creil",9,"Radiotherapy",35657,0
1,3029030,"Cambrai",1,"Physicians",32558,13.3488
1,3029030,"Cambrai",2,"Nurses",32558,82.3717
1,3029030,"Cambrai",3,"OtherCadres",32558,40.6975
1,3029030,"Cambrai",4,"CommunityBased",32558,158.883
1,3029030,"Cambrai",5,"Beds",32558,0
1,3029030,"Cambrai",6,"CTScanner",32558,0
1,3029030,"Cambrai",7,"MRIUnit",32558,0
1,3029030,"Cambrai",8,"Mammography",32558,0
1,3029030,"Cambrai",9,"Radiotherapy",32558,0
1,3003093,"Lens",1,"Physicians",31415,12.8802
1,3003093,"Lens",2,"Nurses",31415,79.48
1,3003093,"Lens",3,"OtherCadres",31415,39.2688
1,3003093,"Lens",4,"CommunityBased",31415,153.3052
1,3003093,"Lens",5,"Beds",31415,0
1,3003093,"Lens",6,"CTScanner",31415,0
1,3003093,"Lens",7,"MRIUnit",31415,0
1,3003093,"Lens",8,"Mammography",31415,0
1,3003093,"Lens",9,"Radiotherapy",31415,0
1,2998431,"Liévin",1,"Physicians",30785,12.6218
1,2998431,"Liévin",2,"Nurses",30785,77.886
1,2998431,"Liévin",3,"OtherCadres",30785,38.4813
1,2998431,"Liévin",4,"CommunityBased",30785,150.2308
1,2998431,"Liévin",5,"Beds",30785,0
1,2998431,"Liévin",6,"CTScanner",30785,0
1,2998431,"Liévin",7,"MRIUnit",30785,0
1,2998431,"Liévin",8,"Mammography",30785,0
1,2998431,"Liévin",9,"Radiotherapy",30785,0
1,2995150,"Maubeuge",1,"Physicians",29944,12.277
1,2995150,"Maubeuge",2,"Nurses",29944,75.7583
1,2995150,"Maubeuge",3,"OtherCadres",29944,37.43
1,2995150,"Maubeuge",4,"CommunityBased",29944,146.1267
1,2995150,"Maubeuge",5,"Beds",29944,0
1,2995150,"Maubeuge",6,"CTScanner",29944,0
1,2995150,"Maubeuge",7,"MRIUnit",29944,0
1,2995150,"Maubeuge",8,"Mammography",29944,0
1,2995150,"Maubeuge",9,"Radiotherapy",29944,0
1,2974389,"Soissons",1,"Physicians",28530,11.6973
1,2974389,"Soissons",2,"Nurses",28530,72.1809
1,2974389,"Soissons",3,"OtherCadres",28530,35.6625
1,2974389,"Soissons",4,"CommunityBased",28530,139.2264
1,2974389,"Soissons",5,"Beds",28530,0
1,2974389,"Soissons",6,"CTScanner",28530,0
1,2974389,"Soissons",7,"MRIUnit",28530,0
1,2974389,"Soissons",8,"Mammography",28530,0
1,2974389,"Soissons",9,"Radiotherapy",28530,0
1,3008218,"Lambersart",1,"Physicians",27649,11.3361
1,3008218,"Lambersart",2,"Nurses",27649,69.952
1,3008218,"Lambersart",3,"OtherCadres",27649,34.5613
1,3008218,"Lambersart",4,"CommunityBased",27649,134.9271
1,3008218,"Lambersart",5,"Beds",27649,0
1,3008218,"Lambersart",6,"CTScanner",27649,0
1,3008218,"Lambersart",7,"MRIUnit",27649,0
1,3008218,"Lambersart",8,"Mammography",27649,0
1,3008218,"Lambersart",9,"Radiotherapy",27649,0
1,6439604,"Hénin-Beaumont",1,"Physicians",26022,10.669
1,6439604,"Hénin-Beaumont",2,"Nurses",26022,65.8357
1,6439604,"Hénin-Beaumont",3,"OtherCadres",26022,32.5275
1,6439604,"Hénin-Beaumont",4,"CommunityBased",26022,126.9874
1,6439604,"Hénin-Beaumont",5,"Beds",26022,0
1,6439604,"Hénin-Beaumont",6,"CTScanner",26022,0
1,6439604,"Hénin-Beaumont",7,"MRIUnit",26022,0
1,6439604,"Hénin-Beaumont",8,"Mammography",26022,0
1,6439604,"Hénin-Beaumont",9,"Radiotherapy",26022,0
1,3033002,"Béthune",1,"Physicians",231129,94.7631
1,3033002,"Béthune",2,"Nurses",231129,584.7566
1,3033002,"Béthune",3,"OtherCadres",231129,288.9127
1,3033002,"Béthune",4,"CommunityBased",231129,1127.9098
1,3033002,"Béthune",5,"Beds",231129,0
1,3033002,"Béthune",6,"CTScanner",231129,0
1,3033002,"Béthune",7,"MRIUnit",231129,0
1,3033002,"Béthune",8,"Mammography",231129,0
1,3033002,"Béthune",9,"Radiotherapy",231129,0
1,3036903,"Armentières",1,"Physicians",227460,93.2587
1,3036903,"Armentières",2,"Nurses",227460,575.4737
1,3036903,"Armentières",3,"OtherCadres",227460,284.3255
1,3036903,"Armentières",4,"CommunityBased",227460,1110.0049
1,3036903,"Armentières",5,"Beds",227460,0
1,3036903,"Armentières",6,"CTScanner",227460,0
1,3036903,"Armentières",7,"MRIUnit",227460,0
1,3036903,"Armentières",8,"Mammography",227460,0
1,3036903,"Armentières",9,"Radiotherapy",227460,0
1,6453527,"Laon",1,"Physicians",31019,12.7178
1,6453527,"Laon",2,"Nurses",31019,78.478
1,6453527,"Laon",3,"OtherCadres",31019,38.7738
1,6453527,"Laon",4,"CommunityBased",31019,151.3727
1,6453527,"Laon",5,"Beds",31019,0
1,6453527,"Laon",6,"CTScanner",31019,0
1,6453527,"Laon",7,"MRIUnit",31019,0
1,6453527,"Laon",8,"Mammography",31019,0
1,6453527,"Laon",9,"Radiotherapy",31019,0
1,6438266,"Grande-Synthe",1,"Physicians",22966,9.4161
1,6438266,"Grande-Synthe",2,"Nurses",22966,58.104
1,6438266,"Grande-Synthe",3,"OtherCadres",22966,28.7075
1,6438266,"Grande-Synthe",4,"CommunityBased",22966,112.0741
