CODIGO_O	                        ORIGEM	CODIGO_D	                       DESTINO	      DISTANCIA
2978048	                         Paris	2978048	                         Paris	    0.00
3031137	          Boulogne-Billancourt	3031137	          Boulogne-Billancourt	    0.00
2980916	                   Saint-Denis	2980916	                   Saint-Denis	    0.00
3037044	                    Argenteuil	3037044	                    Argenteuil	    0.00
2992090	                     Montreuil	2992090	                     Montreuil	    0.00
8298013	                      Nanterre	8298013	                      Nanterre	    0.00
6452043	               Vitry-sur-Seine	6452043	               Vitry-sur-Seine	    0.00
6452018	                      Créteil	6452018	                      Créteil	    0.00
6452605	                 Aubervilliers	6452605	                 Aubervilliers	    0.00
8286605	                    Versailles	8286605	                    Versailles	    0.00
3036145	              Aulnay-sous-Bois	3036145	              Aulnay-sous-Bois	    0.00
3024266	                      Colombes	3024266	                      Colombes	    0.00
6521954	               Rueil-Malmaison	6521954	               Rueil-Malmaison	    0.00
6452032	        Saint-Maur-des-Fossés	6452032	        Saint-Maur-des-Fossés	    0.00
3020839	                        Drancy	3020839	                        Drancy	    0.00
6451970	           Issy-les-Moulineaux	6451970	           Issy-les-Moulineaux	    0.00
6612091	              Levallois-Perret	6612091	              Levallois-Perret	    0.00
3037423	                        Antony	3037423	                        Antony	    0.00
8298130	                Ivry-sur-Seine	8298130	                Ivry-sur-Seine	    0.00
3024597	                        Clichy	3024597	                        Clichy	    0.00
2990611	             Neuilly-sur-Seine	2990611	             Neuilly-sur-Seine	    0.00
2976043	                     Sarcelles	2976043	                     Sarcelles	    0.00
3005269	               Le Blanc-Mesnil	3005269	               Le Blanc-Mesnil	    0.00
6451992	             Épinay-sur-Seine	6451992	             Épinay-sur-Seine	    0.00
6454723	                         Meaux	6454723	                         Meaux	    0.00
6443783	                         Othis	6454723	                         Meaux	    0.50
9177387	                       Chelles	9177387	                       Chelles	    0.00
2968705	                     Villejuif	2968705	                     Villejuif	    0.00
6452608	                       Bobigny	6452608	                       Bobigny	    0.00
6451987	                         Bondy	6451987	                         Bondy	    0.00
6451966	                       Clamart	6451966	                       Clamart	    0.00
8286614	                  Sartrouville	8286614	                  Sartrouville	    0.00
3019597	              Corbeil-Essonnes	3019597	              Corbeil-Essonnes	    0.00
2974681	                        Sevran	2974681	                        Sevran	    0.00
6508695	                         Massy	6508695	                         Massy	    0.00
6510057	                      Suresnes	6510057	                      Suresnes	    0.00
3016321	                 Gennevilliers	3016321	                 Gennevilliers	    0.00
2994144	                        Meudon	2994144	                        Meudon	    0.00
2979783	         Saint-Germain-en-Laye	2979783	         Saint-Germain-en-Laye	    0.00
3009670	                       Puteaux	3009670	                       Puteaux	    0.00
3017910	            Fontenay-sous-Bois	2998056	                  Livry-Gargan	    0.22
2968054	                     Vincennes	2998056	                  Livry-Gargan	    0.27
3035602	               Rosny-sous-Bois	2998056	                  Livry-Gargan	    0.18
2998056	                  Livry-Gargan	2998056	                  Livry-Gargan	    0.00
3016830	                         Gagny	2998056	                  Livry-Gargan	    0.10
2968653	                   Villemomble	2998056	                  Livry-Gargan	    0.12
3024596	              Clichy-sous-Bois	2998056	                  Livry-Gargan	    0.04
3029392	           Bussy-Saint-Georges	2998056	                  Livry-Gargan	    0.37
2984004	                  Villeparisis	2998056	                  Livry-Gargan	    0.15
3000060	       Les Pavillons-sous-Bois	2998056	                  Livry-Gargan	    0.08
2978621	                  Saint-Mandé	2998056	                  Livry-Gargan	    0.30
2972444	                         Torcy	2998056	                  Livry-Gargan	    0.28
6455408	            Thorigny-sur-Marne	2998056	                  Livry-Gargan	    0.33
2990616	             Neuilly-Plaisance	2998056	                  Livry-Gargan	    0.17
2993679	                    Mitry-Mory	2998056	                  Livry-Gargan	    0.23
6443774	                       Noisiel	2998056	                  Livry-Gargan	    0.25
6443883	              Vaires-sur-Marne	2998056	                  Livry-Gargan	    0.22
3024701	                 Claye-Souilly	2998056	                  Livry-Gargan	    0.28
3021848	           Dammartin-en-Goële	2998056	                  Livry-Gargan	    0.46
2970469	                      Vaujours	2998056	                  Livry-Gargan	    0.08
6451994	             Gournay-sur-Marne	2998056	                  Livry-Gargan	    0.18
3022868	                       Courtry	2998056	                  Livry-Gargan	    0.12
6443847	     Saint-Thibault-des-Vignes	2998056	                  Livry-Gargan	    0.31
6443606	                        Chessy	2998056	                  Livry-Gargan	    0.43
3023375	                       Coubron	2998056	                  Livry-Gargan	    0.08
3029855	          Brou-sur-Chantereine	2998056	                  Livry-Gargan	    0.20
6443797	                      Pomponne	2998056	                  Livry-Gargan	    0.30
3026867	                    Chanteloup	2998056	                  Livry-Gargan	    0.41
2978550	                    Saint-Mard	2998056	                  Livry-Gargan	    0.44
3021806	                      Dampmart	2998056	                  Livry-Gargan	    0.37
3037531	               Annet-sur-Marne	2998056	                  Livry-Gargan	    0.34
6443623	                      Coupvray	2998056	                  Livry-Gargan	    0.48
6443717	                   Longperrier	2998056	                  Livry-Gargan	    0.43
2968249	                   Villevaudé	2998056	                  Livry-Gargan	    0.24
6443701	                        Juilly	2998056	                  Livry-Gargan	    0.40
6456485	                        Le Pin	2998056	                  Livry-Gargan	    0.17
2991361	               Moussy-le-Vieux	2998056	                  Livry-Gargan	    0.39
3027524	                     Chalifert	2998056	                  Livry-Gargan	    0.44
3015463	                     Gouvernes	2998056	                  Livry-Gargan	    0.33
2994179	                         Messy	2998056	                  Livry-Gargan	    0.33
3014367	                    Guermantes	2998056	                  Livry-Gargan	    0.36
2996148	               Mantes-la-Jolie	2996148	               Mantes-la-Jolie	    0.00
6446292	                Magny-en-Vexin	2996148	               Mantes-la-Jolie	    0.47
6452000	                  Noisy-le-Sec	6452000	                  Noisy-le-Sec	    0.00
3038213	                   Alfortville	3038213	                   Alfortville	    0.00
6454724	                         Melun	6454724	                         Melun	    0.00
2973841	                        Stains	2973841	                        Stains	    0.00
2986501	                        Poissy	2986501	                        Poissy	    0.00
3026083	                    Châtillon	3026083	                    Châtillon	    0.00
8298054	                    Villepinte	8298054	                    Villepinte	    0.00
3035403	                      Bagnolet	3035403	                      Bagnolet	    0.00
3036460	                    Athis-Mons	3036460	                    Athis-Mons	    0.00
2967244	      Villeneuve-Saint-Georges	2967244	      Villeneuve-Saint-Georges	    0.00
6613133	             Châtenay-Malabry	6613133	             Châtenay-Malabry	    0.00
2992415	        Montigny-le-Bretonneux	2992415	        Montigny-le-Bretonneux	    0.00
3000192	                   Les Mureaux	3000192	                   Les Mureaux	    0.00
6444090	                       Trappes	6444090	                       Trappes	    0.00
2986930	                       Plaisir	2986930	                       Plaisir	    0.00
6446231	               Viry-Châtillon	6446231	               Viry-Châtillon	    0.00
2967990	                      Pontoise	2967990	                      Pontoise	    0.00
10283420	             Charenton-le-Pont	10283420	             Charenton-le-Pont	    0.00
2987271	         Pierrefitte-sur-Seine	2987271	         Pierrefitte-sur-Seine	    0.00
8286631	                      Malakoff	8286631	                      Malakoff	    0.00
3026033	                        Chatou	3026033	                        Chatou	    0.00
8297997	                   Saint-Cloud	8297997	                   Saint-Cloud	    0.00
6452064	                        Bezons	6452064	                        Bezons	    0.00
12122717	                   Ris-Orangis	12122717	                   Ris-Orangis	    0.00
3009169	           La Garenne-Colombes	3009169	           La Garenne-Colombes	    0.00
3019897	                        Ermont	3019897	                        Ermont	    0.00
6457182	           Le Plessis-Robinson	6457182	           Le Plessis-Robinson	    0.00
2967245	                        Yerres	2967245	                        Yerres	    0.00
3020832	                       Draveil	3020832	                       Draveil	    0.00
3014143	                    Guyancourt	3014143	                    Guyancourt	    0.00
6614115	                 Bois-Colombes	6614115	                 Bois-Colombes	    0.00
6455402	                    Le Chesnay	6455402	                    Le Chesnay	    0.00
6455392	                   Romainville	6455392	                   Romainville	    0.00
2992616	                   Montfermeil	2992616	                   Montfermeil	    0.00
2984513	                   Rambouillet	2984513	                   Rambouillet	    0.00
3012874	                        Brunoy	3012874	                        Brunoy	    0.00
3020310	                    Élancourt	3020310	                    Élancourt	    0.00
6457187	           Le Kremlin-Bicêtre	6457187	           Le Kremlin-Bicêtre	    0.00
8297830	                      Étampes	8297830	                      Étampes	    0.00
3017924	            Fontenay-aux-Roses	3017924	            Fontenay-aux-Roses	    0.00
6612920	         Cormeilles-en-Parisis	6612920	         Cormeilles-en-Parisis	    0.00
6451986	         Villeneuve-la-Garenne	6451986	         Villeneuve-la-Garenne	    0.00
2996564	              Maisons-Laffitte	2996564	              Maisons-Laffitte	    0.00
6451981	                       Sèvres	6451981	                       Sèvres	    0.00
3000491	                     Les Lilas	3000491	                     Les Lilas	    0.00
8297845	                    Longjumeau	8297845	                    Longjumeau	    0.00
3038712	                      Achères	3038712	                      Achères	    0.00
3010529	          La Celle-Saint-Cloud	3010529	          La Celle-Saint-Cloud	    0.00
2975469	                        Sceaux	2975469	                        Sceaux	    0.00
3030101	             Brie-Comte-Robert	3030101	             Brie-Comte-Robert	    0.00
3013657	                       Garches	3013657	                       Garches	    0.00
3002499	         Le Pré-Saint-Gervais	3002499	         Le Pré-Saint-Gervais	    0.00
6446153	               Juvisy-sur-Orge	6446153	               Juvisy-sur-Orge	    0.00
6444102	                      Viroflay	6444102	                      Viroflay	    0.00
6455393	                    Le Bourget	6455393	                    Le Bourget	    0.00
2998854	                   Le Vésinet	2998854	                   Le Vésinet	    0.00
2989204	                         Orsay	2989204	                         Orsay	    0.00
2992671	          Montereau-faut-Yonne	3018074	                 Fontainebleau	    0.46
3018074	                 Fontainebleau	3018074	                 Fontainebleau	    0.00
6454726	                       Nemours	3018074	                 Fontainebleau	    0.39
2977425	     Saint-Pierre-lès-Nemours	3018074	                 Fontainebleau	    0.40
3035419	            Bagneaux-sur-Loing	3018074	                 Fontainebleau	    0.49
2968679	                Villemaréchal	3018074	                 Fontainebleau	    0.50
6444032	                     Montesson	6444032	                     Montesson	    0.00
6443622	                   Coulommiers	6443622	                   Coulommiers	    0.00
3009490	             La Ferté-Gaucher	6443622	                   Coulommiers	    0.42
3025275	                        Chevru	6443622	                   Coulommiers	    0.30
3002401	                     Le Raincy	3002401	                     Le Raincy	    0.00
8297891	                 Courcouronnes	6446138	               Fleury-Mérogis	    0.13
8287136	                 Choisy-le-Roi	6446138	               Fleury-Mérogis	    0.38
2975525	              Savigny-sur-Orge	6446138	               Fleury-Mérogis	    0.14
2980558	    Sainte-Geneviève-des-Bois	6446138	               Fleury-Mérogis	    0.04
2988758	                     Palaiseau	6446138	               Fleury-Mérogis	    0.32
6446222	             Vigneux-sur-Seine	6446138	               Fleury-Mérogis	    0.22
6443853	             Savigny-le-Temple	6446138	               Fleury-Mérogis	    0.43
2972893	                        Thiais	6446138	               Fleury-Mérogis	    0.38
3014643	                        Grigny	6446138	               Fleury-Mérogis	    0.09
3017178	                       Fresnes	6446138	               Fleury-Mérogis	    0.36
2998305	             Limeil-Brévannes	6446138	               Fleury-Mérogis	    0.40
3030257	            Brétigny-sur-Orge	6446138	               Fleury-Mérogis	    0.11
6452034	                  Sucy-en-Brie	6446138	               Fleury-Mérogis	    0.49
6455343	                          Orly	6446138	               Fleury-Mérogis	    0.32
8297907	                     Montgeron	6446138	               Fleury-Mérogis	    0.28
3024107	                Combs-la-Ville	6446138	               Fleury-Mérogis	    0.38
6613167	             Villeneuve-le-Roi	6446138	               Fleury-Mérogis	    0.31
2991719	              Morsang-sur-Orge	6446138	               Fleury-Mérogis	    0.09
8286678	                Chilly-Mazarin	6446138	               Fleury-Mérogis	    0.22
3006025	         Saint-Michel-sur-Orge	6446138	               Fleury-Mérogis	    0.11
3025314	                Chevilly-Larue	6446138	               Fleury-Mérogis	    0.38
6452010	            Bonneuil-sur-Marne	6446138	               Fleury-Mérogis	    0.46
6443740	               Moissy-Cramayel	6446138	               Fleury-Mérogis	    0.42
3031898	           Boissy-Saint-Léger	6446138	               Fleury-Mérogis	    0.43
2971027	                      Valenton	6446138	               Fleury-Mérogis	    0.38
2994534	                       Mennecy	6446138	               Fleury-Mérogis	    0.23
6455395	                 Saint-Fargeau	6446138	               Fleury-Mérogis	    0.43
6446138	               Fleury-Mérogis	6446138	               Fleury-Mérogis	    0.00
6446175	                      Morangis	6446138	               Fleury-Mérogis	    0.22
6455406	                     Lieusaint	6446138	               Fleury-Mérogis	    0.34
6446134	          Épinay-sous-Sénart	6446138	               Fleury-Mérogis	    0.33
6446135	              Épinay-sur-Orge	6446138	               Fleury-Mérogis	    0.14
6452037	                  Villecresnes	6446138	               Fleury-Mérogis	    0.41
6446205	        Saint-Pierre-du-Perray	6446138	               Fleury-Mérogis	    0.25
6446200	    Saint-Germain-lès-Arpajon	6446138	               Fleury-Mérogis	    0.22
6451172	                        Cesson	6446138	               Fleury-Mérogis	    0.47
8297880	           Villebon-sur-Yvette	6446138	               Fleury-Mérogis	    0.31
3031818	                     Bondoufle	6446138	               Fleury-Mérogis	    0.06
3030203	                     Breuillet	6446138	               Fleury-Mérogis	    0.39
6446163	                    Marcoussis	6446138	               Fleury-Mérogis	    0.24
3005524	              La Ville-du-Bois	6446138	               Fleury-Mérogis	    0.19
3030787	          Boussy-Saint-Antoine	6446138	               Fleury-Mérogis	    0.36
6446174	                    Montlhéry	6446138	               Fleury-Mérogis	    0.17
