CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
2978048,"Paris",2978048,"Paris",0,2
3031137,"Boulogne-Billancourt",3031137,"Boulogne-Billancourt",0,2
2980916,"Saint-Denis",2980916,"Saint-Denis",0,2
3037044,"Argenteuil",3037044,"Argenteuil",0,2
2992090,"Montreuil",2992090,"Montreuil",0,2
8298013,"Nanterre",8298013,"Nanterre",0,2
6452043,"Vitry-sur-Seine",6452043,"Vitry-sur-Seine",0,2
2989874,"Nozay",6452043,"Vitry-sur-Seine",0.45,2
6452018,"Créteil",6452018,"Créteil",0,2
6452605,"Aubervilliers",6452605,"Aubervilliers",0,2
8286605,"Versailles",8286605,"Versailles",0,2
3036145,"Aulnay-sous-Bois",3036145,"Aulnay-sous-Bois",0,2
3024266,"Colombes",3024266,"Colombes",0,2
6521954,"Rueil-Malmaison",6521954,"Rueil-Malmaison",0,2
6452032,"Saint-Maur-des-Fossés",6452032,"Saint-Maur-des-Fossés",0,2
3020839,"Drancy",3020839,"Drancy",0,2
6451970,"Issy-les-Moulineaux",6451970,"Issy-les-Moulineaux",0,2
6612091,"Levallois-Perret",6612091,"Levallois-Perret",0,2
3037423,"Antony",3037423,"Antony",0,2
8298130,"Ivry-sur-Seine",8298130,"Ivry-sur-Seine",0,2
2970693,"Varennes-Jarcy",8298130,"Ivry-sur-Seine",0.5,2
3024597,"Clichy",3024597,"Clichy",0,2
2990611,"Neuilly-sur-Seine",2990611,"Neuilly-sur-Seine",0,2
2976043,"Sarcelles",2976043,"Sarcelles",0,2
3005269,"Le Blanc-Mesnil",3005269,"Le Blanc-Mesnil",0,2
6451992,"Épinay-sur-Seine",6451992,"Épinay-sur-Seine",0,2
6446258,"Ennery",6451992,"Épinay-sur-Seine",0.5,2
6454723,"Meaux",6454723,"Meaux",0,2
3027307,"Chamigny",6454723,"Meaux",0.48,2
9177387,"Chelles",9177387,"Chelles",0,2
2968705,"Villejuif",2968705,"Villejuif",0,2
6452608,"Bobigny",6452608,"Bobigny",0,2
6451987,"Bondy",6451987,"Bondy",0,2
6451966,"Clamart",6451966,"Clamart",0,2
8286614,"Sartrouville",8286614,"Sartrouville",0,2
3019597,"Corbeil-Essonnes",3019597,"Corbeil-Essonnes",0,2
2974681,"Sevran",2974681,"Sevran",0,2
6508695,"Massy",6508695,"Massy",0,2
6510057,"Suresnes",6510057,"Suresnes",0,2
3016321,"Gennevilliers",3016321,"Gennevilliers",0,2
2994144,"Meudon",2994144,"Meudon",0,2
2979783,"Saint-Germain-en-Laye",2979783,"Saint-Germain-en-Laye",0,2
3009670,"Puteaux",3009670,"Puteaux",0,2
2998056,"Livry-Gargan",2998056,"Livry-Gargan",0,2
