NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
1,2978048,"Paris",11020000,4518.2,27880.6,13775,53777.6,0,0,0,0,0
1,3031137,"Boulogne-Billancourt",120071,49.22911,303.77963,150.08875,585.94648,0,0,0,0,0
1,2980916,"Saint-Denis",111135,45.56535,281.17155,138.91875,542.3388,0,0,0,0,0
1,3037044,"Argenteuil",110210,45.1861,278.8313,137.7625,537.8248,0,0,0,0,0
1,2992090,"Montreuil",109897,45.05777,278.03941,137.37125,536.29736,0,0,0,0,0
1,8298013,"Nanterre",95105,38.99305,240.61565,118.88125,464.1124,0,0,0,0,0
1,6452043,"Vitry-sur-Seine",93557,38.35837,236.69921,116.94625,456.55816,0,0,0,0,0
1,6452018,"Créteil",90605,37.14805,229.23065,113.25625,442.1524,0,0,0,0,0
1,6452605,"Aubervilliers",86375,35.41375,218.52875,107.96875,421.51,0,0,0,0,0
1,8286605,"Versailles",85862,35.20342,217.23086,107.3275,419.00656,0,0,0,0,0
1,3036145,"Aulnay-sous-Bois",85740,35.1534,216.9222,107.175,418.4112,0,0,0,0,0
1,3024266,"Colombes",85177,34.92257,215.49781,106.47125,415.66376,0,0,0,0,0
1,6521954,"Rueil-Malmaison",78152,32.04232,197.72456,97.69,381.38176,0,0,0,0,0
1,6452032,"Saint-Maur-des-Fossés",74859,30.69219,189.39327,93.57375,365.31192,0,0,0,0,0
1,3020839,"Drancy",71318,29.24038,180.43454,89.1475,348.03184,0,0,0,0,0
1,6451970,"Issy-les-Moulineaux",68451,28.06491,173.18103,85.56375,334.04088,0,0,0,0,0
1,6612091,"Levallois-Perret",64379,26.39539,162.87887,80.47375,314.16952,0,0,0,0,0
1,3037423,"Antony",62570,25.6537,158.3021,78.2125,305.3416,0,0,0,0,0
1,8298130,"Ivry-sur-Seine",62052,25.44132,156.99156,77.565,302.81376,0,0,0,0,0
1,3024597,"Clichy",61070,25.0387,154.5071,76.3375,298.0216,0,0,0,0,0
1,2990611,"Neuilly-sur-Seine",60361,24.74801,152.71333,75.45125,294.56168,0,0,0,0,0
1,2976043,"Sarcelles",58587,24.02067,148.22511,73.23375,285.90456,0,0,0,0,0
1,3005269,"Le Blanc-Mesnil",56783,23.28103,143.66099,70.97875,277.10104,0,0,0,0,0
1,6451992,"Épinay-sur-Seine",55084,22.58444,139.36252,68.855,268.80992,0,0,0,0,0
1,6454723,"Meaux",61730,25.3093,156.1769,77.1625,301.2424,0,0,0,0,0
1,9177387,"Chelles",54917,22.51597,138.94001,68.64625,267.99496,0,0,0,0,0
1,2968705,"Villejuif",54753,22.44873,138.52509,68.44125,267.19464,0,0,0,0,0
1,6452608,"Bobigny",53640,21.9924,135.7092,67.05,261.7632,0,0,0,0,0
1,6451987,"Bondy",53353,21.87473,134.98309,66.69125,260.36264,0,0,0,0,0
1,6451966,"Clamart",52971,21.71811,134.01663,66.21375,258.49848,0,0,0,0,0
1,8286614,"Sartrouville",51967,21.30647,131.47651,64.95875,253.59896,0,0,0,0,0
1,3019597,"Corbeil-Essonnes",51292,21.02972,129.76876,64.115,250.30496,0,0,0,0,0
1,2974681,"Sevran",51016,20.91656,129.07048,63.77,248.95808,0,0,0,0,0
1,6508695,"Massy",50833,20.84153,128.60749,63.54125,248.06504,0,0,0,0,0
1,6510057,"Suresnes",49145,20.14945,124.33685,61.43125,239.8276,0,0,0,0,0
1,3016321,"Gennevilliers",46907,19.23187,118.67471,58.63375,228.90616,0,0,0,0,0
1,2994144,"Meudon",45352,18.59432,114.74056,56.69,221.31776,0,0,0,0,0
1,2979783,"Saint-Germain-en-Laye",44753,18.34873,113.22509,55.94125,218.39464,0,0,0,0,0
1,3009670,"Puteaux",44645,18.30445,112.95185,55.80625,217.8676,0,0,0,0,0
