NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
2	2978048	Paris	11020000.00	18403.40	13224.00	27660.20	0.00	29423.40	72.73	55.10	34.16	3.31
2	3031137	Boulogne-Billancourt	120071.00	200.52	144.09	301.38	0.00	320.59	0.79	0.60	0.37	0.04
2	2980916	Saint-Denis	111135.00	185.60	133.36	278.95	0.00	296.73	0.73	0.56	0.34	0.03
2	3037044	Argenteuil	110210.00	184.05	132.25	276.63	0.00	294.26	0.73	0.55	0.34	0.03
2	2992090	Montreuil	109897.00	183.53	131.88	275.84	0.00	293.42	0.73	0.55	0.34	0.03
2	8298013	Nanterre	95105.00	158.83	114.13	238.71	0.00	253.93	0.63	0.48	0.29	0.03
2	6452043	Vitry-sur-Seine	114947.00	191.96	137.94	288.52	0.00	306.91	0.76	0.57	0.36	0.03
2	6452018	Créteil	90605.00	151.31	108.73	227.42	0.00	241.92	0.60	0.45	0.28	0.03
2	6452605	Aubervilliers	86375.00	144.25	103.65	216.80	0.00	230.62	0.57	0.43	0.27	0.03
2	8286605	Versailles	85862.00	143.39	103.03	215.51	0.00	229.25	0.57	0.43	0.27	0.03
2	3036145	Aulnay-sous-Bois	85740.00	143.19	102.89	215.21	0.00	228.93	0.57	0.43	0.27	0.03
2	3024266	Colombes	85177.00	142.25	102.21	213.79	0.00	227.42	0.56	0.43	0.26	0.03
2	6521954	Rueil-Malmaison	78152.00	130.51	93.78	196.16	0.00	208.67	0.52	0.39	0.24	0.02
2	6452032	Saint-Maur-des-Fossés	74859.00	125.01	89.83	187.90	0.00	199.87	0.49	0.37	0.23	0.02
2	3020839	Drancy	71318.00	119.10	85.58	179.01	0.00	190.42	0.47	0.36	0.22	0.02
2	6451970	Issy-les-Moulineaux	68451.00	114.31	82.14	171.81	0.00	182.76	0.45	0.34	0.21	0.02
2	6612091	Levallois-Perret	64379.00	107.51	77.25	161.59	0.00	171.89	0.42	0.32	0.20	0.02
2	3037423	Antony	62570.00	104.49	75.08	157.05	0.00	167.06	0.41	0.31	0.19	0.02
2	8298130	Ivry-sur-Seine	676938.00	1130.49	812.33	1699.11	0.00	1807.42	4.47	3.38	2.10	0.20
2	3024597	Clichy	61070.00	101.99	73.28	153.29	0.00	163.06	0.40	0.31	0.19	0.02
2	2990611	Neuilly-sur-Seine	60361.00	100.80	72.43	151.51	0.00	161.16	0.40	0.30	0.19	0.02
2	2976043	Sarcelles	58587.00	97.84	70.30	147.05	0.00	156.43	0.39	0.29	0.18	0.02
2	3005269	Le Blanc-Mesnil	56783.00	94.83	68.14	142.53	0.00	151.61	0.37	0.28	0.18	0.02
2	6451992	Épinay-sur-Seine	75609.00	126.27	90.73	189.78	0.00	201.88	0.50	0.38	0.23	0.02
2	6454723	Meaux	78500.00	131.09	94.20	197.03	0.00	209.59	0.52	0.39	0.24	0.02
2	9177387	Chelles	54917.00	91.71	65.90	137.84	0.00	146.63	0.36	0.27	0.17	0.02
2	2968705	Villejuif	54753.00	91.44	65.70	137.43	0.00	146.19	0.36	0.27	0.17	0.02
2	6452608	Bobigny	53640.00	89.58	64.37	134.64	0.00	143.22	0.35	0.27	0.17	0.02
2	6451987	Bondy	53353.00	89.10	64.02	133.92	0.00	142.45	0.35	0.27	0.17	0.02
2	6451966	Clamart	52971.00	88.46	63.57	132.96	0.00	141.43	0.35	0.26	0.16	0.02
2	8286614	Sartrouville	51967.00	86.78	62.36	130.44	0.00	138.75	0.34	0.26	0.16	0.02
2	3019597	Corbeil-Essonnes	51292.00	85.66	61.55	128.74	0.00	136.95	0.34	0.26	0.16	0.02
2	2974681	Sevran	51016.00	85.20	61.22	128.05	0.00	136.21	0.34	0.26	0.16	0.02
2	6508695	Massy	50833.00	84.89	61.00	127.59	0.00	135.72	0.34	0.25	0.16	0.02
2	6510057	Suresnes	49145.00	82.07	58.97	123.35	0.00	131.22	0.32	0.25	0.15	0.01
2	3016321	Gennevilliers	46907.00	78.33	56.29	117.74	0.00	125.24	0.31	0.23	0.15	0.01
2	2994144	Meudon	45352.00	75.74	54.42	113.83	0.00	121.09	0.30	0.23	0.14	0.01
2	2979783	Saint-Germain-en-Laye	44753.00	74.74	53.70	112.33	0.00	119.49	0.30	0.22	0.14	0.01
2	3009670	Puteaux	44645.00	74.56	53.57	112.06	0.00	119.20	0.29	0.22	0.14	0.01
2	2998056	Livry-Gargan	607336.00	1014.25	728.80	1524.41	0.00	1621.59	4.01	3.04	1.88	0.18
2	2996148	Mantes-la-Jolie	50049.00	83.58	60.06	125.62	0.00	133.63	0.33	0.25	0.16	0.02
2	6452000	Noisy-le-Sec	44136.00	73.71	52.96	110.78	0.00	117.84	0.29	0.22	0.14	0.01
2	3038213	Alfortville	43881.00	73.28	52.66	110.14	0.00	117.16	0.29	0.22	0.14	0.01
2	6454724	Melun	40032.00	66.85	48.04	100.48	0.00	106.89	0.26	0.20	0.12	0.01
2	2973841	Stains	38720.00	64.66	46.46	97.19	0.00	103.38	0.26	0.19	0.12	0.01
2	2986501	Poissy	37388.00	62.44	44.87	93.84	0.00	99.83	0.25	0.19	0.12	0.01
2	3026083	Châtillon	37355.00	62.38	44.83	93.76	0.00	99.74	0.25	0.19	0.12	0.01
2	8298054	Villepinte	36830.00	61.51	44.20	92.44	0.00	98.34	0.24	0.18	0.11	0.01
2	3035403	Bagnolet	35674.00	59.58	42.81	89.54	0.00	95.25	0.24	0.18	0.11	0.01
2	3036460	Athis-Mons	34347.00	57.36	41.22	86.21	0.00	91.71	0.23	0.17	0.11	0.01
2	2967244	Villeneuve-Saint-Georges	33545.00	56.02	40.25	84.20	0.00	89.57	0.22	0.17	0.10	0.01
2	6613133	Châtenay-Malabry	33286.00	55.59	39.94	83.55	0.00	88.87	0.22	0.17	0.10	0.01
2	2992415	Montigny-le-Bretonneux	32929.00	54.99	39.51	82.65	0.00	87.92	0.22	0.16	0.10	0.01
2	3000192	Les Mureaux	32792.00	54.76	39.35	82.31	0.00	87.55	0.22	0.16	0.10	0.01
2	6444090	Trappes	32584.00	54.42	39.10	81.79	0.00	87.00	0.22	0.16	0.10	0.01
2	2986930	Plaisir	31419.00	52.47	37.70	78.86	0.00	83.89	0.21	0.16	0.10	0.01
2	6446231	Viry-Châtillon	31093.00	51.93	37.31	78.04	0.00	83.02	0.21	0.16	0.10	0.01
2	2967990	Pontoise	30767.00	51.38	36.92	77.23	0.00	82.15	0.20	0.15	0.10	0.01
2	10283420	Charenton-le-Pont	30374.00	50.72	36.45	76.24	0.00	81.10	0.20	0.15	0.09	0.01
2	2987271	Pierrefitte-sur-Seine	30306.00	50.61	36.37	76.07	0.00	80.92	0.20	0.15	0.09	0.01
2	8286631	Malakoff	30286.00	50.58	36.34	76.02	0.00	80.86	0.20	0.15	0.09	0.01
2	3026033	Chatou	30253.00	50.52	36.30	75.94	0.00	80.78	0.20	0.15	0.09	0.01
2	8297997	Saint-Cloud	29973.00	50.05	35.97	75.23	0.00	80.03	0.20	0.15	0.09	0.01
2	6452064	Bezons	29383.00	49.07	35.26	73.75	0.00	78.45	0.19	0.15	0.09	0.01
2	12122717	Ris-Orangis	29225.00	48.81	35.07	73.35	0.00	78.03	0.19	0.15	0.09	0.01
2	3009169	La Garenne-Colombes	29169.00	48.71	35.00	73.21	0.00	77.88	0.19	0.15	0.09	0.01
2	3019897	Ermont	29108.00	48.61	34.93	73.06	0.00	77.72	0.19	0.15	0.09	0.01
2	6457182	Le Plessis-Robinson	29100.00	48.60	34.92	73.04	0.00	77.70	0.19	0.15	0.09	0.01
2	2967245	Yerres	29029.00	48.48	34.83	72.86	0.00	77.51	0.19	0.15	0.09	0.01
2	3020832	Draveil	28833.00	48.15	34.60	72.37	0.00	76.98	0.19	0.14	0.09	0.01
2	3014143	Guyancourt	28633.00	47.82	34.36	71.87	0.00	76.45	0.19	0.14	0.09	0.01
2	6614115	Bois-Colombes	28239.00	47.16	33.89	70.88	0.00	75.40	0.19	0.14	0.09	0.01
2	6455402	Le Chesnay	27683.00	46.23	33.22	69.48	0.00	73.91	0.18	0.14	0.09	0.01
2	6455392	Romainville	27567.00	46.04	33.08	69.19	0.00	73.60	0.18	0.14	0.09	0.01
2	2992616	Montfermeil	26783.00	44.73	32.14	67.23	0.00	71.51	0.18	0.13	0.08	0.01
2	2984513	Rambouillet	26736.00	44.65	32.08	67.11	0.00	71.39	0.18	0.13	0.08	0.01
