CODIGO_O	                        ORIGEM	CODIGO_D	                       DESTINO	      DISTANCIA
8297635	                       Limoges	8297635	                       Limoges	    0.00
3031582	                      Bordeaux	3031582	                      Bordeaux	    0.00
2986495	                      Poitiers	2986495	                      Poitiers	    0.00
6440557	                           Pau	6440557	                           Pau	    0.00
3006787	                   La Rochelle	3006787	                   La Rochelle	    0.00
2994391	                     Mérignac	2994391	                     Mérignac	    0.00
2987805	                        Pessac	2987805	                        Pessac	    0.00
3029052	                        Cambes	2987805	                        Pessac	    0.39
6454744	                         Niort	6454744	                         Niort	    0.00
3232795	                       Bayonne	3232795	                       Bayonne	    0.00
3029974	            Brive-la-Gaillarde	3029974	            Brive-la-Gaillarde	    0.00
2973495	                       Talence	2973495	                       Talence	    0.00
3037612	                        Anglet	3037612	                        Anglet	    0.00
8287360	                          Agen	8287360	                          Agen	    0.00
3026141	                Châtellerault	3026141	                Châtellerault	    0.00
8290753	                    Périgueux	8290753	                    Périgueux	    0.00
2992771	                Mont-de-Marsan	2992771	                Mont-de-Marsan	    0.00
2967232	           Ygos-Saint-Saturnin	2992771	                Mont-de-Marsan	    0.53
3033881	                       Bègles	3033881	                       Bègles	    0.00
3033391	                      Bergerac	3033391	                      Bergerac	    0.00
3006283	              La Teste-de-Buch	3006283	              La Teste-de-Buch	    0.00
6432244	                     Gradignan	6432244	                     Gradignan	    0.00
6453739	                       Saintes	6453739	                       Saintes	    0.00
3032797	                      Biarritz	3032797	                      Biarritz	    0.00
6454008	                      Libourne	6454008	                      Libourne	    0.00
3027950	                         Cenon	3027950	                         Cenon	    0.00
6508515	                     Rochefort	6508515	                     Rochefort	    0.00
3005066	                    Le Bouscat	3005066	                    Le Bouscat	    0.00
2997556	                       Lormont	2997556	                       Lormont	    0.00
3019193	                       Eysines	3019193	                       Eysines	    0.00
3021670	                           Dax	3021670	                           Dax	    0.00
2992586	          Montfort-en-Chalosse	3021670	                           Dax	    0.43
3030303	                     Bressuire	3030303	                     Bressuire	    0.00
2974331	                        Cognac	2974331	                        Cognac	    0.00
2982341	                         Royan	2982341	                         Royan	    0.00
3029799	                        Bruges	3029799	                        Bruges	    0.00
2995642	                      Marmande	2995642	                      Marmande	    0.00
6432187	                        Cestas	6432187	                        Cestas	    0.00
3013534	                       Hendaye	3013534	                       Hendaye	    0.00
2971482	                         Tulle	2971482	                         Tulle	    0.00
2982770	         Rosiers-d’Égletons	2971482	                         Tulle	    0.56
2979309	             Saint-Jean-de-Luz	2979309	             Saint-Jean-de-Luz	    0.00
3032567	                      Biriatou	2979309	             Saint-Jean-de-Luz	    0.23
6454751	                       Thouars	6454751	                       Thouars	    0.00
2977648	           Saint-Paul-lès-Dax	2977648	           Saint-Paul-lès-Dax	    0.00
3014383	                       Guéret	3014383	                       Guéret	    0.00
3032639	                      Billère	3032639	                      Billère	    0.00
3037253	                      Arcachon	3037253	                      Arcachon	    0.00
2979036	                  Saint-Junien	2979036	                  Saint-Junien	    0.00
3023919	                     Confolens	2979036	                  Saint-Junien	    0.56
2989569	           Oloron-Sainte-Marie	2989569	           Oloron-Sainte-Marie	    0.00
2993721	                      Mirepeix	2989569	           Oloron-Sainte-Marie	    0.72
3037089	                        Arette	2989569	           Oloron-Sainte-Marie	    0.35
2989187	                        Orthez	2989187	                        Orthez	    0.00
2988447	                     Parthenay	2988447	                     Parthenay	    0.00
2971298	                         Ussel	2971298	                         Ussel	    0.00
2973882	                        Soyaux	2973882	                        Soyaux	    0.00
2973399	                      Taponnat	2973882	                        Soyaux	    0.56
6435106	                      Tonneins	6435106	                      Tonneins	    0.00
3028745	                     Capbreton	3028745	                     Capbreton	    0.00
2976007	             Sarlat-la-Canéda	2976007	             Sarlat-la-Canéda	    0.00
3033546	                       Belvès	2976007	             Sarlat-la-Canéda	    0.52
6448384	       Artigues-près-Bordeaux	6448384	       Artigues-près-Bordeaux	    0.00
3026045	                      Mauléon	3026045	                      Mauléon	    0.00
6616555	              Lège-Cap-Ferret	6616555	              Lège-Cap-Ferret	    0.00
3010626	                       Lacanau	6616555	              Lège-Cap-Ferret	    0.53
3009822	                   La Couronne	3009822	                   La Couronne	    0.00
2976600	      Saint-Vincent-de-Tyrosse	2976600	      Saint-Vincent-de-Tyrosse	    0.00
3003064	                         Léon	2976600	      Saint-Vincent-de-Tyrosse	    0.60
3034691	                       Bassens	3034691	                       Bassens	    0.00
3007691	                        Langon	3007691	                        Langon	    0.00
2981408	                 Saint-Benoît	2981408	                 Saint-Benoît	    0.00
2975844	                        Saujon	2975844	                        Saujon	    0.00
6455089	                   Biscarrosse	2993830	                       Mimizan	    0.55
2993830	                       Mimizan	2993830	                       Mimizan	    0.00
3010908	                    Labouheyre	2993830	                       Mimizan	    0.62
3032767	                        Bidart	3032767	                        Bidart	    0.00
2990780	                        Nérac	2990780	                        Nérac	    0.00
3016871	                      Gabarret	2990780	                        Nérac	    0.78
2997457	                        Loudun	2997457	                        Loudun	    0.00
6445467	        Saint-Yrieix-la-Perche	6445467	        Saint-Yrieix-la-Perche	    0.00
3027470	                       Châlus	6445467	        Saint-Yrieix-la-Perche	    0.58
