CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
8297635,"Limoges",8297635,"Limoges",0,3
3031582,"Bordeaux",3031582,"Bordeaux",0,3
2986495,"Poitiers",2986495,"Poitiers",0,3
6440557,"Pau",6440557,"Pau",0,3
3006787,"La Rochelle",3006787,"La Rochelle",0,3
2994391,"Mérignac",2994391,"Mérignac",0,3
2987805,"Pessac",2987805,"Pessac",0,3
6454744,"Niort",6454744,"Niort",0,3
3232795,"Bayonne",3232795,"Bayonne",0,3
3029974,"Brive-la-Gaillarde",3029974,"Brive-la-Gaillarde",0,3
2973495,"Talence",2973495,"Talence",0,3
3037612,"Anglet",3037612,"Anglet",0,3
8287360,"Agen",8287360,"Agen",0,3
3026141,"Châtellerault",3026141,"Châtellerault",0,3
3006775,"La Roche-Posay",3026141,"Châtellerault",0.51,3
8290753,"Périgueux",8290753,"Périgueux",0,3
2992771,"Mont-de-Marsan",2992771,"Mont-de-Marsan",0,3
3030286,"Bretagne-de-Marsan",2992771,"Mont-de-Marsan",0.14,3
3033881,"Bègles",3033881,"Bègles",0,3
3033391,"Bergerac",3033391,"Bergerac",0,3
3006283,"La Teste-de-Buch",3006283,"La Teste-de-Buch",0,3
6432244,"Gradignan",6432244,"Gradignan",0,3
6453739,"Saintes",6453739,"Saintes",0,3
3032797,"Biarritz",3032797,"Biarritz",0,3
6454008,"Libourne",6454008,"Libourne",0,3
3027950,"Cenon",3027950,"Cenon",0,3
6508515,"Rochefort",6508515,"Rochefort",0,3
3024715,"Clavette",6508515,"Rochefort",0.56,3
3005066,"Le Bouscat",3005066,"Le Bouscat",0,3
2997556,"Lormont",2997556,"Lormont",0,3
3019193,"Eysines",3019193,"Eysines",0,3
3021670,"Dax",3021670,"Dax",0,3
3030303,"Bressuire",3030303,"Bressuire",0,3
2974331,"Cognac",2974331,"Cognac",0,3
2982341,"Royan",2982341,"Royan",0,3
3029799,"Bruges",3029799,"Bruges",0,3
2995642,"Marmande",2995642,"Marmande",0,3
6432187,"Cestas",6432187,"Cestas",0,3
3013534,"Hendaye",3013534,"Hendaye",0,3
2971482,"Tulle",2971482,"Tulle",0,3
3023587,"Cornil",2971482,"Tulle",0.22,3
2979309,"Saint-Jean-de-Luz",2979309,"Saint-Jean-de-Luz",0,3
6454751,"Thouars",6454751,"Thouars",0,3
2977648,"Saint-Paul-lès-Dax",2977648,"Saint-Paul-lès-Dax",0,3
3014383,"Guéret",3014383,"Guéret",0,3
2976691,"Saint-Vaury",3014383,"Guéret",0.24,3
3032639,"Billère",3032639,"Billère",0,3
3037253,"Arcachon",3037253,"Arcachon",0,3
2979036,"Saint-Junien",2979036,"Saint-Junien",0,3
2989569,"Oloron-Sainte-Marie",2989569,"Oloron-Sainte-Marie",0,3
2989187,"Orthez",2989187,"Orthez",0,3
2988447,"Parthenay",2988447,"Parthenay",0,3
2971298,"Ussel",2971298,"Ussel",0,3
2973882,"Soyaux",2973882,"Soyaux",0,3
6435106,"Tonneins",6435106,"Tonneins",0,3
3028745,"Capbreton",3028745,"Capbreton",0,3
2976007,"Sarlat-la-Canéda",2976007,"Sarlat-la-Canéda",0,3
6448384,"Artigues-près-Bordeaux",6448384,"Artigues-près-Bordeaux",0,3
3026045,"Mauléon",3026045,"Mauléon",0,3
6616555,"Lège-Cap-Ferret",6616555,"Lège-Cap-Ferret",0,3
3009822,"La Couronne",3009822,"La Couronne",0,3
2976600,"Saint-Vincent-de-Tyrosse",2976600,"Saint-Vincent-de-Tyrosse",0,3
3034691,"Bassens",3034691,"Bassens",0,3
3007691,"Langon",3007691,"Langon",0,3
2981408,"Saint-Benoît",2981408,"Saint-Benoît",0,3
2975844,"Saujon",2975844,"Saujon",0,3
2993830,"Mimizan",2993830,"Mimizan",0,3
3032767,"Bidart",3032767,"Bidart",0,3
2990780,"Nérac",2990780,"Nérac",0,3
2997457,"Loudun",2997457,"Loudun",0,3
6445467,"Saint-Yrieix-la-Perche",6445467,"Saint-Yrieix-la-Perche",0,3
3011123,"Labenne",3011123,"Labenne",0,3
3029041,"Cambo-les-Bains",3029041,"Cambo-les-Bains",0,3
