NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
1,8297635,"Limoges",283823,116.36743,718.07219,354.77875,1385.05624,0,0,0,0,0
1,3031582,"Bordeaux",257804,105.69964,652.24412,322.255,1258.08352,0,0,0,0,0
1,2986495,"Poitiers",175114,71.79674,443.03842,218.8925,854.55632,0,0,0,0,0
1,6440557,"Pau",122124,50.07084,308.97372,152.655,595.96512,0,0,0,0,0
1,3006787,"La Rochelle",192841,79.06481,487.88773,241.05125,941.06408,0,0,0,0,0
1,2994391,"Mérignac",70105,28.74305,177.36565,87.63125,342.1124,0,0,0,0,0
1,2987805,"Pessac",178608,73.22928,451.87824,223.26,871.60704,0,0,0,0,0
1,6454744,"Niort",101198,41.49118,256.03094,126.4975,493.84624,0,0,0,0,0
1,3232795,"Bayonne",51228,21.00348,129.60684,64.035,249.99264,0,0,0,0,0
1,3029974,"Brive-la-Gaillarde",79019,32.39779,199.91807,98.77375,385.61272,0,0,0,0,0
1,2973495,"Talence",42606,17.46846,107.79318,53.2575,207.91728,0,0,0,0,0
1,3037612,"Anglet",38929,15.96089,98.49037,48.66125,189.97352,0,0,0,0,0
1,8287360,"Agen",76489,31.36049,193.51717,95.61125,373.26632,0,0,0,0,0
1,3026141,"Châtellerault",61479,25.20639,155.54187,76.84875,300.01752,0,0,0,0,0
1,8290753,"Périgueux",45049,18.47009,113.97397,56.31125,219.83912,0,0,0,0,0
1,2992771,"Mont-de-Marsan",29554,12.11714,74.77162,36.9425,144.22352,0,0,0,0,0
1,3033881,"Bègles",28601,11.72641,72.36053,35.75125,139.57288,0,0,0,0,0
1,3033391,"Bergerac",35226,14.44266,89.12178,44.0325,171.90288,0,0,0,0,0
1,3006283,"La Teste-de-Buch",30421,12.47261,76.96513,38.02625,148.45448,0,0,0,0,0
1,6432244,"Gradignan",25552,10.47632,64.64656,31.94,124.69376,0,0,0,0,0
1,6453739,"Saintes",75373,30.90293,190.69369,94.21625,367.82024,0,0,0,0,0
1,3032797,"Biarritz",25404,10.41564,64.27212,31.755,123.97152,0,0,0,0,0
1,6454008,"Libourne",73958,30.32278,187.11374,92.4475,360.91504,0,0,0,0,0
1,3027950,"Cenon",24729,10.13889,62.56437,30.91125,120.67752,0,0,0,0,0
1,6508515,"Rochefort",78044,31.99804,197.45132,97.555,380.85472,0,0,0,0,0
1,3005066,"Le Bouscat",23824,9.76784,60.27472,29.78,116.26112,0,0,0,0,0
1,2997556,"Lormont",207290,84.9889,524.4437,259.1125,1011.5752,0,0,0,0,0
1,3019193,"Eysines",26288,10.77808,66.50864,32.86,128.28544,0,0,0,0,0
1,3021670,"Dax",20681,8.47921,52.32293,25.85125,100.92328,0,0,0,0,0
1,3030303,"Bressuire",42105,17.26305,106.52565,52.63125,205.4724,0,0,0,0,0
1,2974331,"Cognac",28030,11.4923,70.9159,35.0375,136.7864,0,0,0,0,0
1,2982341,"Royan",18499,7.58459,46.80247,23.12375,90.27512,0,0,0,0,0
1,3029799,"Bruges",19447,7.97327,49.20091,24.30875,94.90136,0,0,0,0,0
1,2995642,"Marmande",17534,7.18894,44.36102,21.9175,85.56592,0,0,0,0,0
1,6432187,"Cestas",27352,11.21432,69.20056,34.19,133.47776,0,0,0,0,0
1,3013534,"Hendaye",16805,6.89005,42.51665,21.00625,82.0084,0,0,0,0,0
1,2971482,"Tulle",44939,18.42499,113.69567,56.17375,219.30232,0,0,0,0,0
1,2979309,"Saint-Jean-de-Luz",14198,5.82118,35.92094,17.7475,69.28624,0,0,0,0,0
1,6455089,"Biscarrosse",13946,5.71786,35.28338,17.4325,68.05648,0,0,0,0,0
1,6454751,"Thouars",35066,14.37706,88.71698,43.8325,171.12208,0,0,0,0,0
1,2977648,"Saint-Paul-lès-Dax",15861,6.50301,40.12833,19.82625,77.40168,0,0,0,0,0
1,3014383,"Guéret",12889,5.28449,32.60917,16.11125,62.89832,0,0,0,0,0
1,3032639,"Billère",12628,5.17748,31.94884,15.785,61.62464,0,0,0,0,0
1,3037253,"Arcachon",77677,31.84757,196.52281,97.09625,379.06376,0,0,0,0,0
