CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
6484156,"Rouen",6484156,"Rouen",0,1
3002964,"Le Havre",3002964,"Le Havre",0,1
3021668,"Deauville-les-Bains",3002964,"Le Havre",0.37,1
6427109,"Caen",6427109,"Caen",0,1
6427222,"Fontaine-Étoupefour",6427109,"Caen",0.18,1
3019267,"Évrecy",6427109,"Caen",0.33,1
6427321,"May-sur-Orne",6427109,"Caen",0.22,1
3017918,"Fontenay-le-Marmion",6427109,"Caen",0.24,1
2978617,"Saint-Manvieu",6427109,"Caen",0.24,1
2972560,"Tilly-sur-Seulles",6427109,"Caen",0.47,1
2991558,"Mouen",6427109,"Caen",0.22,1
6427173,"Creully",6427109,"Caen",0.42,1
3019647,"Esquay-Notre-Dame",6427109,"Caen",0.26,1
6615897,"Feuguerolles-sur-Orne",6427109,"Caen",0.19,1
3025383,"Cheux",6427109,"Caen",0.29,1
2980537,"Sainte-Honorine-du-Fay",6427109,"Caen",0.36,1
3024588,"Clinchamps-sur-Orne",6427109,"Caen",0.28,1
2989883,"Noyers-Bocage",6427109,"Caen",0.39,1
3017917,"Fontenay-le-Pesnel",6427109,"Caen",0.38,1
2972160,"Tourville-sur-Odon",6427109,"Caen",0.26,1
3036231,"Audrieu",6427109,"Caen",0.41,1
3015397,"Grainville-sur-Odon",6427109,"Caen",0.31,1
2996325,"Maltot",6427109,"Caen",0.17,1
3037961,"Amayé-sur-Orne",6427109,"Caen",0.29,1
3019265,"Évreux",3019265,"Évreux",0,1
2976986,"Saint-Sébastien-de-Morsent",3019265,"Évreux",0.12,1
2988848,"Pacy-sur-Eure",3019265,"Évreux",0.42,1
3024026,"Conches-en-Ouche",3019265,"Évreux",0.41,1
2981755,"Saint-André-de-l’Eure",3019265,"Évreux",0.39,1
6430419,"Gravigny",3019265,"Évreux",0.08,1
6616275,"La Bonneville",3019265,"Évreux",0.22,1
3021795,"Damville",3019265,"Évreux",0.44,1
2994542,"Ménilles",3019265,"Évreux",0.39,1
2982038,"Sacquenville",3019265,"Évreux",0.23,1
3018632,"Ferrières-Haut-Clocher",3019265,"Évreux",0.31,1
2990107,"Normanville",3019265,"Évreux",0.17,1
3035663,"Aviron",3019265,"Évreux",0.12,1
3024705,"Claville",3019265,"Évreux",0.25,1
2999366,"Les Ventes",3019265,"Évreux",0.23,1
3021411,"Dieppe",3021411,"Dieppe",0,1
2974153,"Sotteville-lès-Rouen",2974153,"Sotteville-lès-Rouen",0,1
2980236,"Saint-Étienne-du-Rouvray",2980236,"Saint-Étienne-du-Rouvray",0,1
6452432,"Alençon",6452432,"Alençon",0,1
2979796,"Saint-Germain-du-Corbéis",6452432,"Alençon",0.06,1
6439332,"Valframbert",6452432,"Alençon",0.1,1
6612705,"Saint-Denis-sur-Sarthon",6452432,"Alençon",0.28,1
6453910,"Vernon",6453910,"Vernon",0,1
3016564,"Gasny",6453910,"Vernon",0.21,1
3016637,"Garennes-sur-Eure",6453910,"Vernon",0.51,1
3029655,"Bueil",6453910,"Vernon",0.45,1
3030195,"Breuilpont",6453910,"Vernon",0.37,1
6427260,"Hérouville-Saint-Clair",6427260,"Hérouville-Saint-Clair",0,1
6456462,"Le Petit-Quevilly",6456462,"Le Petit-Quevilly",0,1
2979422,"Lisieux",2979422,"Lisieux",0,1
6427383,"Pont-l’Évêque",2979422,"Lisieux",0.39,1
2998081,"Livarot",2979422,"Lisieux",0.42,1
3005630,"Orbec-en-Auge",2979422,"Lisieux",0.48,1
2980861,"Saint-Désir",2979422,"Lisieux",0.05,1
2991280,"Moyaux",2979422,"Lisieux",0.26,1
3029027,"Cambremer",2979422,"Lisieux",0.33,1
6447215,"Beuvillers",2979422,"Lisieux",0.07,1
3023647,"Cormeilles",2979422,"Lisieux",0.38,1
3004989,"Le Breuil-en-Auge",2979422,"Lisieux",0.21,1
2992003,"Mont-Saint-Aignan",2992003,"Mont-Saint-Aignan",0,1
2980457,"Sainte-Marguerite-sur-Duclair",2992003,"Mont-Saint-Aignan",0.46,1
2978757,"Saint-Lô",2978757,"Saint-Lô",0,1
3038611,"Agneaux",2978757,"Saint-Lô",0.04,1
6435379,"Condé-sur-Vire",2978757,"Saint-Lô",0.2,1
2995734,"Marigny",2978757,"Saint-Lô",0.27,1
2972427,"Torigni-sur-Vire",2978757,"Saint-Lô",0.3,1
6435562,"Saint-Amand",2978757,"Saint-Lô",0.31,1
2986181,"Pont-Hébert",2978757,"Saint-Lô",0.16,1
3028819,"Canisy",2978757,"Saint-Lô",0.19,1
2973058,"Tessy-sur-Vire",2978757,"Saint-Lô",0.39,1
2979289,"Saint-Jean-des-Baisants",2978757,"Saint-Lô",0.22,1
6612582,"Guilberville",2978757,"Saint-Lô",0.44,1
3013609,"Hébécrevon",2978757,"Saint-Lô",0.14,1
2991262,"Moyon",2978757,"Saint-Lô",0.32,1
3027868,"Cerisy-la-Forêt",2978757,"Saint-Lô",0.36,1
3008193,"La Meauffe",2978757,"Saint-Lô",0.18,1
3027867,"Cerisy-la-Salle",2978757,"Saint-Lô",0.43,1
3011331,"La Barre-de-Semilly",2978757,"Saint-Lô",0.11,1
3021185,"Domjean",2978757,"Saint-Lô",0.37,1
2997336,"Louviers",2997336,"Louviers",0,1
3036371,"Aubevoye",2997336,"Louviers",0.33,1
3018794,"Fécamp",3018794,"Fécamp",0,1
6454686,"Elbeuf",6454686,"Elbeuf",0,1
3231149,"Cherbourg",3231095,"Tourlaville",0.04,1
3231095,"Tourlaville",3231095,"Tourlaville",0,1
6456111,"La Glacerie",3231095,"Tourlaville",0.09,1
6435542,"Querqueville",3231095,"Tourlaville",0.22,1
3030120,"Bricquebec",3231095,"Tourlaville",0.48,1
3029967,"Brix",3231095,"Tourlaville",0.27,1
2971321,"Urville-Nacqueville",3231095,"Tourlaville",0.3,1
2977453,"Saint-Pierre-Église",3231095,"Tourlaville",0.32,1
3021376,"Digosville",3231095,"Tourlaville",0.1,1
6435680,"Tollevast",3231095,"Tourlaville",0.2,1
2974155,"Sottevast",3231095,"Tourlaville",0.33,1
3034158,"Beaumont-Hague",3231095,"Tourlaville",0.47,1
2995363,"Martinvast",3231095,"Tourlaville",0.2,1
6435402,"Fermanville",3231095,"Tourlaville",0.28,1
3022774,"Couville",3231095,"Tourlaville",0.31,1
2967188,"Yvetot-Bocage",3231095,"Tourlaville",0.44,1
6435694,"Vasteville",3231095,"Tourlaville",0.37,1
2984354,"Rauville-la-Bigot",3231095,"Tourlaville",0.39,1
3231573,"Bretteville",3231095,"Tourlaville",0.11,1
2973039,"Teurthéville-Hague",3231095,"Tourlaville",0.31,1
6439093,"Flers",6439093,"Flers",0,1
6439080,"Domfront",6439093,"Flers",0.46,1
2997635,"Lonlay-l’Abbaye",6439093,"Flers",0.38,1
2981358,"Saint-Bômer-les-Forges",6439093,"Flers",0.31,1
