NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
3	6484156	Rouen	494382.00	983.82	4439.55	1240.90	0.00	899.78	9.84	8.31	7.71	5.04
3	3002964	Le Havre	238813.00	475.24	2144.54	599.42	0.00	434.64	4.75	4.01	3.73	2.44
3	6427109	Caen	135143.00	268.93	1213.58	339.21	0.00	245.96	2.69	2.27	2.11	1.38
3	3019265	Évreux	84100.00	167.36	755.22	211.09	0.00	153.06	1.67	1.41	1.31	0.86
3	3021411	Dieppe	88050.00	175.22	790.69	221.01	0.00	160.25	1.75	1.48	1.37	0.90
3	2974153	Sotteville-lès-Rouen	116347.00	231.53	1044.80	292.03	0.00	211.75	2.32	1.95	1.82	1.19
3	2980236	Saint-Étienne-du-Rouvray	28641.00	57.00	257.20	71.89	0.00	52.13	0.57	0.48	0.45	0.29
3	6452432	Alençon	32528.00	64.73	292.10	81.65	0.00	59.20	0.65	0.55	0.51	0.33
3	6453910	Vernon	69969.00	139.24	628.32	175.62	0.00	127.34	1.39	1.18	1.09	0.71
3	6427260	Hérouville-Saint-Clair	22954.00	45.68	206.13	57.61	0.00	41.78	0.46	0.39	0.36	0.23
3	6456462	Le Petit-Quevilly	21995.00	43.77	197.52	55.21	0.00	40.03	0.44	0.37	0.34	0.22
3	2979422	Lisieux	36922.00	73.47	331.56	92.67	0.00	67.20	0.73	0.62	0.58	0.38
3	2992003	Mont-Saint-Aignan	21290.00	42.37	191.18	53.44	0.00	38.75	0.42	0.36	0.33	0.22
3	2978757	Saint-Lô	54875.00	109.20	492.78	137.74	0.00	99.87	1.09	0.92	0.86	0.56
3	2997336	Louviers	23284.00	46.34	209.09	58.44	0.00	42.38	0.46	0.39	0.36	0.24
3	3018794	Fécamp	18251.00	36.32	163.89	45.81	0.00	33.22	0.36	0.31	0.28	0.19
3	6454686	Elbeuf	16205.00	32.25	145.52	40.67	0.00	29.49	0.32	0.27	0.25	0.17
3	3231095	Tourlaville	113425.00	225.72	1018.56	284.70	0.00	206.43	2.26	1.91	1.77	1.16
3	6439093	Flers	20406.00	40.61	183.25	51.22	0.00	37.14	0.41	0.34	0.32	0.21
3	8296353	Bois-Guillaume	14309.00	28.47	128.49	35.92	0.00	26.04	0.28	0.24	0.22	0.15
3	3037051	Argentan	17203.00	34.23	154.48	43.18	0.00	31.31	0.34	0.29	0.27	0.18
3	3034483	Bayeux	23151.00	46.07	207.90	58.11	0.00	42.13	0.46	0.39	0.36	0.24
3	6612581	Granville	20871.00	41.53	187.42	52.39	0.00	37.99	0.42	0.35	0.33	0.21
3	6451100	Barentin	31864.00	63.41	286.14	79.98	0.00	57.99	0.63	0.54	0.50	0.33
3	6443376	Oissel	12102.00	24.08	108.68	30.38	0.00	22.03	0.24	0.20	0.19	0.12
