CODIGO_O	                        ORIGEM	CODIGO_D	                       DESTINO	      DISTANCIA
6301914	                      Toulouse	6301914	                      Toulouse	    0.00
2992166	                   Montpellier	2992166	                   Montpellier	    0.00
2990363	                        Nîmes	2990363	                        Nîmes	    0.00
2979679	                  Saint-Gilles	2990363	                        Nîmes	    0.47
2987914	                     Perpignan	2987914	                     Perpignan	    0.00
8291902	                      Béziers	8291902	                      Béziers	    0.00
6454798	                     Montauban	6454798	                     Montauban	    0.00
2990919	                      Narbonne	2990919	                      Narbonne	    0.00
3038261	                          Albi	3038261	                          Albi	    0.00
8289344	                   Carcassonne	8289344	                   Carcassonne	    0.00
6496329	                         Sète	6496329	                         Sète	    0.00
12316668	                       Castres	12316668	                       Castres	    0.00
2973385	                        Tarbes	2973385	                        Tarbes	    0.00
3038224	                         Alès	3038224	                         Alès	    0.00
3024223	                     Colomiers	3024223	                     Colomiers	    0.00
3038638	                          Agde	3038638	                          Agde	    0.00
2997116	                         Lunel	2997116	                         Lunel	    0.00
2991153	                         Muret	2991153	                         Muret	    0.00
3032469	                       Blagnac	3032469	                       Blagnac	    0.00
6427003	                         Rodez	6427003	                         Rodez	    0.00
2993875	                        Millau	2993875	                        Millau	    0.00
3036281	                          Auch	3036281	                          Auch	    0.00
3028337	              Castelnau-le-Lez	3028337	              Castelnau-le-Lez	    0.00
3029213	                        Cahors	3029213	                        Cahors	    0.00
3035396	             Bagnols-sur-Cèze	3035396	             Bagnols-sur-Cèze	    0.00
3034382	                     Beaucaire	3034382	                     Beaucaire	    0.00
2988670	                       Pamiers	2988670	                       Pamiers	    0.00
3016824	                       Gaillac	3016824	                       Gaillac	    0.00
2984493	         Ramonville-Saint-Agne	2984493	         Ramonville-Saint-Agne	    0.00
3028322	                Castelsarrasin	3028322	                Castelsarrasin	    0.00
2997395	                       Lourdes	2997395	                       Lourdes	    0.00
2993586	                       Moissac	2993586	                       Moissac	    0.00
3021065	                        Donzac	2993586	                       Moissac	    0.53
6444834	                      Graulhet	6444834	                      Graulhet	    0.00
2977832	      Saint-Orens-de-Gameville	2977832	      Saint-Orens-de-Gameville	    0.00
2994617	                         Mende	2994617	                         Mende	    0.00
3018238	                        Florac	2994617	                         Mende	    0.56
3028351	                 Castelnaudary	3028351	                 Castelnaudary	    0.00
6427081	      Villefranche-de-Rouergue	6427081	      Villefranche-de-Rouergue	    0.00
6616456	       Villeneuve-lès-Avignon	6616456	       Villeneuve-lès-Avignon	    0.00
2980313	                 Saint-Estève	2980313	                 Saint-Estève	    0.00
2980045	                 Saint-Gaudens	2980045	                 Saint-Gaudens	    0.00
3031135	            Boulogne-sur-Gesse	2980045	                 Saint-Gaudens	    0.53
2998644	          Lézignan-Corbières	2998644	          Lézignan-Corbières	    0.00
2979394	                    Saint-Jean	2979394	                    Saint-Jean	    0.00
6454780	                        Lavaur	6454780	                        Lavaur	    0.00
6432641	          Saint-Jean-de-Védas	6432641	          Saint-Jean-de-Védas	    0.00
3037068	              Argelès-sur-Mer	3037068	              Argelès-sur-Mer	    0.00
3029302	                     Cabestany	3029302	                     Cabestany	    0.00
2998264	                        Limoux	2998264	                        Limoux	    0.00
3027582	                      Chalabre	2998264	                        Limoux	    0.48
2994902	                       Mazamet	2994902	                       Mazamet	    0.00
2968510	           Villeneuve-Tolosane	2968510	           Villeneuve-Tolosane	    0.00
3018506	                        Figeac	3018506	                        Figeac	    0.00
3027833	                       Carmaux	3027833	                       Carmaux	    0.00
2990890	                      Naucelle	3027833	                       Carmaux	    0.55
2983833	                         Revel	2983833	                         Revel	    0.00
3018174	                          Foix	3018174	                          Foix	    0.00
3003874	                     Léguevin	3003874	                     Léguevin	    0.00
2974648	                       Seysses	2974648	                       Seysses	    0.00
3020281	                          Elne	3020281	                          Elne	    0.00
3008981	               La Grande-Motte	3008981	               La Grande-Motte	    0.00
3015424	                       Grabels	3015424	                       Grabels	    0.00
2969346	                Le Grau-du-Roi	2969346	                Le Grau-du-Roi	    0.00
2971258	                         Uzès	2971258	                         Uzès	    0.00
6616427	                    Les Angles	6616427	                    Les Angles	    0.00
2987441	                      Pézenas	2987441	                      Pézenas	    0.00
2981925	                Saint-Affrique	2981925	                Saint-Affrique	    0.00
2983929	                     Réquista	2981925	                Saint-Affrique	    0.73
3027888	                        Céret	3027888	                        Céret	    0.00
2972665	                         Thuir	2972665	                         Thuir	    0.00
2972908	                        Théza	2972665	                         Thuir	    0.40
2997936	                       Lodève	2997936	                       Lodève	    0.00
2987180	                        Pignan	2987180	                        Pignan	    0.00
6450469	          Bagnères-de-Bigorre	6450469	          Bagnères-de-Bigorre	    0.00
3028680	                       Capvern	6450469	          Bagnères-de-Bigorre	    0.35
3023606	                  Cornebarrieu	3023606	                  Cornebarrieu	    0.00
3028162	                      Caussade	3028162	                      Caussade	    0.00
3023943	                        Condom	3023943	                        Condom	    0.00
2969400	                  Vic-Fezensac	3023943	                        Condom	    0.57
2979657	                  Saint-Girons	2979657	                  Saint-Girons	    0.00
3011312	            Labarthe-sur-Lèze	3011312	            Labarthe-sur-Lèze	    0.00
6431793	                   Saint-Alban	6431793	                   Saint-Alban	    0.00
3016953	                       Fronton	3016953	                       Fronton	    0.00
3005712	                     Lavelanet	3005712	                     Lavelanet	    0.00
3035595	                Ax-les-Thermes	3005712	                     Lavelanet	    0.59
2985653	                        Prades	2985653	                        Prades	    0.00
6441030	      Saint-Paul-de-Fenouillet	2985653	                        Prades	    0.56
6440992	                       Osséja	2985653	                        Prades	    1.06
3018323	                     Fleurance	3018323	                     Fleurance	    0.00
2988742	             Palavas-les-Flots	2988742	             Palavas-les-Flots	    0.00
6451344	                     Aussillon	6451344	                     Aussillon	    0.00
6440788	                    Lannemezan	6440788	                    Lannemezan	    0.00
3033913	                    Bédarieux	3033913	                    Bédarieux	    0.00
3028652	                      Carbonne	3028652	                      Carbonne	    0.00
6426776	              Port-la-Nouvelle	6426776	              Port-la-Nouvelle	    0.00
2990809	                 Nègrepelisse	2990809	                 Nègrepelisse	    0.00
