CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
6301914,"Toulouse",6301914,"Toulouse",0,3
2992166,"Montpellier",2992166,"Montpellier",0,3
2990363,"Nîmes",2990363,"Nîmes",0,3
2987914,"Perpignan",2987914,"Perpignan",0,3
8291902,"Béziers",8291902,"Béziers",0,3
6454798,"Montauban",6454798,"Montauban",0,3
2990919,"Narbonne",2990919,"Narbonne",0,3
3038261,"Albi",3038261,"Albi",0,3
8289344,"Carcassonne",8289344,"Carcassonne",0,3
6496329,"Sète",6496329,"Sète",0,3
12316668,"Castres",12316668,"Castres",0,3
2973385,"Tarbes",2973385,"Tarbes",0,3
3038224,"Alès",3038224,"Alès",0,3
3024223,"Colomiers",3024223,"Colomiers",0,3
3038638,"Agde",3038638,"Agde",0,3
2997116,"Lunel",2997116,"Lunel",0,3
2991153,"Muret",2991153,"Muret",0,3
2997812,"Lombez",2991153,"Muret",0.84,3
3032469,"Blagnac",3032469,"Blagnac",0,3
6427003,"Rodez",6427003,"Rodez",0,3
2993875,"Millau",2993875,"Millau",0,3
6456938,"La Canourgue",2993875,"Millau",0.97,3
3036281,"Auch",3036281,"Auch",0,3
3028337,"Castelnau-le-Lez",3028337,"Castelnau-le-Lez",0,3
3029213,"Cahors",3029213,"Cahors",0,3
3035396,"Bagnols-sur-Cèze",3035396,"Bagnols-sur-Cèze",0,3
3034382,"Beaucaire",3034382,"Beaucaire",0,3
2988670,"Pamiers",2988670,"Pamiers",0,3
3016824,"Gaillac",3016824,"Gaillac",0,3
2984493,"Ramonville-Saint-Agne",2984493,"Ramonville-Saint-Agne",0,3
3028322,"Castelsarrasin",3028322,"Castelsarrasin",0,3
2997395,"Lourdes",2997395,"Lourdes",0,3
2993586,"Moissac",2993586,"Moissac",0,3
6444834,"Graulhet",6444834,"Graulhet",0,3
2977832,"Saint-Orens-de-Gameville",2977832,"Saint-Orens-de-Gameville",0,3
2994617,"Mende",2994617,"Mende",0,3
3028351,"Castelnaudary",3028351,"Castelnaudary",0,3
6427081,"Villefranche-de-Rouergue",6427081,"Villefranche-de-Rouergue",0,3
6616456,"Villeneuve-lès-Avignon",6616456,"Villeneuve-lès-Avignon",0,3
2980313,"Saint-Estève",2980313,"Saint-Estève",0,3
2980045,"Saint-Gaudens",2980045,"Saint-Gaudens",0,3
2998644,"Lézignan-Corbières",2998644,"Lézignan-Corbières",0,3
2979394,"Saint-Jean",2979394,"Saint-Jean",0,3
6454780,"Lavaur",6454780,"Lavaur",0,3
6432641,"Saint-Jean-de-Védas",6432641,"Saint-Jean-de-Védas",0,3
3037068,"Argelès-sur-Mer",3037068,"Argelès-sur-Mer",0,3
3029302,"Cabestany",3029302,"Cabestany",0,3
2998264,"Limoux",2998264,"Limoux",0,3
2994902,"Mazamet",2994902,"Mazamet",0,3
2968510,"Villeneuve-Tolosane",2968510,"Villeneuve-Tolosane",0,3
3018506,"Figeac",3018506,"Figeac",0,3
3027833,"Carmaux",3027833,"Carmaux",0,3
2983833,"Revel",2983833,"Revel",0,3
3018174,"Foix",3018174,"Foix",0,3
3003874,"Léguevin",3003874,"Léguevin",0,3
2974648,"Seysses",2974648,"Seysses",0,3
3020281,"Elne",3020281,"Elne",0,3
3008981,"La Grande-Motte",3008981,"La Grande-Motte",0,3
3015424,"Grabels",3015424,"Grabels",0,3
2969346,"Le Grau-du-Roi",2969346,"Le Grau-du-Roi",0,3
2971258,"Uzès",2971258,"Uzès",0,3
6616427,"Les Angles",6616427,"Les Angles",0,3
2987441,"Pézenas",2987441,"Pézenas",0,3
3030676,"Bouzigues",2987441,"Pézenas",0.48,3
2981925,"Saint-Affrique",2981925,"Saint-Affrique",0,3
3027888,"Céret",3027888,"Céret",0,3
2972665,"Thuir",2972665,"Thuir",0,3
2997936,"Lodève",2997936,"Lodève",0,3
2987180,"Pignan",2987180,"Pignan",0,3
6450469,"Bagnères-de-Bigorre",6450469,"Bagnères-de-Bigorre",0,3
3023606,"Cornebarrieu",3023606,"Cornebarrieu",0,3
2994979,"Mauvezin",3023606,"Cornebarrieu",0.93,3
3028162,"Caussade",3028162,"Caussade",0,3
2977927,"Saint-Nauphary",3028162,"Caussade",0.59,3
3023943,"Condom",3023943,"Condom",0,3
2990284,"Nogaro",3023943,"Condom",0.99,3
2979657,"Saint-Girons",2979657,"Saint-Girons",0,3
2976443,"Salies-du-Salat",2979657,"Saint-Girons",0.5,3
3011312,"Labarthe-sur-Lèze",3011312,"Labarthe-sur-Lèze",0,3
6431793,"Saint-Alban",6431793,"Saint-Alban",0,3
3016953,"Fronton",3016953,"Fronton",0,3
3005712,"Lavelanet",3005712,"Lavelanet",0,3
2985653,"Prades",2985653,"Prades",0,3
3018323,"Fleurance",3018323,"Fleurance",0,3
2988742,"Palavas-les-Flots",2988742,"Palavas-les-Flots",0,3
6451344,"Aussillon",6451344,"Aussillon",0,3
6440788,"Lannemezan",6440788,"Lannemezan",0,3
3033913,"Bédarieux",3033913,"Bédarieux",0,3
6616595,"Saint-Pons-de-Thomières",3033913,"Bédarieux",0.88,3
3028652,"Carbonne",3028652,"Carbonne",0,3
6426776,"Port-la-Nouvelle",6426776,"Port-la-Nouvelle",0,3
2990809,"Nègrepelisse",2990809,"Nègrepelisse",0,3
2972010,"Trèbes",2972010,"Trèbes",0,3
2975649,"Sauvian",2975649,"Sauvian",0,3
3005102,"Le Boulou",3005102,"Le Boulou",0,3
6447096,"Decazeville",6447096,"Decazeville",0,3
2977327,"Saint-Privat-des-Vieux",2977327,"Saint-Privat-des-Vieux",0,3
2975181,"Séméac",2975181,"Séméac",0,3
6613544,"Vic-en-Bigorre",6613544,"Vic-en-Bigorre",0,3
3035092,"Banyuls-sur-Mer",3035092,"Banyuls-sur-Mer",0,3
2995339,"Marvejols",2995339,"Marvejols",0,3
2968758,"Villefranche-de-Lauragais",2968758,"Villefranche-de-Lauragais",0,3
3019717,"Espalion",3019717,"Espalion",0,3
2999046,"Leucate",2999046,"Leucate",0,3
2978325,"Saint-Martin-de-Valgalgues",2978325,"Saint-Martin-de-Valgalgues",0,3
2993160,"Montagnac",2993160,"Montagnac",0,3
6615509,"Castelmaurou",6615509,"Castelmaurou",0,3
6448220,"Caveirac",6448220,"Caveirac",0,3
3033056,"Bessières",3033056,"Bessières",0,3
3016714,"Ganges",3016714,"Ganges",0,3
3015546,"Gourdon",3015546,"Gourdon",0,3
2993013,"Montarnaud",2993013,"Montarnaud",0,3
6455847,"Le Vigan",6455847,"Le Vigan",0,3
3034170,"Beaumont-de-Lomagne",3034170,"Beaumont-de-Lomagne",0,3
3015119,"Gallargues-le-Montueux",3015119,"Gallargues-le-Montueux",0,3
2988755,"Amélie-les-Bains-Palalda",2988755,"Amélie-les-Bains-Palalda",0,3
3035044,"Barbazan-Debat",3035044,"Barbazan-Debat",0,3
2981228,"Saint-Céré",2981228,"Saint-Céré",0,3
3014482,"Gramat",3014482,"Gramat",0,3
6432008,"Mirande",6432008,"Mirande",0,3
2989629,"Olemps",2989629,"Olemps",0,3
2984719,"Quillan",2984719,"Quillan",0,3
3031205,"Boujan-sur-Libron",3031205,"Boujan-sur-Libron",0,3
2984643,"Quissac",2984643,"Quissac",0,3
3009188,"Lagardelle-sur-Lèze",3009188,"Lagardelle-sur-Lèze",0,3
2992926,"Montberon",2992926,"Montberon",0,3
3007694,"Langogne",3007694,"Langogne",0,3
6424456,"Brax",6424456,"Brax",0,3
2999649,"Les Salles-du-Gardon",2999649,"Les Salles-du-Gardon",0,3
2983591,"Rieux-Volvestre",2983591,"Rieux-Volvestre",0,3
3024239,"Colombiers",3024239,"Colombiers",0,3
2982117,"Conques-sur-Orbiel",2982117,"Conques-sur-Orbiel",0,3
3008321,"Lamalou-les-Bains",3008321,"Lamalou-les-Bains",0,3
2988309,"Pavie",2988309,"Pavie",0,3
3024314,"Collioure",3024314,"Collioure",0,3
2974699,"Sévérac-le-Château",2974699,"Sévérac-le-Château",0,3
2985547,"Prayssac",2985547,"Prayssac",0,3
3029108,"Calmont",3029108,"Calmont",0,3
2995146,"Maubourguet",2995146,"Maubourguet",0,3
3035416,"Bagnères-de-Luchon",3035416,"Bagnères-de-Luchon",0,3
6431368,"Remoulins",6431368,"Remoulins",0,3
6427047,"Salles-la-Source",6427047,"Salles-la-Source",0,3
