NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
1,6301914,"Toulouse",968638,397.14158,2450.65414,1210.7975,4726.95344,0,0,0,0,0
1,2992166,"Montpellier",607896,249.23736,1537.97688,759.87,2966.53248,0,0,0,0,0
1,2990363,"Nîmes",151001,61.91041,382.03253,188.75125,736.88488,0,0,0,0,0
1,2987914,"Perpignan",120158,49.26478,303.99974,150.1975,586.37104,0,0,0,0,0
1,8291902,"Béziers",77177,31.64257,195.25781,96.47125,376.62376,0,0,0,0,0
1,6454798,"Montauban",101043,41.42763,255.63879,126.30375,493.08984,0,0,0,0,0
1,2990919,"Narbonne",54700,22.427,138.391,68.375,266.936,0,0,0,0,0
1,3038261,"Albi",54807,22.47087,138.66171,68.50875,267.45816,0,0,0,0,0
1,8289344,"Carcassonne",46031,18.87271,116.45843,57.53875,224.63128,0,0,0,0,0
1,6496329,"Sète",43229,17.72389,109.36937,54.03625,210.95752,0,0,0,0,0
1,12316668,"Castres",45393,18.61113,114.84429,56.74125,221.51784,0,0,0,0,0
1,2973385,"Tarbes",41518,17.02238,105.04054,51.8975,202.60784,0,0,0,0,0
1,3038224,"Alès",40219,16.48979,101.75407,50.27375,196.26872,0,0,0,0,0
1,3024223,"Colomiers",40123,16.45043,101.51119,50.15375,195.80024,0,0,0,0,0
1,3038638,"Agde",28609,11.72969,72.38077,35.76125,139.61192,0,0,0,0,0
1,2997116,"Lunel",26239,10.75799,66.38467,32.79875,128.04632,0,0,0,0,0
1,2991153,"Muret",35644,14.61404,90.17932,44.555,173.94272,0,0,0,0,0
1,3032469,"Blagnac",377547,154.79427,955.19391,471.93375,1842.42936,0,0,0,0,0
1,6427003,"Rodez",29565,12.12165,74.79945,36.95625,144.2772,0,0,0,0,0
1,2993875,"Millau",26415,10.83015,66.82995,33.01875,128.9052,0,0,0,0,0
1,3036281,"Auch",21935,8.99335,55.49555,27.41875,107.0428,0,0,0,0,0
1,3028337,"Castelnau-le-Lez",20480,8.3968,51.8144,25.6,99.9424,0,0,0,0,0
1,3029213,"Cahors",29243,11.98963,73.98479,36.55375,142.70584,0,0,0,0,0
1,3035396,"Bagnols-sur-Cèze",45756,18.75996,115.76268,57.195,223.28928,0,0,0,0,0
1,3034382,"Beaucaire",75060,30.7746,189.9018,93.825,366.2928,0,0,0,0,0
1,2988670,"Pamiers",15603,6.39723,39.47559,19.50375,76.14264,0,0,0,0,0
1,3016824,"Gaillac",45136,18.50576,114.19408,56.42,220.26368,0,0,0,0,0
1,2984493,"Ramonville-Saint-Agne",45591,18.69231,115.34523,56.98875,222.48408,0,0,0,0,0
1,3028322,"Castelsarrasin",21368,8.76088,54.06104,26.71,104.27584,0,0,0,0,0
1,2979679,"Saint-Gilles",13787,5.65267,34.88111,17.23375,67.28056,0,0,0,0,0
1,2997395,"Lourdes",51340,21.0494,129.8902,64.175,250.5392,0,0,0,0,0
1,2993586,"Moissac",16838,6.90358,42.60014,21.0475,82.16944,0,0,0,0,0
1,6444834,"Graulhet",12789,5.24349,32.35617,15.98625,62.41032,0,0,0,0,0
1,2977832,"Saint-Orens-de-Gameville",12522,5.13402,31.68066,15.6525,61.10736,0,0,0,0,0
1,2994617,"Mende",12227,5.01307,30.93431,15.28375,59.66776,0,0,0,0,0
1,3028351,"Castelnaudary",27796,11.39636,70.32388,34.745,135.64448,0,0,0,0,0
1,6427081,"Villefranche-de-Rouergue",14836,6.08276,37.53508,18.545,72.39968,0,0,0,0,0
1,6616456,"Villeneuve-lès-Avignon",64872,26.59752,164.12616,81.09,316.57536,0,0,0,0,0
1,2980313,"Saint-Estève",30337,12.43817,76.75261,37.92125,148.04456,0,0,0,0,0
1,2980045,"Saint-Gaudens",17473,7.16393,44.20669,21.84125,85.26824,0,0,0,0,0
1,2998644,"Lézignan-Corbières",29394,12.05154,74.36682,36.7425,143.44272,0,0,0,0,0
1,2979394,"Saint-Jean",10929,4.48089,27.65037,13.66125,53.33352,0,0,0,0,0
1,6454780,"Lavaur",12797,5.24677,32.37641,15.99625,62.44936,0,0,0,0,0
1,6432641,"Saint-Jean-de-Védas",10452,4.28532,26.44356,13.065,51.00576,0,0,0,0,0
1,3037068,"Argelès-sur-Mer",111368,45.66088,281.76104,139.21,543.47584,0,0,0,0,0
1,3029302,"Cabestany",10235,4.19635,25.89455,12.79375,49.9468,0,0,0,0,0
1,2998264,"Limoux",18645,7.64445,47.17185,23.30625,90.9876,0,0,0,0,0
1,2994902,"Mazamet",10033,4.11353,25.38349,12.54125,48.96104,0,0,0,0,0
1,2968510,"Villeneuve-Tolosane",9987,4.09467,25.26711,12.48375,48.73656,0,0,0,0,0
1,3018506,"Figeac",13290,5.4489,33.6237,16.6125,64.8552,0,0,0,0,0
1,3027833,"Carmaux",50742,20.80422,128.37726,63.4275,247.62096,0,0,0,0,0
1,2983833,"Revel",21084,8.64444,53.34252,26.355,102.88992,0,0,0,0,0
1,3018174,"Foix",26738,10.96258,67.64714,33.4225,130.48144,0,0,0,0,0
1,3003874,"Léguevin",18289,7.49849,46.27117,22.86125,89.25032,0,0,0,0,0
1,2974648,"Seysses",9322,3.82202,23.58466,11.6525,45.49136,0,0,0,0,0
1,3020281,"Elne",9103,3.73223,23.03059,11.37875,44.42264,0,0,0,0,0
1,3008981,"La Grande-Motte",8755,3.58955,22.15015,10.94375,42.7244,0,0,0,0,0
1,3015424,"Grabels",8603,3.52723,21.76559,10.75375,41.98264,0,0,0,0,0
1,2969346,"Le Grau-du-Roi",8457,3.46737,21.39621,10.57125,41.27016,0,0,0,0,0
1,2971258,"Uzès",8420,3.4522,21.3026,10.525,41.0896,0,0,0,0,0
1,6616427,"Les Angles",8311,3.40751,21.02683,10.38875,40.55768,0,0,0,0,0
1,2987441,"Pézenas",8148,3.34068,20.61444,10.185,39.76224,0,0,0,0,0
1,2981925,"Saint-Affrique",11879,4.87039,30.05387,14.84875,57.96952,0,0,0,0,0
1,3027888,"Céret",7821,3.20661,19.78713,9.77625,38.16648,0,0,0,0,0
1,2972665,"Thuir",7792,3.19472,19.71376,9.74,38.02496,0,0,0,0,0
1,2997936,"Lodève",22058,9.04378,55.80674,27.5725,107.64304,0,0,0,0,0
1,2987180,"Pignan",16341,6.69981,41.34273,20.42625,79.74408,0,0,0,0,0
1,6450469,"Bagnères-de-Bigorre",7103,2.91223,17.97059,8.87875,34.66264,0,0,0,0,0
1,3023606,"Cornebarrieu",6862,2.81342,17.36086,8.5775,33.48656,0,0,0,0,0
1,3028162,"Caussade",15693,6.43413,39.70329,19.61625,76.58184,0,0,0,0,0
1,3023943,"Condom",8831,3.62071,22.34243,11.03875,43.09528,0,0,0,0,0
1,2979657,"Saint-Girons",6408,2.62728,16.21224,8.01,31.27104,0,0,0,0,0
1,3011312,"Labarthe-sur-Lèze",6275,2.57275,15.87575,7.84375,30.622,0,0,0,0,0
1,6431793,"Saint-Alban",7542,3.09222,19.08126,9.4275,36.80496,0,0,0,0,0
1,3016953,"Fronton",6166,2.52806,15.59998,7.7075,30.09008,0,0,0,0,0
1,3005712,"Lavelanet",7174,2.94134,18.15022,8.9675,35.00912,0,0,0,0,0
1,2985653,"Prades",9592,3.93272,24.26776,11.99,46.80896,0,0,0,0,0
1,3018323,"Fleurance",9647,3.95527,24.40691,12.05875,47.07736,0,0,0,0,0
1,2988742,"Palavas-les-Flots",5903,2.42023,14.93459,7.37875,28.80664,0,0,0,0,0
1,6451344,"Aussillon",37398,15.33318,94.61694,46.7475,182.50224,0,0,0,0,0
1,6440788,"Lannemezan",5812,2.38292,14.70436,7.265,28.36256,0,0,0,0,0
1,3033913,"Bédarieux",8338,3.41858,21.09514,10.4225,40.68944,0,0,0,0,0
1,3028652,"Carbonne",5752,2.35832,14.55256,7.19,28.06976,0,0,0,0,0
1,6426776,"Port-la-Nouvelle",21812,8.94292,55.18436,27.265,106.44256,0,0,0,0,0
1,2990809,"Nègrepelisse",5642,2.31322,14.27426,7.0525,27.53296,0,0,0,0,0
1,2972010,"Trèbes",30147,12.36027,76.27191,37.68375,147.11736,0,0,0,0,0
1,2975649,"Sauvian",125450,51.4345,317.3885,156.8125,612.196,0,0,0,0,0
1,3005102,"Le Boulou",5396,2.21236,13.65188,6.745,26.33248,0,0,0,0,0
1,6447096,"Decazeville",31275,12.82275,79.12575,39.09375,152.622,0,0,0,0,0
1,2977327,"Saint-Privat-des-Vieux",5218,2.13938,13.20154,6.5225,25.46384,0,0,0,0,0
1,2975181,"Séméac",5005,2.05205,12.66265,6.25625,24.4244,0,0,0,0,0
1,6613544,"Vic-en-Bigorre",13963,5.72483,35.32639,17.45375,68.13944,0,0,0,0,0
1,3035092,"Banyuls-sur-Mer",4752,1.94832,12.02256,5.94,23.18976,0,0,0,0,0
