NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
3	6301914	Toulouse	968638.00	1927.59	8698.37	2431.28	0.00	1762.92	19.28	16.27	15.11	9.88
3	2992166	Montpellier	607896.00	1209.71	5458.91	1525.82	0.00	1106.37	12.10	10.21	9.48	6.20
3	2990363	Nîmes	164788.00	327.93	1479.80	413.62	0.00	299.91	3.28	2.77	2.57	1.68
3	2987914	Perpignan	120158.00	239.11	1079.02	301.60	0.00	218.69	2.39	2.02	1.87	1.23
3	8291902	Béziers	77177.00	153.58	693.05	193.71	0.00	140.46	1.54	1.30	1.20	0.79
3	6454798	Montauban	101043.00	201.08	907.37	253.62	0.00	183.90	2.01	1.70	1.58	1.03
3	2990919	Narbonne	54700.00	108.85	491.21	137.30	0.00	99.55	1.09	0.92	0.85	0.56
3	3038261	Albi	54807.00	109.07	492.17	137.57	0.00	99.75	1.09	0.92	0.85	0.56
3	8289344	Carcassonne	46031.00	91.60	413.36	115.54	0.00	83.78	0.92	0.77	0.72	0.47
3	6496329	Sète	43229.00	86.03	388.20	108.50	0.00	78.68	0.86	0.73	0.67	0.44
3	12316668	Castres	45393.00	90.33	407.63	113.94	0.00	82.62	0.90	0.76	0.71	0.46
3	2973385	Tarbes	41518.00	82.62	372.83	104.21	0.00	75.56	0.83	0.70	0.65	0.42
3	3038224	Alès	40219.00	80.04	361.17	100.95	0.00	73.20	0.80	0.68	0.63	0.41
3	3024223	Colomiers	40123.00	79.84	360.30	100.71	0.00	73.02	0.80	0.67	0.63	0.41
3	3038638	Agde	28609.00	56.93	256.91	71.81	0.00	52.07	0.57	0.48	0.45	0.29
3	2997116	Lunel	26239.00	52.22	235.63	65.86	0.00	47.75	0.52	0.44	0.41	0.27
3	2991153	Muret	47369.00	94.26	425.37	118.90	0.00	86.21	0.94	0.80	0.74	0.48
3	3032469	Blagnac	377547.00	751.32	3390.37	947.64	0.00	687.14	7.51	6.34	5.89	3.85
3	6427003	Rodez	29565.00	58.83	265.49	74.21	0.00	53.81	0.59	0.50	0.46	0.30
3	2993875	Millau	34433.00	68.52	309.21	86.43	0.00	62.67	0.69	0.58	0.54	0.35
3	3036281	Auch	21935.00	43.65	196.98	55.06	0.00	39.92	0.44	0.37	0.34	0.22
3	3028337	Castelnau-le-Lez	20480.00	40.76	183.91	51.40	0.00	37.27	0.41	0.34	0.32	0.21
3	3029213	Cahors	29243.00	58.19	262.60	73.40	0.00	53.22	0.58	0.49	0.46	0.30
3	3035396	Bagnols-sur-Cèze	45756.00	91.05	410.89	114.85	0.00	83.28	0.91	0.77	0.71	0.47
3	3034382	Beaucaire	75060.00	149.37	674.04	188.40	0.00	136.61	1.49	1.26	1.17	0.77
3	2988670	Pamiers	15603.00	31.05	140.11	39.16	0.00	28.40	0.31	0.26	0.24	0.16
3	3016824	Gaillac	45136.00	89.82	405.32	113.29	0.00	82.15	0.90	0.76	0.70	0.46
3	2984493	Ramonville-Saint-Agne	45591.00	90.73	409.41	114.43	0.00	82.98	0.91	0.77	0.71	0.47
