NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP_ATENDIDA,ATEND_FTE
1,6301914,"Toulouse",1,"Physicians",968638,397.1416
1,6301914,"Toulouse",2,"Nurses",968638,2450.6541
1,6301914,"Toulouse",3,"OtherCadres",968638,1210.7975
1,6301914,"Toulouse",4,"CommunityBased",968638,4726.9534
1,6301914,"Toulouse",5,"Beds",968638,0
1,6301914,"Toulouse",6,"CTScanner",968638,0
1,6301914,"Toulouse",7,"MRIUnit",968638,0
1,6301914,"Toulouse",8,"Mammography",968638,0
1,6301914,"Toulouse",9,"Radiotherapy",968638,0
1,2992166,"Montpellier",1,"Physicians",607896,249.2374
1,2992166,"Montpellier",2,"Nurses",607896,1537.9769
1,2992166,"Montpellier",3,"OtherCadres",607896,759.87
1,2992166,"Montpellier",4,"CommunityBased",607896,2966.5325
1,2992166,"Montpellier",5,"Beds",607896,0
1,2992166,"Montpellier",6,"CTScanner",607896,0
1,2992166,"Montpellier",7,"MRIUnit",607896,0
1,2992166,"Montpellier",8,"Mammography",607896,0
1,2992166,"Montpellier",9,"Radiotherapy",607896,0
1,2990363,"Nîmes",1,"Physicians",151001,61.9104
1,2990363,"Nîmes",2,"Nurses",151001,382.0325
1,2990363,"Nîmes",3,"OtherCadres",151001,188.7513
1,2990363,"Nîmes",4,"CommunityBased",151001,736.8849
1,2990363,"Nîmes",5,"Beds",151001,0
1,2990363,"Nîmes",6,"CTScanner",151001,0
1,2990363,"Nîmes",7,"MRIUnit",151001,0
1,2990363,"Nîmes",8,"Mammography",151001,0
1,2990363,"Nîmes",9,"Radiotherapy",151001,0
1,2987914,"Perpignan",1,"Physicians",120158,49.2648
1,2987914,"Perpignan",2,"Nurses",120158,303.9997
1,2987914,"Perpignan",3,"OtherCadres",120158,150.1975
1,2987914,"Perpignan",4,"CommunityBased",120158,586.371
1,2987914,"Perpignan",5,"Beds",120158,0
1,2987914,"Perpignan",6,"CTScanner",120158,0
1,2987914,"Perpignan",7,"MRIUnit",120158,0
1,2987914,"Perpignan",8,"Mammography",120158,0
1,2987914,"Perpignan",9,"Radiotherapy",120158,0
1,8291902,"Béziers",1,"Physicians",77177,31.6426
1,8291902,"Béziers",2,"Nurses",77177,195.2578
1,8291902,"Béziers",3,"OtherCadres",77177,96.4713
1,8291902,"Béziers",4,"CommunityBased",77177,376.6238
1,8291902,"Béziers",5,"Beds",77177,0
1,8291902,"Béziers",6,"CTScanner",77177,0
1,8291902,"Béziers",7,"MRIUnit",77177,0
1,8291902,"Béziers",8,"Mammography",77177,0
1,8291902,"Béziers",9,"Radiotherapy",77177,0
1,6454798,"Montauban",1,"Physicians",101043,41.4276
1,6454798,"Montauban",2,"Nurses",101043,255.6386
1,6454798,"Montauban",3,"OtherCadres",101043,126.3044
1,6454798,"Montauban",4,"CommunityBased",101043,493.0898
1,6454798,"Montauban",5,"Beds",101043,0
1,6454798,"Montauban",6,"CTScanner",101043,0
1,6454798,"Montauban",7,"MRIUnit",101043,0
1,6454798,"Montauban",8,"Mammography",101043,0
1,6454798,"Montauban",9,"Radiotherapy",101043,0
1,2990919,"Narbonne",1,"Physicians",54700,22.427
1,2990919,"Narbonne",2,"Nurses",54700,138.391
1,2990919,"Narbonne",3,"OtherCadres",54700,68.375
1,2990919,"Narbonne",4,"CommunityBased",54700,266.936
1,2990919,"Narbonne",5,"Beds",54700,0
1,2990919,"Narbonne",6,"CTScanner",54700,0
