CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
2990969,"Nantes",2990969,"Nantes",0,2
3037656,"Angers",3037656,"Angers",0,2
6508863,"Le Mans",6508863,"Le Mans",0,2
6434534,"Saint-Nazaire",6434534,"Saint-Nazaire",0,2
3006767,"La Roche-sur-Yon",3006767,"La Roche-sur-Yon",0,2
3025053,"Cholet",3025053,"Cholet",0,2
3007264,"La Plaine",3025053,"Cholet",0.46,2
3005866,"Laval",3005866,"Laval",0,2
2979590,"Saint-Herblain",2979590,"Saint-Herblain",0,2
2976984,"Saint-Sébastien-sur-Loire",2976984,"Saint-Sébastien-sur-Loire",0,2
2975758,"Saumur",2975758,"Saumur",0,2
3002446,"Le Puy-Notre-Dame",2975758,"Saumur",0.48,2
2989170,"Orvault",2989170,"Orvault",0,2
2969612,"Vertou",2969612,"Vertou",0,2
3027513,"Challans",3027513,"Challans",0,2
3028535,"Carquefou",3028535,"Carquefou",0,2
6492231,"Bouguenais",6492231,"Bouguenais",0,2
3014392,"Guérande",3014392,"Guérande",0,2
2986060,"Pornic",2986060,"Pornic",0,2
2971896,"Trélazé",2971896,"Trélazé",0,2
3035612,"Avrillé",3035612,"Avrillé",0,2
3017921,"Fontenay-le-Comte",3017921,"Fontenay-le-Comte",0,2
2994935,"Mayenne",2994935,"Mayenne",0,2
2999908,"Les Ponts-de-Cé",2999908,"Les Ponts-de-Cé",0,2
2971180,"Sablé-sur-Sarthe",2971180,"Sablé-sur-Sarthe",0,2
3005371,"Le Bailleul",2971180,"Sablé-sur-Sarthe",0.38,2
3026303,"Châteaubriant",3026303,"Châteaubriant",0,2
2997433,"Louisfert",3026303,"Châteaubriant",0.16,2
6449657,"Château-Gontier",6449657,"Château-Gontier",0,2
3031307,"Bouère",6449657,"Château-Gontier",0.43,2
3038086,"Allonnes",3038086,"Allonnes",0,2
3021191,"Domfront-en-Champagne",3038086,"Allonnes",0.45,2
2986271,"Pontchâteau",2986271,"Pontchâteau",0,2
6449095,"Fégréac",2986271,"Pontchâteau",0.42,2
3032462,"Blain",3032462,"Blain",0,2
2997210,"Luçon",2997210,"Luçon",0,2
2975597,"Savenay",2975597,"Savenay",0,2
3009494,"La Ferté-Bernard",3009494,"La Ferté-Bernard",0,2
2979299,"Saint-Jean-de-Monts",2979299,"Saint-Jean-de-Monts",0,2
3019259,"Évron",3019259,"Évron",0,2
3003661,"Le Loroux-Bottereau",3003661,"Le Loroux-Bottereau",0,2
3022348,"Saint-Gilles-Croix-de-Vie",3022348,"Saint-Gilles-Croix-de-Vie",0,2
2993619,"Clisson",2993619,"Clisson",0,2
2975314,"Segré",2975314,"Segré",0,2
3034309,"Beaufort-en-Vallée",3034309,"Beaufort-en-Vallée",0,2
3026941,"Changé",3026941,"Changé",0,2
3027491,"Chalonnes-sur-Loire",3027491,"Chalonnes-sur-Loire",0,2
3025972,"Chaudron-en-Mauges",3027491,"Chalonnes-sur-Loire",0.45,2
2969111,"Vigneux-de-Bretagne",2969111,"Vigneux-de-Bretagne",0,2
3019895,"Ernée",3019895,"Ernée",0,2
3007044,"Larchamp",3019895,"Ernée",0.22,2
2996291,"Mamers",2996291,"Mamers",0,2
3022690,"Craon",3022690,"Craon",0,2
6456406,"Le Lude",6456406,"Le Lude",0,2
6614560,"Le Croisic",6614560,"Le Croisic",0,2
3031723,"Bonnétable",3031723,"Bonnétable",0,2
3034555,"Baugé",3034555,"Baugé",0,2
6451619,"Cugand",6451619,"Cugand",0,2
3012549,"Jallais",3012549,"Jallais",0,2
6458652,"Sainte-Gemmes-sur-Loire",6458652,"Sainte-Gemmes-sur-Loire",0,2
2981263,"Saint-Calais",2981263,"Saint-Calais",0,2
2988797,"Paimbœuf",2988797,"Paimbœuf",0,2
2979336,"Corcoué-sur-Logne",2979336,"Corcoué-sur-Logne",0,2
6434531,"Saint-Même-le-Tenu",2979336,"Corcoué-sur-Logne",0.44,2
3006183,"La Tranche-sur-Mer",3006183,"La Tranche-sur-Mer",0,2
3028851,"Candé",3028851,"Candé",0,2
6436516,"Villaines-la-Juhel",6436516,"Villaines-la-Juhel",0,2
2979707,"Saint-Gervais",2979707,"Saint-Gervais",0,2
3012484,"Jard-sur-Mer",3012484,"Jard-sur-Mer",0,2
6445191,"Sainte-Foy",3012484,"Jard-sur-Mer",0.4,2
2978198,"Saint-Mathurin",3012484,"Jard-sur-Mer",0.49,2
3010161,"La Châtaigneraie",3010161,"La Châtaigneraie",0,2
6454645,"Saint-Saturnin",6454645,"Saint-Saturnin",0,2
2984012,"Renazé",2984012,"Renazé",0,2
2974550,"Sillé-le-Guillaume",2974550,"Sillé-le-Guillaume",0,2
6458635,"Montfaucon",6458635,"Montfaucon",0,2
3034140,"Beaumont-sur-Sarthe",3034140,"Beaumont-sur-Sarthe",0,2
2993590,"Moisdon-la-Rivière",2993590,"Moisdon-la-Rivière",0,2
2973219,"Teillé",2993590,"Moisdon-la-Rivière",0.48,2
2972056,"Trans-sur-Erdre",2993590,"Moisdon-la-Rivière",0.4,2
3003986,"Le Grand-Lucé",3003986,"Le Grand-Lucé",0,2
2994250,"Mesnard-la-Barotière",2994250,"Mesnard-la-Barotière",0,2
2980604,"Sainte-Florence",2994250,"Mesnard-la-Barotière",0.2,2
