NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
2,2990969,"Nantes",633690,1058.2623,760.428,1590.5619,0,1691.9523,4.182354,3.16845,1.964439,0.190107
2,3037656,"Angers",155113,259.03871,186.1356,389.33363,0,414.15171,1.0237458,0.775565,0.4808503,0.0465339
2,6508863,"Le Mans",144445,241.22315,173.334,362.55695,0,385.66815,0.953337,0.722225,0.4477795,0.0433335
2,6434534,"Saint-Nazaire",94895,158.47465,113.874,238.18645,0,253.36965,0.626307,0.474475,0.2941745,0.0284685
2,3006767,"La Roche-sur-Yon",168493,281.38331,202.1916,422.91743,0,449.87631,1.1120538,0.842465,0.5223283,0.0505479
2,3025053,"Cholet",165769,276.83423,198.9228,416.08019,0,442.60323,1.0940754,0.828845,0.5138839,0.0497307
2,3005866,"Laval",85777,143.24759,102.9324,215.30027,0,229.02459,0.5661282,0.428885,0.2659087,0.0257331
2,2979590,"Saint-Herblain",46268,77.26756,55.5216,116.13268,0,123.53556,0.3053688,0.23134,0.1434308,0.0138804
2,2976984,"Saint-Sébastien-sur-Loire",26838,44.81946,32.2056,67.36338,0,71.65746,0.1771308,0.13419,0.0831978,0.0080514
2,2975758,"Saumur",63479,106.00993,76.1748,159.33229,0,169.48893,0.4189614,0.317395,0.1967849,0.0190437
2,2989170,"Orvault",72549,121.15683,87.0588,182.09799,0,193.70583,0.4788234,0.362745,0.2249019,0.0217647
2,2969612,"Vertou",90226,150.67742,108.2712,226.46726,0,240.90342,0.5954916,0.45113,0.2797006,0.0270678
2,3027513,"Challans",35316,58.97772,42.3792,88.64316,0,94.29372,0.2330856,0.17658,0.1094796,0.0105948
2,3028535,"Carquefou",278889,465.74463,334.6668,700.01139,0,744.63363,1.8406674,1.394445,0.8645559,0.0836667
2,6492231,"Bouguenais",19658,32.82886,23.5896,49.34158,0,52.48686,0.1297428,0.09829,0.0609398,0.0058974
2,3014392,"Guérande",101203,169.00901,121.4436,254.01953,0,270.21201,0.6679398,0.506015,0.3137293,0.0303609
2,2986060,"Pornic",46960,78.4232,56.352,117.8696,0,125.3832,0.309936,0.2348,0.145576,0.014088
2,2971896,"Trélazé",35068,58.56356,42.0816,88.02068,0,93.63156,0.2314488,0.17534,0.1087108,0.0105204
2,3035612,"Avrillé",145363,242.75621,174.4356,364.86113,0,388.11921,0.9593958,0.726815,0.4506253,0.0436089
2,3017921,"Fontenay-le-Comte",25161,42.01887,30.1932,63.15411,0,67.17987,0.1660626,0.125805,0.0779991,0.0075483
2,2994935,"Mayenne",20109,33.58203,24.1308,50.47359,0,53.69103,0.1327194,0.100545,0.0623379,0.0060327
2,2999908,"Les Ponts-de-Cé",13945,23.28815,16.734,35.00195,0,37.23315,0.092037,0.069725,0.0432295,0.0041835
2,2971180,"Sablé-sur-Sarthe",71272,119.02424,85.5264,178.89272,0,190.29624,0.4703952,0.35636,0.2209432,0.0213816
2,3026303,"Châteaubriant",38891,64.94797,46.6692,97.61641,0,103.83897,0.2566806,0.194455,0.1205621,0.0116673
2,6449657,"Château-Gontier",31420,52.4714,37.704,78.8642,0,83.8914,0.207372,0.1571,0.097402,0.009426
2,3038086,"Allonnes",123637,206.47379,148.3644,310.32887,0,330.11079,0.8160042,0.618185,0.3832747,0.0370911
2,2986271,"Pontchâteau",33483,55.91661,40.1796,84.04233,0,89.39961,0.2209878,0.167415,0.1037973,0.0100449
2,3032462,"Blain",31783,53.07761,38.1396,79.77533,0,84.86061,0.2097678,0.158915,0.0985273,0.0095349
2,2997210,"Luçon",36435,60.84645,43.722,91.45185,0,97.28145,0.240471,0.182175,0.1129485,0.0109305
2,2975597,"Savenay",94476,157.77492,113.3712,237.13476,0,252.25092,0.6235416,0.47238,0.2928756,0.0283428
2,3009494,"La Ferté-Bernard",22024,36.78008,26.4288,55.28024,0,58.80408,0.1453584,0.11012,0.0682744,0.0066072
