NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
2	2990969	Nantes	633690.00	1058.26	760.43	1590.56	0.00	1691.95	4.18	3.17	1.96	0.19
2	3037656	Angers	155113.00	259.04	186.14	389.33	0.00	414.15	1.02	0.78	0.48	0.05
2	6508863	Le Mans	144445.00	241.22	173.33	362.56	0.00	385.67	0.95	0.72	0.45	0.04
2	6434534	Saint-Nazaire	94895.00	158.47	113.87	238.19	0.00	253.37	0.63	0.47	0.29	0.03
2	3006767	La Roche-sur-Yon	168493.00	281.38	202.19	422.92	0.00	449.88	1.11	0.84	0.52	0.05
2	3025053	Cholet	165769.00	276.83	198.92	416.08	0.00	442.60	1.09	0.83	0.51	0.05
2	3005866	Laval	85777.00	143.25	102.93	215.30	0.00	229.02	0.57	0.43	0.27	0.03
2	2979590	Saint-Herblain	46268.00	77.27	55.52	116.13	0.00	123.54	0.31	0.23	0.14	0.01
2	2976984	Saint-Sébastien-sur-Loire	26838.00	44.82	32.21	67.36	0.00	71.66	0.18	0.13	0.08	0.01
2	2975758	Saumur	63479.00	106.01	76.17	159.33	0.00	169.49	0.42	0.32	0.20	0.02
2	2989170	Orvault	72549.00	121.16	87.06	182.10	0.00	193.71	0.48	0.36	0.22	0.02
2	2969612	Vertou	90226.00	150.68	108.27	226.47	0.00	240.90	0.60	0.45	0.28	0.03
2	3027513	Challans	35316.00	58.98	42.38	88.64	0.00	94.29	0.23	0.18	0.11	0.01
2	3028535	Carquefou	278889.00	465.74	334.67	700.01	0.00	744.63	1.84	1.39	0.86	0.08
2	6492231	Bouguenais	19658.00	32.83	23.59	49.34	0.00	52.49	0.13	0.10	0.06	0.01
2	3014392	Guérande	101203.00	169.01	121.44	254.02	0.00	270.21	0.67	0.51	0.31	0.03
2	2986060	Pornic	46960.00	78.42	56.35	117.87	0.00	125.38	0.31	0.23	0.15	0.01
2	2971896	Trélazé	35068.00	58.56	42.08	88.02	0.00	93.63	0.23	0.18	0.11	0.01
2	3035612	Avrillé	145363.00	242.76	174.44	364.86	0.00	388.12	0.96	0.73	0.45	0.04
2	3017921	Fontenay-le-Comte	25161.00	42.02	30.19	63.15	0.00	67.18	0.17	0.13	0.08	0.01
2	2994935	Mayenne	20109.00	33.58	24.13	50.47	0.00	53.69	0.13	0.10	0.06	0.01
2	2999908	Les Ponts-de-Cé	13945.00	23.29	16.73	35.00	0.00	37.23	0.09	0.07	0.04	0.00
2	2971180	Sablé-sur-Sarthe	71272.00	119.02	85.53	178.89	0.00	190.30	0.47	0.36	0.22	0.02
2	3026303	Châteaubriant	38891.00	64.95	46.67	97.62	0.00	103.84	0.26	0.19	0.12	0.01
2	6449657	Château-Gontier	31420.00	52.47	37.70	78.86	0.00	83.89	0.21	0.16	0.10	0.01
2	3038086	Allonnes	123637.00	206.47	148.36	310.33	0.00	330.11	0.82	0.62	0.38	0.04
2	2986271	Pontchâteau	33483.00	55.92	40.18	84.04	0.00	89.40	0.22	0.17	0.10	0.01
2	3032462	Blain	31783.00	53.08	38.14	79.78	0.00	84.86	0.21	0.16	0.10	0.01
2	2997210	Luçon	36435.00	60.85	43.72	91.45	0.00	97.28	0.24	0.18	0.11	0.01
2	2975597	Savenay	94476.00	157.77	113.37	237.13	0.00	252.25	0.62	0.47	0.29	0.03
2	3009494	La Ferté-Bernard	22024.00	36.78	26.43	55.28	0.00	58.80	0.15	0.11	0.07	0.01
2	2979299	Saint-Jean-de-Monts	20469.00	34.18	24.56	51.38	0.00	54.65	0.14	0.10	0.06	0.01
2	3019259	Évron	23959.00	40.01	28.75	60.14	0.00	63.97	0.16	0.12	0.07	0.01
2	3003661	Le Loroux-Bottereau	27393.00	45.75	32.87	68.76	0.00	73.14	0.18	0.14	0.08	0.01
2	3022348	Saint-Gilles-Croix-de-Vie	69645.00	116.31	83.57	174.81	0.00	185.95	0.46	0.35	0.22	0.02
2	2993619	Clisson	35981.00	60.09	43.18	90.31	0.00	96.07	0.24	0.18	0.11	0.01
2	2975314	Segré	32095.00	53.60	38.51	80.56	0.00	85.69	0.21	0.16	0.10	0.01
2	3034309	Beaufort-en-Vallée	19678.00	32.86	23.61	49.39	0.00	52.54	0.13	0.10	0.06	0.01
2	3026941	Changé	6549.00	10.94	7.86	16.44	0.00	17.49	0.04	0.03	0.02	0.00
2	3027491	Chalonnes-sur-Loire	58189.00	97.18	69.83	146.05	0.00	155.36	0.38	0.29	0.18	0.02
2	2969111	Vigneux-de-Bretagne	10653.00	17.79	12.78	26.74	0.00	28.44	0.07	0.05	0.03	0.00
