NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP_ATENDIDA,ATEND_FTE
1,2990969,"Nantes",1,"Physicians",633690,259.8129
1,2990969,"Nantes",2,"Nurses",633690,1603.2357
1,2990969,"Nantes",3,"OtherCadres",633690,792.1125
1,2990969,"Nantes",4,"CommunityBased",633690,3092.4072
1,2990969,"Nantes",5,"Beds",633690,0
1,2990969,"Nantes",6,"CTScanner",633690,0
1,2990969,"Nantes",7,"MRIUnit",633690,0
1,2990969,"Nantes",8,"Mammography",633690,0
1,2990969,"Nantes",9,"Radiotherapy",633690,0
1,3037656,"Angers",1,"Physicians",155113,63.5963
1,3037656,"Angers",2,"Nurses",155113,392.4359
1,3037656,"Angers",3,"OtherCadres",155113,193.8913
1,3037656,"Angers",4,"CommunityBased",155113,756.9514
1,3037656,"Angers",5,"Beds",155113,0
1,3037656,"Angers",6,"CTScanner",155113,0
1,3037656,"Angers",7,"MRIUnit",155113,0
1,3037656,"Angers",8,"Mammography",155113,0
1,3037656,"Angers",9,"Radiotherapy",155113,0
1,6508863,"Le Mans",1,"Physicians",144445,59.2225
1,6508863,"Le Mans",2,"Nurses",144445,365.4459
1,6508863,"Le Mans",3,"OtherCadres",144445,180.5563
1,6508863,"Le Mans",4,"CommunityBased",144445,704.8916
1,6508863,"Le Mans",5,"Beds",144445,0
1,6508863,"Le Mans",6,"CTScanner",144445,0
1,6508863,"Le Mans",7,"MRIUnit",144445,0
1,6508863,"Le Mans",8,"Mammography",144445,0
1,6508863,"Le Mans",9,"Radiotherapy",144445,0
1,6434534,"Saint-Nazaire",1,"Physicians",94895,38.9069
1,6434534,"Saint-Nazaire",2,"Nurses",94895,240.0844
1,6434534,"Saint-Nazaire",3,"OtherCadres",94895,118.6187
1,6434534,"Saint-Nazaire",4,"CommunityBased",94895,463.0875
1,6434534,"Saint-Nazaire",5,"Beds",94895,0
1,6434534,"Saint-Nazaire",6,"CTScanner",94895,0
1,6434534,"Saint-Nazaire",7,"MRIUnit",94895,0
1,6434534,"Saint-Nazaire",8,"Mammography",94895,0
1,6434534,"Saint-Nazaire",9,"Radiotherapy",94895,0
1,3006767,"La Roche-sur-Yon",1,"Physicians",168493,69.0825
1,3006767,"La Roche-sur-Yon",2,"Nurses",168493,426.2873
1,3006767,"La Roche-sur-Yon",3,"OtherCadres",168493,210.6173
1,3006767,"La Roche-sur-Yon",4,"CommunityBased",168493,822.2459
1,3006767,"La Roche-sur-Yon",5,"Beds",168493,0
1,3006767,"La Roche-sur-Yon",6,"CTScanner",168493,0
1,3006767,"La Roche-sur-Yon",7,"MRIUnit",168493,0
1,3006767,"La Roche-sur-Yon",8,"Mammography",168493,0
1,3006767,"La Roche-sur-Yon",9,"Radiotherapy",168493,0
1,3025053,"Cholet",1,"Physicians",159845,65.5364
1,3025053,"Cholet",2,"Nurses",159845,404.4078
1,3025053,"Cholet",3,"OtherCadres",159845,199.8071
1,3025053,"Cholet",4,"CommunityBased",159845,780.0433
1,3025053,"Cholet",5,"Beds",159845,0
1,3025053,"Cholet",6,"CTScanner",159845,0
1,3025053,"Cholet",7,"MRIUnit",159845,0
1,3025053,"Cholet",8,"Mammography",159845,0
1,3025053,"Cholet",9,"Radiotherapy",159845,0
1,3005866,"Laval",1,"Physicians",85777,35.1687
1,3005866,"Laval",2,"Nurses",85777,217.0159
1,3005866,"Laval",3,"OtherCadres",85777,107.2215
1,3005866,"Laval",4,"CommunityBased",85777,418.5918
1,3005866,"Laval",5,"Beds",85777,0
1,3005866,"Laval",6,"CTScanner",85777,0
1,3005866,"Laval",7,"MRIUnit",85777,0
1,3005866,"Laval",8,"Mammography",85777,0
1,3005866,"Laval",9,"Radiotherapy",85777,0
1,2979590,"Saint-Herblain",1,"Physicians",46268,18.9699
1,2979590,"Saint-Herblain",2,"Nurses",46268,117.058
1,2979590,"Saint-Herblain",3,"OtherCadres",46268,57.835
1,2979590,"Saint-Herblain",4,"CommunityBased",46268,225.7878
1,2979590,"Saint-Herblain",5,"Beds",46268,0
1,2979590,"Saint-Herblain",6,"CTScanner",46268,0
1,2979590,"Saint-Herblain",7,"MRIUnit",46268,0
