CODIGO_O	                        ORIGEM	CODIGO_D	                       DESTINO	      DISTANCIA
6529563	                      Orléans	6529563	                      Orléans	    0.00
2972191	                         Tours	2972191	                         Tours	    0.00
3031005	                       Bourges	3031005	                       Bourges	    0.00
6428217	              Mehun-sur-Yèvre	3031005	                       Bourges	    0.38
2980107	        Saint-Florent-sur-Cher	3031005	                       Bourges	    0.37
2979790	          Saint-Germain-du-Puy	3031005	                       Bourges	    0.17
2971553	                         Trouy	3031005	                       Bourges	    0.22
6456751	       La Chapelle-Saint-Ursin	3031005	                       Bourges	    0.15
2978420	      Saint-Martin-d’Auxigny	3031005	                       Bourges	    0.33
2986962	           Plaimpied-Givaudins	3031005	                       Bourges	    0.26
6447484	                         Fussy	3031005	                       Bourges	    0.18
2995647	                      Marmagne	3031005	                       Bourges	    0.22
3002199	          Les Aix-d’Angillon	3031005	                       Bourges	    0.46
2994585	                 Menetou-Salon	3031005	                       Bourges	    0.44
2997111	                        Lunery	3031005	                       Bourges	    0.48
2980494	             Saint-Éloy-de-Gy	3031005	                       Bourges	    0.22
2970627	                      Vasselay	3031005	                       Bourges	    0.20
3033228	                    Berry-Bouy	3031005	                       Bourges	    0.21
2980324	                Sainte-Solange	3031005	                       Bourges	    0.32
3038073	                       Allouis	3031005	                       Bourges	    0.39
3038094	                       Allogny	3031005	                       Bourges	    0.42
3030428	                        Brécy	3031005	                       Bourges	    0.44
6455656	                    Le Subdray	3031005	                       Bourges	    0.28
3019026	            Farges-en-Septaine	3031005	                       Bourges	    0.48
3032213	                         Blois	3032213	                         Blois	    0.00
3026204	                  Châteauroux	3026204	                  Châteauroux	    0.00
3026467	                      Chartres	3026467	                      Chartres	    0.00
3020810	                         Dreux	3020810	                         Dreux	    0.00
2969257	                       Vierzon	2969257	                       Vierzon	    0.00
2994426	                       Méreau	2969257	                       Vierzon	    0.17
2969087	         Vignoux-sur-Barangeon	2969257	                       Vierzon	    0.20
3018189	                        Foëcy	2969257	                       Vierzon	    0.22
3015423	                       Graçay	2969257	                       Vierzon	    0.48
2995248	                        Massay	2969257	                       Vierzon	    0.24
2972986	                      Theillay	2969257	                       Vierzon	    0.26
2990480	           Neuvy-sur-Barangeon	2969257	                       Vierzon	    0.43
3026019	             Châtres-sur-Cher	2969257	                       Vierzon	    0.33
2989611	                        Olivet	2989611	                        Olivet	    0.00
3009484	         La Ferté-Saint-Aubin	2989611	                        Olivet	    0.42
6434622	                       Jargeau	2989611	                        Olivet	    0.42
6434641	          Marcilly-en-Villette	2989611	                        Olivet	    0.36
3018676	                     Férolles	2989611	                        Olivet	    0.40
2970110	                      Vendôme	2970110	                      Vendôme	    0.00
6434081	                       Oucques	2970110	                      Vendôme	    0.44
2997123	                         Lunay	2970110	                      Vendôme	    0.28
3005541	           La Ville-aux-Clercs	2970110	                      Vendôme	    0.35
2987436	                         Pezou	2970110	                      Vendôme	    0.25
3017106	                     Fréteval	2970110	                      Vendôme	    0.38
6433106	           Saint-Cyr-sur-Loire	6433106	           Saint-Cyr-sur-Loire	    0.00
2990637	          Neuillé-Pont-Pierre	6433106	           Saint-Cyr-sur-Loire	    0.47
2969779	                     Montargis	2969779	                     Montargis	    0.00
3027531	           Châlette-sur-Loing	2969779	                     Montargis	    0.04
6454162	                  Villemandeur	2969779	                     Montargis	    0.05
6614869	                    Ferrières	2969779	                     Montargis	    0.28
2988632	                        Pannes	2969779	                     Montargis	    0.14
3002086	                      Dordives	2969779	                     Montargis	    0.41
6434568	                  Corquilleroy	2969779	                     Montargis	    0.15
2990261	          Nogent-sur-Vernisson	2969779	                     Montargis	    0.42
3027923	                         Cepoy	2969779	                     Montargis	    0.14
2979807	       Saint-Germain-des-Prés	2969779	                     Montargis	    0.25
6434602	            Fontenay-sur-Loing	2969779	                     Montargis	    0.31
2983062	                    Corbeilles	2969779	                     Montargis	    0.40
2990912	                        Nargis	2969779	                     Montargis	    0.32
3025316	        Chevillon-sur-Huillard	2969779	                     Montargis	    0.22
3009638	                         Ladon	2969779	                     Montargis	    0.36
6434749	                    Triguères	2969779	                     Montargis	    0.49
2992793	                   Montcresson	2969779	                     Montargis	    0.29
3025000	                      Chuelles	2969779	                     Montargis	    0.43
2978116	     Saint-Maurice-sur-Fessard	2969779	                     Montargis	    0.21
2968073	                        Vimory	2969779	                     Montargis	    0.16
6456039	          La Selle-sur-le-Bied	2969779	                     Montargis	    0.36
3016097	                          Gien	3016097	                          Gien	    0.00
3005811	                        Amilly	3005811	                        Amilly	    0.00
3026076	            Châtillon-Coligny	3005811	                        Amilly	    0.44
3026285	                   Châteaudun	3026285	                   Châteaudun	    0.00
6455030	                          Brou	3026285	                   Châteaudun	    0.50
3024543	            Cloyes-sur-le-Loir	3026285	                   Châteaudun	    0.28
6447986	                         Arrou	3026285	                   Châteaudun	    0.41
3021777	                       Dangeau	3026285	                   Châteaudun	    0.40
2996075	                      Marboué	3026285	                   Châteaudun	    0.12
2991861	                        Morée	3026285	                   Châteaudun	    0.50
3005761	          La Chapelle-du-Noyer	3026285	                   Châteaudun	    0.06
6433124	        Saint-Pierre-des-Corps	2995246	                       Amboise	    0.48
6433100	                 Saint-Avertin	2995246	                       Amboise	    0.50
2995246	                       Amboise	2995246	                       Amboise	    0.00
2992293	           Montlouis-sur-Loire	2995246	                       Amboise	    0.30
6455928	            La Ville-aux-Dames	2995246	                       Amboise	    0.41
3032267	                       Bléré	2995246	                       Amboise	    0.24
2969947	                       Véretz	2995246	                       Amboise	    0.36
2993261	                       Monnaie	2995246	                       Amboise	    0.45
6434077	                        Onzain	2995246	                       Amboise	    0.44
2967612	                       Vouvray	2995246	                       Amboise	    0.34
2978257	          Saint-Martin-le-Beau	2995246	                       Amboise	    0.21
6434063	                   Montrichard	2995246	                       Amboise	    0.42
6433095	                   Rochecorbon	2995246	                       Amboise	    0.43
3035547	                 Azay-sur-Cher	2995246	                       Amboise	    0.31
2969750	             Vernou-sur-Brenne	2995246	                       Amboise	    0.26
2979892	        Saint-Georges-sur-Cher	2995246	                       Amboise	    0.36
3036471	               Athée-sur-Cher	2995246	                       Amboise	    0.28
3007048	                       Larçay	2995246	                       Amboise	    0.40
2971515	                        Truyes	2995246	                       Amboise	    0.46
2988576	                Parçay-Meslay	2995246	                       Amboise	    0.45
3009732	          La Croix-en-Touraine	2995246	                       Amboise	    0.21
3024843	            Civray-de-Touraine	2995246	                       Amboise	    0.25
3023637	                       Cormery	2995246	                       Amboise	    0.49
6454057	                        Reugny	2995246	                       Amboise	    0.27
2986588	               Pocé-sur-Cisse	2995246	                       Amboise	    0.09
3018886	           Faverolles-sur-Cher	2995246	                       Amboise	    0.46
3017336	                     Francueil	2995246	                       Amboise	    0.34
2968797	                   Villedômer	2995246	                       Amboise	    0.41
3026630	                       Chargé	2995246	                       Amboise	    0.11
2998301	                       Limeray	2995246	                       Amboise	    0.17
3026976	                      Chançay	2995246	                       Amboise	    0.23
2990183	                        Noizay	2995246	                       Amboise	    0.17
3025094	           Chissay-en-Touraine	2995246	                       Amboise	    0.35
3025876	            Chaumont-sur-Loire	2995246	                       Amboise	    0.43
3028824	                        Cangey	2995246	                       Amboise	    0.21
3016269	         Saint-Ouen-les-Vignes	2995246	                       Amboise	    0.16
6430921	                   Vernouillet	6430921	                   Vernouillet	    0.00
6612441	          Saint-Rémy-sur-Avre	6430921	                   Vernouillet	    0.24
2990273	                 Nogent-le-Roi	6430921	                   Vernouillet	    0.37
6430881	    Saint-Lubin-des-Joncherets	6430921	                   Vernouillet	    0.33
3037673	                          Anet	6430921	                   Vernouillet	    0.40
3026231	     Châteauneuf-en-Thymerais	6430921	                   Vernouillet	    0.45
3038744	                      Abondant	6430921	                   Vernouillet	    0.23
3029705	                           Bû	6430921	                   Vernouillet	    0.32
6613254	                      Chérisy	6430921	                   Vernouillet	    0.13
6612443	                 Sorel-Moussel	6430921	                   Vernouillet	    0.34
3025976	                       Chaudon	6430921	                   Vernouillet	    0.30
6430929	            Villemeux-sur-Eure	6430921	                   Vernouillet	    0.23
2997084	                         Luray	6430921	                   Vernouillet	    0.07
2971810	                        Tréon	6430921	                   Vernouillet	    0.14
6430706	                      Coulombs	6430921	                   Vernouillet	    0.39
2989001	                        Oulins	6430921	                   Vernouillet	    0.45
3010094	         La Chaussée-d’Ivry	6430921	                   Vernouillet	    0.50
2975740	                       Saussay	6430921	                   Vernouillet	    0.39
2980568	         Sainte-Gemme-Moronval	6430921	                   Vernouillet	    0.11
2969628	               Vert-en-Drouais	6430921	                   Vernouillet	    0.16
6430803	         Mézières-en-Drouais	6430921	                   Vernouillet	    0.12
6448666	           Chambray-lès-Tours	6448666	           Chambray-lès-Tours	    0.00
2969102	                      Issoudun	2969102	                      Issoudun	    0.00
6432956	                       Reuilly	2969102	                      Issoudun	    0.39
