NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
2,6529563,"Orléans",282828,472.32276,339.3936,709.89828,0,755.15076,1.8666648,1.41414,0.8767668,0.0848484
2,2972191,"Tours",135787,226.76429,162.9444,340.82537,0,362.55129,0.8961942,0.678935,0.4209397,0.0407361
2,3031005,"Bourges",114157,190.64219,136.9884,286.53407,0,304.79919,0.7534362,0.570785,0.3538867,0.0342471
2,3032213,"Blois",46086,76.96362,55.3032,115.67586,0,123.04962,0.3041676,0.23043,0.1428666,0.0138258
2,3026204,"Châteauroux",43741,73.04747,52.4892,109.78991,0,116.78847,0.2886906,0.218705,0.1355971,0.0131223
2,3026467,"Chartres",38578,64.42526,46.2936,96.83078,0,103.00326,0.2546148,0.19289,0.1195918,0.0115734
2,3020810,"Dreux",31044,51.84348,37.2528,77.92044,0,82.88748,0.2048904,0.15522,0.0962364,0.0093132
2,2969257,"Vierzon",40348,67.38116,48.4176,101.27348,0,107.72916,0.2662968,0.20174,0.1250788,0.0121044
2,2989611,"Olivet",37271,62.24257,44.7252,93.55021,0,99.51357,0.2459886,0.186355,0.1155401,0.0111813
2,2970110,"Vendôme",22371,37.35957,26.8452,56.15121,0,59.73057,0.1476486,0.111855,0.0693501,0.0067113
2,6433106,"Saint-Cyr-sur-Loire",18013,30.08171,21.6156,45.21263,0,48.09471,0.1188858,0.090065,0.0558403,0.0054039
2,2969779,"Montargis",69457,115.99319,83.3484,174.33707,0,185.45019,0.4584162,0.347285,0.2153167,0.0208371
2,3016097,"Gien",21291,35.55597,25.5492,53.44041,0,56.84697,0.1405206,0.106455,0.0660021,0.0063873
2,3005811,"Amilly",18946,31.63982,22.7352,47.55446,0,50.58582,0.1250436,0.09473,0.0587326,0.0056838
2,3026285,"Châteaudun",25083,41.88861,30.0996,62.95833,0,66.97161,0.1655478,0.125415,0.0777573,0.0075249
2,2995246,"Amboise",131091,218.92197,157.3092,329.03841,0,350.01297,0.8652006,0.655455,0.4063821,0.0393273
2,6430921,"Vernouillet",54073,90.30191,64.8876,135.72323,0,144.37491,0.3568818,0.270365,0.1676263,0.0162219
2,6448666,"Chambray-lès-Tours",11738,19.60246,14.0856,29.46238,0,31.34046,0.0774708,0.05869,0.0363878,0.0035214
2,2969102,"Issoudun",16825,28.09775,20.19,42.23075,0,44.92275,0.111045,0.084125,0.0521575,0.0050475
2,2996645,"Mainvilliers",31017,51.79839,37.2204,77.85267,0,82.81539,0.2047122,0.155085,0.0961527,0.0093051
2,3010265,"La Chapelle-Saint-Mesmin",10205,17.04235,12.246,25.61455,0,27.24735,0.067353,0.051025,0.0316355,0.0030615
2,2990272,"Nogent-le-Rotrou",16000,26.72,19.2,40.16,0,42.72,0.1056,0.08,0.0496,0.0048
2,8290211,"Saint-Doulchard",9549,15.94683,11.4588,23.96799,0,25.49583,0.0630234,0.047745,0.0296019,0.0028647
2,2981837,"Saint-Amand-Montrond",9531,15.91677,11.4372,23.92281,0,25.44777,0.0629046,0.047655,0.0295461,0.0028593
