NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
3	6529563	Orléans	282828.00	562.83	2539.80	709.90	0.00	514.75	5.63	4.75	4.41	2.88
3	2972191	Tours	135787.00	270.22	1219.37	340.83	0.00	247.13	2.70	2.28	2.12	1.39
3	3031005	Bourges	114157.00	227.17	1025.13	286.53	0.00	207.77	2.27	1.92	1.78	1.16
3	3032213	Blois	46086.00	91.71	413.85	115.68	0.00	83.88	0.92	0.77	0.72	0.47
3	3026204	Châteauroux	43741.00	87.04	392.79	109.79	0.00	79.61	0.87	0.73	0.68	0.45
3	3026467	Chartres	38578.00	76.77	346.43	96.83	0.00	70.21	0.77	0.65	0.60	0.39
3	3020810	Dreux	31044.00	61.78	278.78	77.92	0.00	56.50	0.62	0.52	0.48	0.32
3	2969257	Vierzon	40348.00	80.29	362.33	101.27	0.00	73.43	0.80	0.68	0.63	0.41
3	2989611	Olivet	37271.00	74.17	334.69	93.55	0.00	67.83	0.74	0.63	0.58	0.38
3	2970110	Vendôme	22371.00	44.52	200.89	56.15	0.00	40.72	0.45	0.38	0.35	0.23
3	6433106	Saint-Cyr-sur-Loire	18013.00	35.85	161.76	45.21	0.00	32.78	0.36	0.30	0.28	0.18
3	2969779	Montargis	69457.00	138.22	623.72	174.34	0.00	126.41	1.38	1.17	1.08	0.71
3	3016097	Gien	21291.00	42.37	191.19	53.44	0.00	38.75	0.42	0.36	0.33	0.22
3	3005811	Amilly	18946.00	37.70	170.14	47.55	0.00	34.48	0.38	0.32	0.30	0.19
3	3026285	Châteaudun	25083.00	49.92	225.25	62.96	0.00	45.65	0.50	0.42	0.39	0.26
3	2995246	Amboise	131091.00	260.87	1177.20	329.04	0.00	238.59	2.61	2.20	2.05	1.34
3	6430921	Vernouillet	54073.00	107.61	485.58	135.72	0.00	98.41	1.08	0.91	0.84	0.55
3	6448666	Chambray-lès-Tours	11738.00	23.36	105.41	29.46	0.00	21.36	0.23	0.20	0.18	0.12
3	2969102	Issoudun	16825.00	33.48	151.09	42.23	0.00	30.62	0.33	0.28	0.26	0.17
