NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP_ATENDIDA,ATEND_FTE
1,6529563,"Orléans",1,"Physicians",282828,115.9595
1,6529563,"Orléans",2,"Nurses",282828,715.5548
1,6529563,"Orléans",3,"OtherCadres",282828,353.535
1,6529563,"Orléans",4,"CommunityBased",282828,1380.2006
1,6529563,"Orléans",5,"Beds",282828,0
1,6529563,"Orléans",6,"CTScanner",282828,0
1,6529563,"Orléans",7,"MRIUnit",282828,0
1,6529563,"Orléans",8,"Mammography",282828,0
1,6529563,"Orléans",9,"Radiotherapy",282828,0
1,2972191,"Tours",1,"Physicians",135787,55.6727
1,2972191,"Tours",2,"Nurses",135787,343.5411
1,2972191,"Tours",3,"OtherCadres",135787,169.7337
1,2972191,"Tours",4,"CommunityBased",135787,662.6406
1,2972191,"Tours",5,"Beds",135787,0
1,2972191,"Tours",6,"CTScanner",135787,0
1,2972191,"Tours",7,"MRIUnit",135787,0
1,2972191,"Tours",8,"Mammography",135787,0
1,2972191,"Tours",9,"Radiotherapy",135787,0
1,3031005,"Bourges",1,"Physicians",114157,46.8044
1,3031005,"Bourges",2,"Nurses",114157,288.8172
1,3031005,"Bourges",3,"OtherCadres",114157,142.6968
1,3031005,"Bourges",4,"CommunityBased",114157,557.086
1,3031005,"Bourges",5,"Beds",114157,0
1,3031005,"Bourges",6,"CTScanner",114157,0
1,3031005,"Bourges",7,"MRIUnit",114157,0
1,3031005,"Bourges",8,"Mammography",114157,0
1,3031005,"Bourges",9,"Radiotherapy",114157,0
1,3032213,"Blois",1,"Physicians",46086,18.8953
1,3032213,"Blois",2,"Nurses",46086,116.5976
1,3032213,"Blois",3,"OtherCadres",46086,57.6075
1,3032213,"Blois",4,"CommunityBased",46086,224.8997
1,3032213,"Blois",5,"Beds",46086,0
1,3032213,"Blois",6,"CTScanner",46086,0
1,3032213,"Blois",7,"MRIUnit",46086,0
1,3032213,"Blois",8,"Mammography",46086,0
1,3032213,"Blois",9,"Radiotherapy",46086,0
1,3026204,"Châteauroux",1,"Physicians",43741,17.9338
1,3026204,"Châteauroux",2,"Nurses",43741,110.6647
1,3026204,"Châteauroux",3,"OtherCadres",43741,54.6763
1,3026204,"Châteauroux",4,"CommunityBased",43741,213.4561
1,3026204,"Châteauroux",5,"Beds",43741,0
1,3026204,"Châteauroux",6,"CTScanner",43741,0
1,3026204,"Châteauroux",7,"MRIUnit",43741,0
1,3026204,"Châteauroux",8,"Mammography",43741,0
1,3026204,"Châteauroux",9,"Radiotherapy",43741,0
1,3026467,"Chartres",1,"Physicians",38578,15.817
1,3026467,"Chartres",2,"Nurses",38578,97.6023
1,3026467,"Chartres",3,"OtherCadres",38578,48.2225
1,3026467,"Chartres",4,"CommunityBased",38578,188.2606
1,3026467,"Chartres",5,"Beds",38578,0
1,3026467,"Chartres",6,"CTScanner",38578,0
1,3026467,"Chartres",7,"MRIUnit",38578,0
1,3026467,"Chartres",8,"Mammography",38578,0
1,3026467,"Chartres",9,"Radiotherapy",38578,0
1,3020810,"Dreux",1,"Physicians",31044,12.728
1,3020810,"Dreux",2,"Nurses",31044,78.5413
1,3020810,"Dreux",3,"OtherCadres",31044,38.805
1,3020810,"Dreux",4,"CommunityBased",31044,151.4947
1,3020810,"Dreux",5,"Beds",31044,0
1,3020810,"Dreux",6,"CTScanner",31044,0
1,3020810,"Dreux",7,"MRIUnit",31044,0
1,3020810,"Dreux",8,"Mammography",31044,0
1,3020810,"Dreux",9,"Radiotherapy",31044,0
1,2969257,"Vierzon",1,"Physicians",39010,15.994
1,2969257,"Vierzon",2,"Nurses",39010,98.6951
1,2969257,"Vierzon",3,"OtherCadres",39010,48.7627
1,2969257,"Vierzon",4,"CommunityBased",39010,190.3687
1,2969257,"Vierzon",5,"Beds",39010,0
