original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,postcode,suburb,district,city,state_code,county,state,country,country_code,attribution,attribution_license,attribution_url
"-0,327218","45,695028",0.0776672493114195,"59 Rue d’Angoulême, 16100 Cognac, France",45.695028,-0.327219,"-0,32721845,695028",,59,Rue d’Angoulême,16100,,Merpins,Cognac,,Charente,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-0,131829","45,47674",4.81915438557973,"Route de Saint-Bonnet, 16300 Barbezieux-Saint-Hilaire, France",45.4767147,-0.131759,"-0,13182945,47674",Route de Saint-Bonnet,,Route de Saint-Bonnet,16300,,,Barbezieux-Saint-Hilaire,,Charente,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"0,671166","46,016918",46.7481525942121,"2 Rue Couvent Des Clarisses, 16500 Saint-Germain-De-Confolens, France",46.016767,0.670601,"0,67116646,016918",,2,Rue Couvent Des Clarisses,16500,Confolens,Saint-Germain-De-Confolens,Saint-Germain-De-Confolens,,Charente,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"0,1955","46,028825",0.111195080742881,"15 Rue De l’Hôpital, 16700 Ruffec, France",46.028826,0.1955,"0,195546,028825",,15,Rue De l’Hôpital,16700,,Ruffec,Ruffec,,Charente,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"0,100166","45,614379",0,"1 Route De Bordeaux, 16400 La Couronne, France",45.614379,0.100166,"0,10016645,614379",,1,Route De Bordeaux,16400,,La Couronne,La Couronne,,Charente,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-0,059088","45,598816",2.60597643101593,"Chemin des Cheneveaux, 16120 Châteauneuf-sur-Charente, France",45.5988504,-0.0590111,"-0,05908845,598816",Chemin des Cheneveaux,,Chemin des Cheneveaux,16120,,,Châteauneuf-sur-Charente,,Charente,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"0,20122","45,637357",0.111195079952792,"4 Chemin De Fregeneuil, 16800 Soyaux, France",45.637358,0.20122,"0,2012245,637357",,4,Chemin De Fregeneuil,16800,,Soyaux,Soyaux,,Charente,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"0,097208","45,616064",5.89207710075153,"6 Route Du Grand Maine, 16400 La Couronne, France",45.616109,0.097168,"0,09720845,616064",,6,Route Du Grand Maine,16400,,La Couronne,La Couronne,,Charente,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-0,178163","45,68591",0.111195079952792,"1 Rue Des Champagneres, 16200 Jarnac, France",45.685911,-0.178163,"-0,17816345,68591",,1,Rue Des Champagneres,16200,,Jarnac,Jarnac,,Charente,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"0,047293","45,583495",4.99109193150165,"Église Saint-Cybard, Rue Froide, 16440 Roullet-Saint-Estèphe, France",45.58337135,0.0471334104700784,"0,04729345,583495",Église Saint-Cybard,,Rue Froide,16440,Roullet-Saint-Estèphe,Roullet-Saint-Estephe,Roullet-Saint-Estèphe,,Charente,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
