original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,postcode,district,state_code,city,county,state,country,country_code,attribution,attribution_license,attribution_url
"1,39548","43,566414",0.973204661751863,"3 Rue Du Doyen Lefebvre, 31100 Toulouse, France",43.566415,1.395468,"1,3954843,566414",,3,Rue Du Doyen Lefebvre,31100,Toulouse,,Toulouse,Haute-Garonne,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,5365653","43,5486224",28.9295951151376,"1 Rond Point De Gameville, 31650 Saint-Orens-de-Gameville, France",43.548843,1.536375,"1,536565343,5486224",,1,Rond Point De Gameville,31650,Saint-Orens-De-Gameville,,Saint-Orens-de-Gameville,Haute-Garonne,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,5111769","43,6496258",0.963353437834575,"31240 Saint-Jean, France",43.6496496,1.5111433,"1,511176943,6496258",,,,31240,,,Saint-Jean,Haute-Garonne,Occitania,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,343072","43,520078",42.685970914213,"M12, M13, M14, M15, M16, 18 Rue Goudouli, 31270 Villeneuve-Tolosane, France",43.5203363,1.3426171304044,"1,34307243,520078","M12, M13, M14, M15, M16",18,Rue Goudouli,31270,Villeneuve-Tolosane,,Villeneuve-Tolosane,Haute-Garonne,Occitania,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,568637","43,808405",4.54482617883722,"Bessières Le Triangle, Chemin des Prieurs, 31660 Bessières, France",43.8083666,1.5686176,"1,56863743,808405",Bessières Le Triangle,,Chemin des Prieurs,31660,Bessieres,,Bessières,Haute-Garonne,Occitania,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"0,733767","43,115592",0.111195079952792,"21 Boulevard d’Encore, 31800 Saint-Gaudens, France",43.115593,0.733767,"0,73376743,115592",,21,Boulevard d’Encore,31800,Saint-Gaudens,,Saint-Gaudens,Haute-Garonne,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,724042","43,403347",3.20720670918794,"Route de Revel, 31290 Villefranche-de-Lauragais, France",43.4029337,1.7235479,"1,72404243,403347",Route de Revel,,Route de Revel,31290,Faubourg de Sébastopol,,Villefranche-de-Lauragais,Haute-Garonne,Occitania,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,229314","43,305547",1.20807928671861,"Centre d'auto-dialyse de Carbonne, 15 Rue Claude Nougaro, 31390 Carbonne, France",43.30555725,1.22920071613222,"1,22931443,305547",Centre d'auto-dialyse de Carbonne,15,Rue Claude Nougaro,31390,Carbonne,,Carbonne,Haute-Garonne,Occitania,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,457777","43,620106",1.02194700238279,"4 Rue Du Docteur Ferdinand Gendre, 31500 Toulouse, France",43.620103,1.457789,"1,45777743,620106",,4,Rue Du Docteur Ferdinand Gendre,31500,Toulouse,,Toulouse,Haute-Garonne,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,383619","43,645581",3.04177174340229,"Rue des Ferronniers, 31700 Blagnac, France",43.6451602,1.3837733,"1,38361943,645581",Rue des Ferronniers,,Rue des Ferronniers,31700,,,Blagnac,Haute-Garonne,Occitania,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,400026","43,59022",0.976460485637273,"80 Chemin Des Courses, 31100 Toulouse, France",43.590228,1.400021,"1,40002643,59022",,80,Chemin Des Courses,31100,Toulouse,,Toulouse,Haute-Garonne,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,243111","43,612934",19.8628749990324,"25 Place Des Cigareaux, 31490 Brax, France",43.613019,1.242894,"1,24311143,612934",,25,Place Des Cigareaux,31490,Brax,,Brax,Haute-Garonne,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,422989","43,555752",0.992245585172445,"1 Chemin Des Silos, 31100 Toulouse, France",43.55575,1.423001,"1,42298943,555752",,1,Chemin Des Silos,31100,Toulouse,,Toulouse,Haute-Garonne,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,339327","43,465253",0.111195080742881,"22 Avenue Bernard Iv, 31600 Muret, France",43.465254,1.339327,"1,33932743,465253",,22,Avenue Bernard Iv,31600,Muret,,Muret,Haute-Garonne,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"0,706414","43,115046",3.68895814824922,"Avenue de Saint-Plancard, 31800 Saint-Gaudens, France",43.1142027,0.709846,"0,70641443,115046",Avenue de Saint-Plancard,,Avenue de Saint-Plancard,31800,,,Saint-Gaudens,Haute-Garonne,Occitania,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,388373","43,56626",0.973207133252889,"46 Avenue Du Général De Croutte, 31100 Toulouse, France",43.566259,1.388385,"1,38837343,56626",,46,Avenue Du Général De Croutte,31100,Toulouse,,Toulouse,Haute-Garonne,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,504344","43,576757",1.0459610050486,"40 Chemin De Ribaute, 31400 Toulouse, France",43.576763,1.504354,"1,50434443,576757",,40,Chemin De Ribaute,31400,Toulouse,,Toulouse,Haute-Garonne,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"0,595668","42,784881",3.79024780163255,"5 Cours Des Quinconces, 31110 Bagnères-de-Luchon, France",42.784849,0.595684,"0,59566842,784881",,5,Cours Des Quinconces,31110,Bagneres-De-Luchon,,Bagnères-de-Luchon,Haute-Garonne,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,993706","43,452905",24.7329673111653,"16 Rue Clémence Isaure, 31250 Revel, France",43.452725,1.993526,"1,99370643,452905",,16,Rue Clémence Isaure,31250,Revel,,Revel,Haute-Garonne,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"0,576878","43,630751",0,"Centre hospitalier d'Auch, Avenue du Corps Franc Pommiès, 32000 Auch, France",43.63101945,0.575483534978931,"0,57687843,630751",Centre hospitalier d'Auch,,Avenue du Corps Franc Pommiès,32000,,,Auch,Gers,Occitania,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"0,593249","43,645107",0.137254484745728,"10 Rue Michelet, 32000 Auch, France",43.645108,0.59325,"0,59324943,645107",,10,Rue Michelet,32000,Auch,,Auch,Gers,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"0,377244","43,957042",4.66230197332235,"Avenue du Maréchal Joffre, 32100 Condom, France",43.9567704,0.3783992,"0,37724443,957042",Avenue du Maréchal Joffre,,Avenue du Maréchal Joffre,32100,Tourret,,Condom,Gers,Occitania,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"0,661648","43,856505",0.111195080742881,"1 Rue Saint Laurent, 32500 Fleurance, France",43.856506,0.661648,"0,66164843,856505",,1,Rue Saint Laurent,32500,Fleurance,,Fleurance,Gers,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"0,596074","43,575213",45.5044001269354,"1468 Chemin Du Village, 32550 Lasseube-Propre, France",43.57544,0.596544,"0,59607443,575213",,1468,Chemin Du Village,32550,Lasseube-Propre,,Lasseube-Propre,Gers,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"0,912225","43,477508",31.3124217497742,"6 Chemin Des Religieuses, 32220 Lombez, France",43.477232,0.912302,"0,91222543,477508",,6,Chemin Des Religieuses,32220,Lombez,,Lombez,Gers,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"0,875334","43,729174",0.111195079952792,"4 Rue Du Buguet, 32120 Mauvezin, France",43.729175,0.875334,"0,87533443,729174",,4,Rue Du Buguet,32120,Mauvezin,,Mauvezin,Gers,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"0,402944","43,510194",2.14341162819788,"16 Avenue De Chanzy, 32300 Mirande, France",43.51019,0.402918,"0,40294443,510194",,16,Avenue De Chanzy,32300,Mirande,,Mirande,Gers,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"-0,033929","43,758319",6.54420633561579,"48 Rue De La La République, 32110 Nogaro, France",43.758264,-0.0339,"-0,03392943,758319",,48,Rue De La La République,32110,Nogaro,,Nogaro,Gers,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"0,226932","43,800099",2.82793755275296,"Place de l'Armagnac, 32190 Lannepax, France",43.8002904,0.226730614690383,"0,22693243,800099",Place de l'Armagnac,,Place de l'Armagnac,32190,Lannepax,,Lannepax,Gers,Occitania,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-0,029958","43,753286",37.2526938985734,"8 Rue De La Tuilerie, 32110 Nogaro, France",43.753073,-0.030316,"-0,02995843,753286",,8,Rue De La Tuilerie,32110,Nogaro,,Nogaro,Gers,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"0,402944","43,510194",2.14341162819788,"16 Avenue De Chanzy, 32300 Mirande, France",43.51019,0.402918,"0,40294443,510194",,16,Avenue De Chanzy,32300,Mirande,,Mirande,Gers,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"0,377244","43,957042",4.66230197332235,"Avenue du Maréchal Joffre, 32100 Condom, France",43.9567704,0.3783992,"0,37724443,957042",Avenue du Maréchal Joffre,,Avenue du Maréchal Joffre,32100,Tourret,,Condom,Gers,Occitania,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
