original_lon,original_lat,distance,formatted,lat,lon,KEY,housenumber,name,street,suburb,district,postcode,city,state_code,county,state,country,country_code,attribution,attribution_license,attribution_url
"1,7652","48,920134",4.81232387987265,"Rue des Coutures, 78930 Goussonville, France",48.9208273,1.7666864,"1,765248,920134",,Rue des Coutures,Rue des Coutures,,,78930,Goussonville,,Yvelines,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,111181","48,86648",4.0291668038485,"1 Chemin Du Coeur Volant, 78430 Louveciennes, France",48.866478,2.111236,"2,11118148,86648",1,,Chemin Du Coeur Volant,,Louveciennes,78430,Louveciennes,,Yvelines,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,71668","48,984012",0,"Polyclinique mantaise, 21 Boulevard Victor Duhamel, 78200 Mantes-la-Jolie, France",48.984025,1.716717,"1,7166848,984012",21,Polyclinique mantaise,Boulevard Victor Duhamel,,,78200,Mantes-la-Jolie,,Yvelines,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,037402","48,930488",2.23544019082367,"1 Rue Basset, 78300 Poissy, France",48.930469,2.037412,"2,03740248,930488",1,,Rue Basset,L'Abbaye,,78300,Poissy,,Yvelines,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,1613618999","48,9429629",0,"24 Avenue Maurice Berteaux, 78500 Sartrouville, France",48.9428843,2.16124511003022,"2,161361899948,9429629",24,,Avenue Maurice Berteaux,La Vaudoire,,78500,Sartrouville,,Yvelines,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,138154","48,79466",4.57629300179129,"7 bis Rue de la Porte de Buc, 78000 Versailles, France",48.7946239,2.138124,"2,13815448,79466",7 bis,,Rue de la Porte de Buc,Chantiers,Versailles,78000,Versailles,,Yvelines,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,11996","48,830389",0,"21 Rue Moxouris, 78150 Le Chesnay, France",48.830389,2.11996,"2,1199648,830389",21,,Rue Moxouris,,Le Chesnay,78150,Le Chesnay,,Yvelines,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,105945","48,883865",6.40314165141622,"33 Avenue De Saint-Germain, 78560 Le Port-Marly, France",48.883816,2.105991,"2,10594548,883865",33,,Avenue De Saint-Germain,,Le Port-Marly,78560,Le Port-Marly,,Yvelines,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,9907023","48,7783026",6.03472447579606,"Rue Castiglione del Lago, 78190 Trappes, France",48.778356,1.990717,"1,990702348,7783026",,,Rue Castiglione del Lago,,Trappes,78190,Trappes,,Yvelines,Ile-of-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,845434","48,956302",0.111195079952792,"32 Rue De Montgarde, 78410 Aubergenville, France",48.956303,1.845434,"1,84543448,956302",32,,Rue De Montgarde,,Aubergenville,78410,Aubergenville,,Yvelines,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,133923","48,896365",0.0731022090893509,"40 Avenue Horace Vernet, 78110 Le Vésinet, France",48.896365,2.133924,"2,13392348,896365",40,,Avenue Horace Vernet,,Le Vesinet,78110,Le Vésinet,,Yvelines,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,871713","48,650764",43.4968985631331,"72 Rue De l’Etang De La Tour, 78120 Rambouillet, France",48.650595,1.871179,"1,87171348,650764",72,,Rue De l’Etang De La Tour,,Vieille-Eglise-En-Yvelines,78120,Rambouillet,,Yvelines,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,069079","48,707596",10.9516979401397,"1 Rue Lamartine, 78470 Saint-Rémy-lès-Chevreuse, France",48.707638,2.068944,"2,06907948,707596",1,,Rue Lamartine,,Saint-Remy-Les-Chevreuse,78470,Saint-Rémy-lès-Chevreuse,,Yvelines,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,1431735","48,7592337",0,"9 Chemin des Côtes Montbron, 78350 Les Loges-en-Josas, France",48.7592337,2.1431735,"2,143173548,7592337",9,,Chemin des Côtes Montbron,,,78350,Les Loges-en-Josas,,Yvelines,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
