original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,suburb,postcode,state_code,district,city,county,state,country,country_code,attribution,attribution_license,attribution_url
"2,42233","48,87912",0.111195079952792,"41 Avenue Du Maréchal Juin, 93260 Les Lilas, France",48.879121,2.42233,"2,4223348,87912",,41,Avenue Du Maréchal Juin,,93260,,Les Lilas,Les Lilas,Seine-Saint-Denis,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,5251267999","48,9158291",0.0183697569617711,"64 Avenue De Sully, 93190 Livry-Gargan, France",48.915829,2.525127,"2,525126799948,9158291",,64,Avenue De Sully,,93190,,Livry-Gargan,Livry-Gargan,Seine-Saint-Denis,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,5233647","48,918317599",0,"Clinique Vauban, Avenue Vauban, 93190 Livry-Gargan, France",48.9184072,2.52307155431713,"2,523364748,918317599",Clinique Vauban,,Avenue Vauban,Danton,93190,,,Livry-Gargan,Seine-Saint-Denis,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,3552027","48,9296687",0,"Clinique Porte de Paris, Rue Bobby Sands, 93200 Saint-Denis, France",48.9296897,2.35533030801368,"2,355202748,9296687",Clinique Porte de Paris,,Rue Bobby Sands,Grand Centre Ville,93200,,,Saint-Denis,Seine-Saint-Denis,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,367401","48,955076",1.62267485107692,"Rue d'Amiens, 93240 Stains, France",48.9541784,2.3678467,"2,36740148,955076",Rue d'Amiens,,Rue d'Amiens,,93240,,Clos-Saint-Lazare,Stains,Seine-Saint-Denis,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,334449","48,916583",0,"23 Rue du Landy, 93200 Saint-Ouen-sur-Seine, France",48.916583,2.334449,"2,33444948,916583",,23,Rue du Landy,Pleyel - Confluence,93200,,Vieux Saint-Ouen,Saint-Ouen-sur-Seine,Seine-Saint-Denis,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,572791","48,940967",0.111195079952792,"38 Rue De Flandre, 93290 Tremblay-en-France, France",48.940968,2.572791,"2,57279148,940967",,38,Rue De Flandre,,93290,,Tremblay-en-France,Tremblay-en-France,Seine-Saint-Denis,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,3463165","48,940878299",4.35624747372911,"Centre Cardiologique du Nord, Rue Maurice Thorez, 93200 Saint-Denis, France",48.941085,2.34690765933693,"2,346316548,940878299",Centre Cardiologique du Nord,,Rue Maurice Thorez,Delaunay - Belleville - Semard,93200,,Delaunay - Belleville,Saint-Denis,Seine-Saint-Denis,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,45686","48,887587",2.34576157548898,"1 Boulevard Roger Salengro, 93130 Noisy-le-Sec, France",48.887601,2.456836,"2,4568648,887587",,1,Boulevard Roger Salengro,,93130,,Noisy-le-Sec,Noisy-le-Sec,Seine-Saint-Denis,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,318808","48,951143",1.58491289482403,"93800 Épinay-sur-Seine, France",48.9511665,2.3185118,"2,31880848,951143",,,,Les Mobiles-La Briche-Les Béatus-Blumenthal,93800,,,Épinay-sur-Seine,Seine-Saint-Denis,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
