n,id,cert/cot,cert/clr,cert/v,s,t,geo/0,geo/1
CH DE FLEYRIAT,010000024,B,2,4,1,3,5.228133,46.204833
CH BUGEY SUD,010000032,B,2,4,1,2,5.684976,45.761208
CH DE TREVOUX - MONTPENSIER,010000065,A,1,4,1,2,4.772192,45.940741
CH DU PAYS DE GEX,010000081,A,1,4,1,2,6.057731,46.322337
CH DE MEXIMIEUX,010000099,B,2,4,1,2,5.194579,45.906191
CH DE PONT DE VAUX,010000107,A,1,4,1,2,4.947451,46.431885
CHI AIN VAL DE SAONE - PONT VEYLE,010000115,B,2,4,1,2,4.890054,46.263472
CHI AIN VAL DE SAONE - THOISSEY,010000131,B,2,4,1,2,4.804417,46.172133
CH PUBLIC HAUTEVILLE - UNITE ESPERANCE,010000180,A,1,4,1,2,5.599563,45.978899
CH PUBLIC HAUTEVILLE - UNITE INTERDEPT,010000198,A,1,4,1,2,5.599563,45.978899
CH PUBLIC HAUTEVILLE - UNITE ALBARINE,010000214,A,1,4,1,2,5.599563,45.978899
CENTRE PSYCHOTHERAPIQUE DE L'AIN,010000495,B,2,4,3,3,5.226838,46.216428
CLINIQUE DE READAPTATION LES ARBELLES,010002129,B,2,4,2,2,5.231909,46.194207
CH DU HAUT BUGEY - GEOVREISSET,010005239,B,2,4,1,2,5.607031,45.727813
HAD DE L'HOPITAL PRIVE D'AMBERIEU,010005379,B,2,4,2,2,5.357838,45.958143
AURAL UNITE DIALYSE CH HAUT BUGEY,010006526,B,2,4,3,1,5.630206,46.259835
CLINIQUE AMBULATOIRE CENDANEG,010007300,A,1,4,2,2,6.086062,46.248454
SSR HOTEL DIEU DE FLEYRIAT,010009314,B,2,4,1,2,5.233912,46.200719
USLD EMILE PELICAND,010009702,B,2,4,1,2,5.2201528,46.2041143
CLINIQUE DE CHATILLON,010010171,,,,2,2,5.803591,46.115464
CLINIQUE CONVERT,010780195,A,1,4,2,2,5.253603,46.211525
HOPITAL PRIVE D'AMBERIEU,010780203,B,2,4,2,2,5.3505366315,45.980488897
CRF L'ORCET,010780252,A,1,4,3,2,5.606747,45.971934
CENTRE DE REEDUCATION MANGINI,010780278,A,1,4,3,2,5.6146526999,45.9739326
NEPHROCARE CH BELLEY,010780294,A,1,4,2,2,5.684976,45.761208
CENTRE SSR READAPT ADOLESCENTS CHANAY,010780476,A,1,4,3,2,5.785986,46.005268
CRF ROMANS-FERRARI,010780492,B,2,4,3,2,4.947957,45.821974
CLINIQUE SSR CHATEAU DE GLETEINS,010780708,B,2,4,2,2,4.757789,45.991545
CTRE DE MPR CHATEAU D'ANGEVILLE,010780799,A,1,4,3,2,6.4254109999,45.752987999
USLD CH DE NANTUA,010786259,B,2,4,1,2,5.608412,46.149242
UNITE DE DIALYSE BOURG EN BRESSE,010789006,B,2,4,3,2,5.209645,46.219243
USLD,010789576,A,1,4,1,2,4.772192,45.940741
