lat_departure,lon_departure,lat_arrival,lon_arrival
-9.82581,-66.8972,-9.82581,-66.8972
-10.9298,-69.5738,-10.9298,-69.5738
-10.566,-67.686,-10.566,-67.686
-7.62762,-72.6756,-7.62762,-72.6756
-7.73864,-72.661,-7.62762,-72.6756
-10.995,-68.7497,-11.0188,-68.7341
-11.0188,-68.7341,-11.0188,-68.7341
-8.17054,-70.351,-8.17054,-70.351
-9.43091,-71.8974,-9.43091,-71.8974
-7.61657,-72.8997,-7.61657,-72.8997
-8.83291,-69.2679,-8.83291,-69.2679
-8.93898,-72.7997,-8.93898,-72.7997
-10.2806,-67.1371,-10.2806,-67.1371
-8.26323,-72.7537,-8.26323,-72.7537
-9.81528,-67.955,-9.97499,-67.8243
-9.97499,-67.8243,-9.97499,-67.8243
-9.44652,-70.4902,-9.44652,-70.4902
-10.1497,-67.7362,-10.1497,-67.7362
-9.06596,-68.6571,-9.06596,-68.6571
-8.15697,-70.7722,-8.15697,-70.7722
-10.6516,-68.4969,-10.6516,-68.4969
-9.58138,-67.5478,-9.58138,-67.5478
-9.75487,-36.6615,-9.75487,-36.6615
-9.63348,-36.5845,-9.75487,-36.6615
-9.6178,-36.7697,-9.75487,-36.6615
-9.89859,-36.6815,-9.75487,-36.6615
-9.88404,-36.8316,-9.75487,-36.6615
-9.83291,-36.7413,-9.75487,-36.6615
-9.74098,-36.5121,-9.75487,-36.6615
-9.93043,-36.559,-9.75487,-36.6615
-9.64529,-36.4928,-9.75487,-36.6615
-9.83842,-35.9057,-9.83842,-35.9057
-9.70971,-35.8967,-9.83842,-35.9057
-9.83503,-35.9782,-9.83842,-35.9057
-9.78301,-36.0971,-9.83842,-35.9057
-9.6742,-37.133,-9.82272,-37.277
-9.82272,-37.277,-9.82272,-37.277
-9.23342,-36.0162,-9.23342,-36.0162
-9.30682,-35.9428,-9.23342,-36.0162
-9.40121,-36.9911,-9.40121,-36.9911
-9.38465,-37.0965,-9.40121,-36.9911
-9.53009,-36.992,-9.40121,-36.9911
-9.31236,-36.8696,-9.40121,-36.9911
-8.84723,-35.5685,-8.84723,-35.5685
-8.91806,-35.7214,-8.84723,-35.5685
-8.83951,-35.4591,-8.84723,-35.5685
-8.93297,-35.5669,-8.84723,-35.5685
-8.94191,-35.664,-8.84723,-35.5685
-9.5119,-36.0086,-9.41504,-36.0826
-9.3994,-36.1559,-9.41504,-36.0826
-9.41504,-36.0826,-9.41504,-36.0826
-9.36763,-36.2431,-9.41504,-36.0826
-9.39089,-36.7644,-9.39089,-36.7644
-9.53768,-36.6372,-9.39089,-36.7644
-10.2935,-36.3028,-10.2935,-36.3028
-10.406,-36.434,-10.2935,-36.3028
-9.27281,-35.7139,-9.27281,-35.7139
-9.1328,-35.7474,-9.27281,-35.7139
-9.39384,-35.8392,-9.27281,-35.7139
-8.97823,-35.9373,-8.97823,-35.9373
-9.01278,-36.0515,-8.97823,-35.9373
-10.1235,-36.6597,-10.1235,-36.6597
-10.2874,-36.5819,-10.1235,-36.6597
-10.1849,-36.8376,-10.1235,-36.6597
-9.63545,-37.2076,-9.63545,-37.2076
-9.66224,-37.0046,-9.63545,-37.2076
-10.1276,-36.1717,-10.0133,-36.0142
-10.0133,-36.0142,-10.0133,-36.0142
-9.66599,-35.735,-9.66599,-35.735
-9.56911,-35.8227,-9.66599,-35.735
-9.23045,-37.3524,-9.23045,-37.3524
-9.15884,-37.3556,-9.23045,-37.3524
-9.30742,-37.2889,-9.23045,-37.3524
-9.68489,-36.3078,-9.58353,-36.3045
-9.57047,-36.4904,-9.58353,-36.3045
