name,lat,lon
Amparo,-22.7088,-46.772,
Angatuba,-23.4917,-48.4139,
Apiaí,-24.5108,-48.8443,
Araras,-22.3572,-47.3842,
Barretos,-20.5531,-48.5698,
Barueri,-23.5057,-46.879,
Bauru,-22.3246,-49.0871,
Botucatu,-22.8837,-48.4437,
Caçapava,-23.0992,-45.7076,
Cachoeira Paulista,-22.6665,-45.0154,
Cajati,-24.7324,-48.1223,
Cajuru,-21.2749,-47.303,
Campinas,-22.9053,-47.0659,
Campos do Jordão,-22.7296,-45.5833,
Casa Branca,-21.7708,-47.0852,
Diadema,-23.6813,-46.6205,
Espírito Santo do Pinhal,-22.1909,-46.7477,
Ferraz de Vasconcelos,-23.5411,-46.371,
Franca,-20.5352,-47.4039,
Guaíra,-20.3196,-48.312,
Guarulhos,-23.4538,-46.5333,
Igarapava,-20.0407,-47.7466,
Ilhabela,-23.7785,-45.3552,
Itaí,-23.4213,-49.092,
Itapecerica da Serra,-23.7161,-46.8572,
Itapevi,-23.5488,-46.9327,
Itapira,-22.4357,-46.8224,
Itápolis,-21.5942,-48.8149,
Itaquaquecetuba,-23.4835,-46.3457,
Itararé,-24.1085,-49.3352,
Itu,-23.2544,-47.2927,
Jales,-20.2672,-50.5494,
Jaú,-22.2936,-48.5592,
Lins,-21.6718,-49.7526,
Marília,-22.2171,-49.9501,
Mogi das Cruzes,-23.5208,-46.1854,
Osasco,-23.5324,-46.7916,
Paraguaçu Paulista,-22.4114,-50.5732,
Penápolis,-21.4148,-50.0769,
Pirajuí,-21.999,-49.4608,
Praia Grande,-24.0084,-46.4121,
Presidente Prudente,-22.1207,-51.3925,
Presidente Venceslau,-21.8732,-51.8447,
Rancharia,-22.2269,-50.893,
Ribeirão Preto,-21.1699,-47.8099,
Santa Cruz do Rio Pardo,-22.8988,-49.6354,
Santa Rita do Passa Quatro,-21.7083,-47.478,
Santo André,-23.6737,-46.5432,
Santos,-23.9535,-46.335,
São Bernardo do Campo,-23.6914,-46.5646,
São Carlos,-22.0174,-47.886,
São José do Rio Preto,-20.8113,-49.3758,
São José dos Campos,-23.1896,-45.8841,
São Miguel Arcanjo,-23.8782,-47.9935,
São Paulo,-23.5329,-46.6395,
Sorocaba,-23.4969,-47.4451,
Taboão da Serra,-23.6019,-46.7526,
Taquaritinga,-21.4049,-48.5103,
Taubaté,-23.0104,-45.5593,
Tupã,-21.9335,-50.5191,
Ubatuba,-23.4332,-45.0834,
Votuporanga,-20.4237,-49.9781,
