lon,lat
-47.3916,-18.4831,
-45.4444,-19.1551,
-42.4743,-20.2996,
-42.4743,-20.2996,
-42.4743,-20.2996,
-43.1439,-20.359,
-43.1439,-20.359,
-43.1439,-20.359,
-42.3806,-17.9914,
-48.1069,-20.0576,
-40.9384,-17.0802,
-40.9384,-17.0802,
-40.9384,-17.0802,
-41.4571,-15.7431,
-41.4571,-15.7431,
-41.0746,-19.5007,
-44.6042,-21.9736,
-44.6413,-22.171,
-42.7176,-21.8797,
-42.7176,-21.8797,
-42.7176,-21.8797,
-45.9477,-21.4256,
-45.9477,-21.4256,
-40.6942,-16.1785,
-46.3878,-20.8631,
-46.3878,-20.8631,
-46.1387,-21.2488,
-43.4067,-21.0281,
-43.4067,-21.0281,
-41.7317,-19.4174,
-43.0535,-20.1098,
-46.5724,-22.0695,
-46.5724,-22.0695,
-46.5724,-22.0695,
-41.4948,-15.9688,
-44.3117,-21.7411,
-42.2641,-17.7279,
-43.7451,-21.321,
-44.2493,-19.1955,
-42.0637,-16.8523,
-48.1934,-18.6456,
-49.1847,-18.4357,
-46.1484,-19.0268,
-46.9438,-19.5902,
-45.5373,-20.2863,
-45.5373,-20.2863,
-46.1421,-21.3572,
-46.1043,-15.9187,
-41.1149,-18.0438,
-44.2655,-18.0997,
-44.8874,-21.957,
-45.9754,-20.0166,
-40.5622,-15.8783,
-43.4755,-19.9389,
-43.4755,-19.9389,
-43.7703,-21.2214,
-43.7703,-21.2214,
-43.7703,-21.2214,
-43.972,-21.1907,
-43.9266,-19.9102,
-42.4828,-19.2199,
-42.4828,-19.2199,
-42.4828,-19.2199,
-44.0275,-20.4077,
-44.0275,-20.4077,
-42.4606,-16.9567,
-42.4606,-16.9567,
-41.7432,-15.61,
-44.2008,-19.9668,
-43.7574,-21.602,
-43.056,-21.7232,
-43.056,-21.7232,
-43.056,-21.7232,
-43.056,-21.7232,
-45.4974,-18.7754,
-45.4974,-18.7754,
-45.5612,-21.0927,
-43.8104,-17.1135,
-43.8104,-17.1135,
-43.8104,-17.1135,
-45.2622,-19.7386,
-44.1885,-21.9479,
-44.1885,-21.9479,
-43.4782,-19.7054,
-43.4782,-19.7054,
-42.3165,-19.836,
-44.7537,-21.0329,
-44.7537,-21.0329,
-45.9839,-16.568,
-44.7543,-15.3231,
-46.391,-21.6412,
-43.0086,-16.8657,
-46.0081,-16.9999,
-44.4299,-16.2104,
-44.4299,-16.2104,
-42.7099,-19.0562,
-44.2007,-20.151,
-44.2007,-20.151,
-44.2007,-20.151,
-46.3491,-22.4383,
-46.4221,-15.6218,
-44.9606,-17.3656,
-47.0862,-16.0335,
-46.3919,-21.4699,
-44.4189,-19.2971,
-44.4189,-19.2971,
-44.4189,-19.2971,
-43.6704,-19.8826,
-46.3843,-21.9183,
-46.3843,-21.9183,
-46.1494,-22.7515,
-46.0572,-22.6115,
-46.0572,-22.6115,
-46.0572,-22.6115,
-46.0572,-22.6115,
-45.2896,-21.854,
-45.4004,-21.836,
-46.2381,-21.7079,
-49.4862,-19.5382,
-44.8096,-16.5028,
-45.2699,-20.8932,
-45.2699,-20.8932,
-45.2699,-20.8932,
-45.2699,-20.8932,
-45.8273,-21.1127,
-46.1725,-19.6914,
-45.7569,-21.237,
-42.6167,-20.6869,
-42.6167,-20.6869,
-49.2035,-18.7212,
-45.2765,-20.7692,
-41.9061,-20.5289,
-43.622,-20.9179,
-42.5147,-17.6888,
-42.5147,-17.6888,
-49.5706,-18.6862,
-49.5706,-18.6862,
-43.7084,-16.3265,
-46.0493,-20.6164,
-42.2683,-20.1703,
-41.7004,-17.1862,
-43.7417,-20.8707,
-43.7417,-20.8707,
-43.811,-20.9566,
-43.811,-20.9566,
-43.811,-20.9566,
-42.0313,-20.7343,
-42.0313,-20.7343,
-42.1292,-19.7868,
-42.1292,-19.7868,
-42.1292,-19.7868,
-42.1292,-19.7868,
-43.0137,-17.5255,
-45.696,-22.0424,
-45.696,-22.0424,
-45.696,-22.0424,
-40.7723,-17.6973,
-43.1382,-19.0877,
-45.2201,-21.4633,
-44.8735,-20.5575,
-45.1307,-22.1204,
-45.1307,-22.1204,
-45.1307,-22.1204,
-45.1307,-22.1204,
-46.3167,-18.991,
-46.1149,-20.9736,
-44.6336,-20.5396,
-50.6894,-19.6987,
-44.6446,-21.4898,
-47.8716,-18.5772,
-46.9201,-20.5831,
-46.9201,-20.5831,
-44.4729,-21.1316,
-42.6896,-21.3924,
-42.6896,-21.3924,
-42.6896,-21.3924,
-42.6896,-21.3924,
-42.6896,-21.3924,
-43.4939,-20.6901,
-43.4939,-20.6901,
-42.9627,-15.3616,
-44.9319,-21.9753,
-44.9319,-21.9753,
-45.712,-19.1458,
-41.3143,-18.7612,
-49.2014,-18.5852,
-43.215,-21.6733,
-42.5392,-17.0881,
-45.6116,-15.3014,
-43.0617,-21.9996,
-43.3629,-20.9026,
-44.2061,-17.082,
-44.7673,-20.4437,
-42.8352,-18.2311,
-42.8352,-18.2311,
-42.8352,-18.2311,
-49.0789,-19.6973,
-41.7945,-16.2963,
-46.2049,-21.096,
-45.4562,-22.1576,
-45.4562,-22.1576,
-48.3839,-19.9172,
-43.4221,-19.0344,
-45.087,-21.8778,
-44.4181,-15.2892,
-43.851,-20.4958,
-43.6767,-18.8021,
-47.5492,-19.9312,
-43.7846,-20.6634,
-41.4736,-19.1789,
-41.4736,-19.1789,
-44.0539,-19.9321,
-44.0539,-19.9321,
-44.3635,-16.6841,
-44.3635,-16.6841,
-44.4542,-18.369,
-47.1933,-18.4734,
-42.6276,-19.5179,
-42.184,-16.6148,
-43.256,-21.5898,
-43.256,-21.5898,
-43.256,-21.5898,
-42.3988,-19.8361,
-42.3988,-19.8361,
-45.5167,-20.8733,
-45.2673,-22.208,
-46.6669,-18.944,
-44.8067,-21.84,
-44.4303,-18.7527,
-44.4303,-18.7527,
-46.8456,-20.3468,
-47.7841,-19.9721,
-42.9618,-21.46,
-42.9618,-21.46,
-43.6031,-18.2413,
-42.7701,-19.8433,
-42.1438,-20.6134,
-41.4781,-18.7755,
-41.4781,-18.7755,
-44.8912,-20.1446,
-44.8912,-20.1446,
-44.8912,-20.1446,
-44.8912,-20.1446,
-46.1904,-21.5092,
-40.9997,-15.7254,
-46.2597,-16.652,
-43.2544,-18.961,
-42.9627,-20.1627,
-42.9627,-20.1627,
-42.9254,-19.0516,
-45.5927,-19.4628,
-45.5927,-19.4628,
-45.9007,-20.2868,
-47.5993,-18.4338,
-45.5691,-21.6088,
-42.2306,-19.6218,
-42.2306,-19.6218,
-44.0654,-20.6706,
-42.6544,-20.8403,
-42.6544,-20.8403,
-44.3065,-19.764,
-41.9119,-20.6508,
-41.9119,-20.6508,
-42.809,-14.9249,
-46.0191,-22.4577,
-46.0191,-22.4577,
-47.6956,-18.7399,
-42.1878,-21.1002,
-42.1878,-21.1002,
-42.1878,-21.1002,
-46.3178,-22.854,
-43.3854,-18.0025,
-43.3854,-18.0025,
-43.3854,-18.0025,
-43.3854,-18.0025,
-40.7605,-16.6348,
-40.7605,-16.6348,
-44.9004,-18.7507,
-42.0803,-19.1541,
-42.0803,-19.1541,
-43.0192,-19.2343,
-42.279,-20.726,
-42.279,-20.726,
-42.279,-20.726,
-45.4268,-20.4618,
-46.2371,-14.9446,
-44.4472,-19.5578,
-44.4472,-19.5578,
-44.2317,-17.3107,
-43.4896,-16.4827,
-41.4325,-18.0709,
-41.4325,-18.0709,
-41.9121,-18.5556,
-41.9121,-18.5556,
-41.9121,-18.5556,
-49.1984,-20.2748,
-42.5288,-16.1225,
-48.9355,-20.0259,
-43.125,-15.0829,
-43.692,-16.8481,
-43.692,-16.8481,
-41.2235,-18.9807,
-41.2235,-18.9807,
-43.7423,-18.4519,
-43.7423,-18.4519,
-41.9555,-18.8545,
-41.9555,-18.8545,
-42.8923,-16.5662,
-42.8923,-16.5662,
-47.7318,-18.5003,
-42.9312,-18.7713,
-42.9312,-18.7713,
-45.9152,-20.7631,
-43.0094,-20.5716,
-46.7964,-21.3009,
-47.0998,-17.7673,
-46.7081,-21.305,
-49.7876,-19.2143,
-43.9639,-21.433,
-43.9639,-21.433,
-46.5474,-19.4749,
-44.9046,-16.8591,
-47.1222,-20.4611,
-47.1222,-20.4611,
-44.0569,-20.0252,
-44.0569,-20.0252,
-44.9034,-16.214,
-45.7111,-20.1776,
-45.8308,-20.9402,
-42.2005,-15.4911,
-47.9155,-19.0341,
-44.9152,-21.4024,
-44.9152,-21.4024,
-42.1147,-19.5476,
-42.1147,-19.5476,
-42.1147,-19.5476,
-42.1147,-19.5476,
-42.1147,-19.5476,
-42.1147,-19.5476,
-42.1147,-19.5476,
-42.1147,-19.5476,
-41.7164,-19.7992,
-41.7164,-19.7992,
-41.7164,-19.7992,
-42.5476,-19.4703,
-42.5476,-19.4703,
-42.5476,-19.4703,
-49.9436,-18.6927,
-46.1915,-22.1013,
-46.1915,-22.1013,
-46.1915,-22.1013,
-43.2312,-19.6239,
-41.234,-18.5712,
-41.234,-18.5712,
-43.8038,-20.2501,
-43.3069,-17.0625,
-44.095,-15.089,
-44.095,-15.089,
-44.4875,-20.3947,
-44.4875,-20.3947,
-44.4875,-20.3947,
-41.6697,-17.4014,
-45.4598,-22.4225,
-45.4598,-22.4225,
-45.4598,-22.4225,
-45.4598,-22.4225,
-45.4598,-22.4225,
-42.8561,-17.8552,
-41.683,-18.035,
-41.683,-18.035,
-43.3182,-19.4158,
-47.046,-21.0758,
-44.868,-22.2859,
-44.868,-22.2859,
-44.9382,-22.2942,
-41.863,-19.1736,
-41.863,-19.1736,
-41.5017,-16.5571,
