CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
270030,"Arapiraca",270030,"Arapiraca",0,2
270410,"Lagoa_Da_Canoa",270030,"Arapiraca",0.27,2
270110,"Branquinha",270110,"Branquinha",0,2
270120,"Cacimbinhas",270120,"Cacimbinhas",0,2
270255,"Estrela_De_Alagoas",270120,"Cacimbinhas",0.44,2
270440,"Major_Isidoro",270120,"Cacimbinhas",0.29,2
270230,"Coruripe",270230,"Coruripe",0,2
270270,"Feliz_Deserto",270230,"Coruripe",0.5,2
270280,"Flexeiras",270280,"Flexeiras",0,2
270320,"Igreja_Nova",270320,"Igreja_Nova",0,2
270670,"Penedo",270320,"Igreja_Nova",0.49,2
270820,"Sao_Bras",270320,"Igreja_Nova",0.55,2
270430,"Maceio",270430,"Maceio",0,2
270790,"Santa_Luzia_Do_Norte",270430,"Maceio",0.53,2
270890,"Satuba",270430,"Maceio",0.47,2
270460,"Maravilha",270460,"Maravilha",0,2
270720,"Poco_Das_Trincheiras",270460,"Maravilha",0.25,2
270480,"Maribondo",270480,"Maribondo",0,2
270910,"Taquarana",270480,"Maribondo",0.45,2
270500,"Mata_Grande",270500,"Mata_Grande",0,2
270580,"Olho_Dagua_Do_Casado",270580,"Olho_Dagua_Do_Casado",0,2
270642,"Pariconha",270642,"Pariconha",0,2
270644,"Paripueira",270644,"Paripueira",0,2
270650,"Passo_De_Camaragibe",270650,"Passo_De_Camaragibe",0,2
270850,"Sao_Luis_Do_Quitunde",270650,"Passo_De_Camaragibe",0.37,2
270390,"Jundia",270730,"Porto_Calvo",0.48,2
270730,"Porto_Calvo",270730,"Porto_Calvo",0,2
270740,"Porto_De_Pedras",270730,"Porto_Calvo",0.44,2
270810,"Santana_Do_Mundau",270810,"Santana_Do_Mundau",0,2
270830,"Sao_Jose_Da_Laje",270830,"Sao_Jose_Da_Laje",0,2
270070,"Batalha",270840,"Sao_Jose_Da_Tapera",0.53,2
270840,"Sao_Jose_Da_Tapera",270840,"Sao_Jose_Da_Tapera",0,2
270895,"Senador_Rui_Palmeira",270840,"Sao_Jose_Da_Tapera",0.29,2
270060,"Barra_De_Sao_Miguel",270860,"Sao_Miguel_Dos_Campos",0.51,2
270780,"Roteiro",270860,"Sao_Miguel_Dos_Campos",0.52,2
270860,"Sao_Miguel_Dos_Campos",270860,"Sao_Miguel_Dos_Campos",0,2
270915,"Teotonio_Vilela",270860,"Sao_Miguel_Dos_Campos",0.54,2
270920,"Traipu",270920,"Traipu",0,2
270170,"Capela",270940,"Vicosa",0.49,2
270190,"Cha_Preta",270940,"Vicosa",0.37,2
270660,"Paulo_Jacinto",270940,"Vicosa",0.42,2
270940,"Vicosa",270940,"Vicosa",0,2
