NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	MRIUnit	Mammography	Radiotherapy
1	170035.00	0.00	7703.00	3.16	19.49	9.63	37.59	0.00	0.00	0.00
1	170040.00	0.00	7691.00	3.15	19.46	9.61	37.53	0.00	0.00	0.00
1	170070.00	0.00	9089.00	3.73	23.00	11.36	44.35	0.00	0.00	0.00
1	170100.00	0.00	19013.00	7.80	48.10	23.77	92.78	0.00	0.00	0.00
1	170110.00	0.00	5113.00	2.10	12.94	6.39	24.95	0.00	0.00	0.00
1	170130.00	0.00	6240.00	2.56	15.79	7.80	30.45	0.00	0.00	0.00
1	170190.00	0.00	7567.00	3.10	19.14	9.46	36.93	0.00	0.00	0.00
1	170200.00	0.00	9240.00	3.79	23.38	11.55	45.09	0.00	0.00	0.00
1	170210.00	0.00	191461.00	78.50	484.40	239.33	934.33	0.00	0.00	0.00
1	170220.00	0.00	38122.00	15.63	96.45	47.65	186.04	0.00	0.00	0.00
1	170230.00	0.00	7194.00	2.95	18.20	8.99	35.11	0.00	0.00	0.00
1	170240.00	0.00	11434.00	4.69	28.93	14.29	55.80	0.00	0.00	0.00
1	170255.00	0.00	33618.00	13.78	85.05	42.02	164.06	0.00	0.00	0.00
1	170270.00	0.00	4024.00	1.65	10.18	5.03	19.64	0.00	0.00	0.00
1	170300.00	0.00	11499.00	4.71	29.09	14.37	56.12	0.00	0.00	0.00
1	170305.00	0.00	3788.00	1.55	9.58	4.74	18.49	0.00	0.00	0.00
1	170307.00	0.00	4906.00	2.01	12.41	6.13	23.94	0.00	0.00	0.00
1	170310.00	0.00	6055.00	2.48	15.32	7.57	29.55	0.00	0.00	0.00
1	170320.00	0.00	4820.00	1.98	12.19	6.03	23.52	0.00	0.00	0.00
1	170370.00	0.00	5905.00	2.42	14.94	7.38	28.82	0.00	0.00	0.00
1	170380.00	0.00	17207.00	7.05	43.53	21.51	83.97	0.00	0.00	0.00
1	170384.00	0.00	10696.00	4.39	27.06	13.37	52.20	0.00	0.00	0.00
1	170388.00	0.00	2757.00	1.13	6.98	3.45	13.45	0.00	0.00	0.00
1	170389.00	0.00	4378.00	1.79	11.08	5.47	21.36	0.00	0.00	0.00
1	170390.00	0.00	5711.00	2.34	14.45	7.14	27.87	0.00	0.00	0.00
1	170410.00	0.00	3100.00	1.27	7.84	3.88	15.13	0.00	0.00	0.00
1	170460.00	0.00	1511.00	0.62	3.82	1.89	7.37	0.00	0.00	0.00
1	170550.00	0.00	37738.00	15.47	95.48	47.17	184.16	0.00	0.00	0.00
1	170560.00	0.00	4448.00	1.82	11.25	5.56	21.71	0.00	0.00	0.00
1	170600.00	0.00	5971.00	2.45	15.11	7.46	29.14	0.00	0.00	0.00
1	170610.00	0.00	7873.00	3.23	19.92	9.84	38.42	0.00	0.00	0.00
1	170700.00	0.00	29170.00	11.96	73.80	36.46	142.35	0.00	0.00	0.00
1	170710.00	0.00	10160.00	4.17	25.70	12.70	49.58	0.00	0.00	0.00
1	170720.00	0.00	7777.00	3.19	19.68	9.72	37.95	0.00	0.00	0.00
