NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
2,230020,"Acarau",197460,329.7582,236.952,495.6246,0,527.2182,1.303236,0.9873,0.612126,0.059238
2,230030,"Acopiara",196033,327.37511,235.2396,492.04283,0,523.40811,1.2938178,0.980165,0.6077023,0.0588099
2,230040,"Aiuaba",27114,45.28038,32.5368,68.05614,0,72.39438,0.1789524,0.13557,0.0840534,0.0081342
2,230070,"Alto_Santo",25342,42.32114,30.4104,63.60842,0,67.66314,0.1672572,0.12671,0.0785602,0.0076026
2,230090,"Apuiares",23480,39.2116,28.176,58.9348,0,62.6916,0.154968,0.1174,0.072788,0.007044
2,230100,"Aquiraz",500039,835.06513,600.0468,1255.09789,0,1335.10413,3.3002574,2.500195,1.5501209,0.1500117
2,230110,"Aracati",97545,162.90015,117.054,244.83795,0,260.44515,0.643797,0.487725,0.3023895,0.0292635
2,230120,"Aracoiaba",334380,558.4146,401.256,839.2938,0,892.7946,2.206908,1.6719,1.036578,0.100314
2,230160,"Assare",45217,75.51239,54.2604,113.49467,0,120.72939,0.2984322,0.226085,0.1401727,0.0135651
2,230170,"Aurora",51007,85.18169,61.2084,128.02757,0,136.18869,0.3366462,0.255035,0.1581217,0.0153021
2,230185,"Banabuiu",39305,65.63935,47.166,98.65555,0,104.94435,0.259413,0.196525,0.1218455,0.0117915
2,230190,"Barbalha",64880,108.3496,77.856,162.8488,0,173.2296,0.428208,0.3244,0.201128,0.019464
2,230220,"Beberibe",57617,96.22039,69.1404,144.61867,0,153.83739,0.3802722,0.288085,0.1786127,0.0172851
2,230270,"Campos_Sales",52805,88.18435,63.366,132.54055,0,140.98935,0.348513,0.264025,0.1636955,0.0158415
2,230280,"Caninde",84180,140.5806,101.016,211.2918,0,224.7606,0.555588,0.4209,0.260958,0.025254
2,230290,"Capistrano",62202,103.87734,74.6424,156.12702,0,166.07934,0.4105332,0.31101,0.1928262,0.0186606
2,230300,"Caridade",36769,61.40423,44.1228,92.29019,0,98.17323,0.2426754,0.183845,0.1139839,0.0110307
2,230330,"Carius",56784,94.82928,68.1408,142.52784,0,151.61328,0.3747744,0.28392,0.1760304,0.0170352
2,230350,"Cascavel",77115,128.78205,92.538,193.55865,0,205.89705,0.508959,0.385575,0.2390565,0.0231345
2,230360,"Catarina",22177,37.03559,26.6124,55.66427,0,59.21259,0.1463682,0.110885,0.0687487,0.0066531
2,230400,"Coreau",85886,143.42962,103.0632,215.57386,0,229.31562,0.5668476,0.42943,0.2662466,0.0257658
2,230410,"Crateus",121592,203.05864,145.9104,305.19592,0,324.65064,0.8025072,0.60796,0.3769352,0.0364776
2,230420,"Crato",141691,236.62397,170.0292,355.64441,0,378.31497,0.9351606,0.708455,0.4392421,0.0425073
2,230423,"Croata",19407,32.40969,23.2884,48.71157,0,51.81669,0.1280862,0.097035,0.0601617,0.0058221
2,230428,"Eusebio",449606,750.84202,539.5272,1128.51106,0,1200.44802,2.9673996,2.24803,1.3937786,0.1348818
2,230430,"Farias_Brito",20365,34.00955,24.438,51.11615,0,54.37455,0.134409,0.101825,0.0631315,0.0061095
2,230440,"Fortaleza",2850868,4760.94956,3421.0416,7155.67868,0,7611.81756,18.8157288,14.25434,8.8376908,0.8552604
2,230470,"Granja",213789,357.02763,256.5468,536.61039,0,570.81663,1.4110074,1.068945,0.6627459,0.0641367
2,230500,"Guaraciaba_Do_Norte",196435,328.04645,235.722,493.05185,0,524.48145,1.296471,0.982175,0.6089485,0.0589305
2,230520,"Hidrolandia",21951,36.65817,26.3412,55.09701,0,58.60917,0.1448766,0.109755,0.0680481,0.0065853
2,230523,"Horizonte",92172,153.92724,110.6064,231.35172,0,246.09924,0.6083352,0.46086,0.2857332,0.0276516
2,230535,"Icapui",21360,35.6712,25.632,53.6136,0,57.0312,0.140976,0.1068,0.066216,0.006408
2,230540,"Ico",73311,122.42937,87.9732,184.01061,0,195.74037,0.4838526,0.366555,0.2272641,0.0219933
2,230590,"Ipueiras",66266,110.66422,79.5192,166.32766,0,176.93022,0.4373556,0.33133,0.2054246,0.0198798
2,230610,"Iraucuba",82231,137.32577,98.6772,206.39981,0,219.55677,0.5427246,0.411155,0.2549161,0.0246693
2,230640,"Itapipoca",225423,376.45641,270.5076,565.81173,0,601.87941,1.4877918,1.127115,0.6988113,0.0676269
2,230650,"Itapiuna",21714,36.26238,26.0568,54.50214,0,57.97638,0.1433124,0.10857,0.0673134,0.0065142
2,230660,"Itatira",22419,37.43973,26.9028,56.27169,0,59.85873,0.1479654,0.112095,0.0694989,0.0067257
2,230670,"Jaguaretama",19524,32.60508,23.4288,49.00524,0,52.12908,0.1288584,0.09762,0.0605244,0.0058572
2,230690,"Jaguaribe",37457,62.55319,44.9484,94.01707,0,100.01019,0.2472162,0.187285,0.1161167,0.0112371
2,230710,"Jardim",29427,49.14309,35.3124,73.86177,0,78.57009,0.1942182,0.147135,0.0912237,0.0088281
2,230730,"Juazeiro_Do_Norte",322508,538.58836,387.0096,809.49508,0,861.09636,2.1285528,1.61254,0.9997748,0.0967524
2,230750,"Lavras_Da_Mangabeira",67402,112.56134,80.8824,169.17902,0,179.96334,0.4448532,0.33701,0.2089462,0.0202206
2,230760,"Limoeiro_Do_Norte",72229,120.62243,86.6748,181.29479,0,192.85143,0.4767114,0.361145,0.2239099,0.0216687
2,230763,"Madalena",80186,133.91062,96.2232,201.26686,0,214.09662,0.5292276,0.40093,0.2485766,0.0240558
2,230810,"Mauriti",93815,156.67105,112.578,235.47565,0,250.48605,0.619179,0.469075,0.2908265,0.0281445
2,230840,"Missao_Velha",38463,64.23321,46.1556,96.54213,0,102.69621,0.2538558,0.192315,0.1192353,0.0115389
2,230850,"Mombaca",47521,79.36007,57.0252,119.27771,0,126.88107,0.3136386,0.237605,0.1473151,0.0142563
2,230860,"Monsenhor_Tabosa",18515,30.92005,22.218,46.47265,0,49.43505,0.122199,0.092575,0.0573965,0.0055545
2,230930,"Nova_Russas",34796,58.10932,41.7552,87.33796,0,92.90532,0.2296536,0.17398,0.1078676,0.0104388
2,230940,"Novo_Oriente",53450,89.2615,64.14,134.1595,0,142.7115,0.35277,0.26725,0.165695,0.016035
2,230945,"Ocara",41927,70.01809,50.3124,105.23677,0,111.94509,0.2767182,0.209635,0.1299737,0.0125781
2,230950,"Oros",23158,38.67386,27.7896,58.12658,0,61.83186,0.1528428,0.11579,0.0717898,0.0069474
2,231020,"Paracuru",90987,151.94829,109.1844,228.37737,0,242.93529,0.6005142,0.454935,0.2820597,0.0272961
2,231030,"Parambu",33864,56.55288,40.6368,84.99864,0,90.41688,0.2235024,0.16932,0.1049784,0.0101592
2,231080,"Pereiro",40681,67.93727,48.8172,102.10931,0,108.61827,0.2684946,0.203405,0.1261111,0.0122043
2,231110,"Porteiras",87436,146.01812,104.9232,219.46436,0,233.45412,0.5770776,0.43718,0.2710516,0.0262308
2,231130,"Quixada",121888,203.55296,146.2656,305.93888,0,325.44096,0.8044608,0.60944,0.3778528,0.0365664
2,231140,"Quixeramobim",85293,142.43931,102.3516,214.08543,0,227.73231,0.5629338,0.426465,0.2644083,0.0255879
2,231150,"Quixere",23737,39.64079,28.4844,59.57987,0,63.37779,0.1566642,0.118685,0.0735847,0.0071211
2,231160,"Redencao",44056,73.57352,52.8672,110.58056,0,117.62952,0.2907696,0.22028,0.1365736,0.0132168
2,231170,"Reriutaba",40244,67.20748,48.2928,101.01244,0,107.45148,0.2656104,0.20122,0.1247564,0.0120732
2,231180,"Russas",204983,342.32161,245.9796,514.50733,0,547.30461,1.3528878,1.024915,0.6354473,0.0614949
2,231190,"Saboeiro",24954,41.67318,29.9448,62.63454,0,66.62718,0.1646964,0.12477,0.0773574,0.0074862
2,231195,"Salitre",17726,29.60242,21.2712,44.49226,0,47.32842,0.1169916,0.08863,0.0549506,0.0053178
2,231200,"Santana_Do_Acarau",121657,203.16719,145.9884,305.35907,0,324.82419,0.8029362,0.608285,0.3771367,0.0364971
2,231210,"Santana_Do_Cariri",35745,59.69415,42.894,89.71995,0,95.43915,0.235917,0.178725,0.1108095,0.0107235
2,231220,"Santa_Quiteria",47127,78.70209,56.5524,118.28877,0,125.82909,0.3110382,0.235635,0.1460937,0.0141381
2,231240,"Sao_Goncalo_Do_Amarante",52327,87.38609,62.7924,131.34077,0,139.71309,0.3453582,0.261635,0.1622137,0.0156981
2,231270,"Senador_Pompeu",107738,179.92246,129.2856,270.42238,0,287.66046,0.7110708,0.53869,0.3339878,0.0323214
2,231290,"Sobral",295910,494.1697,355.092,742.7341,0,790.0797,1.953006,1.47955,0.917321,0.088773
2,231310,"Tabuleiro_Do_Norte",45357,75.74619,54.4284,113.84607,0,121.10319,0.2993562,0.226785,0.1406067,0.0136071
2,231320,"Tamboril",39009,65.14503,46.8108,97.91259,0,104.15403,0.2574594,0.195045,0.1209279,0.0117027
2,231330,"Taua",63113,105.39871,75.7356,158.41363,0,168.51171,0.4165458,0.315565,0.1956503,0.0189339
2,231335,"Tejucuoca",20490,34.2183,24.588,51.4299,0,54.7083,0.135234,0.10245,0.063519,0.006147
2,231340,"Tiangua",95881,160.12127,115.0572,240.66131,0,256.00227,0.6328146,0.479405,0.2972311,0.0287643
2,231350,"Trairi",59897,100.02799,71.8764,150.34147,0,159.92499,0.3953202,0.299485,0.1856807,0.0179691
2,231360,"Ubajara",102338,170.90446,122.8056,256.86838,0,273.24246,0.6754308,0.51169,0.3172478,0.0307014
2,231375,"Umirim",56636,94.58212,67.9632,142.15636,0,151.21812,0.3737976,0.28318,0.1755716,0.0169908
2,231400,"Varzea_Alegre",71133,118.79211,85.3596,178.54383,0,189.92511,0.4694778,0.355665,0.2205123,0.0213399
