NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
2	230020	Acarau	197460.00	329.76	236.95	495.62	0.00	527.22	1.30	0.99	0.61	0.06
2	230030	Acopiara	196033.00	327.38	235.24	492.04	0.00	523.41	1.29	0.98	0.61	0.06
2	230040	Aiuaba	27114.00	45.28	32.54	68.06	0.00	72.39	0.18	0.14	0.08	0.01
2	230070	Alto_Santo	25342.00	42.32	30.41	63.61	0.00	67.66	0.17	0.13	0.08	0.01
2	230090	Apuiares	23480.00	39.21	28.18	58.93	0.00	62.69	0.15	0.12	0.07	0.01
2	230100	Aquiraz	500039.00	835.07	600.05	1255.10	0.00	1335.10	3.30	2.50	1.55	0.15
2	230110	Aracati	97545.00	162.90	117.05	244.84	0.00	260.45	0.64	0.49	0.30	0.03
2	230120	Aracoiaba	334380.00	558.41	401.26	839.29	0.00	892.79	2.21	1.67	1.04	0.10
2	230160	Assare	45217.00	75.51	54.26	113.49	0.00	120.73	0.30	0.23	0.14	0.01
2	230170	Aurora	51007.00	85.18	61.21	128.03	0.00	136.19	0.34	0.26	0.16	0.02
2	230185	Banabuiu	39305.00	65.64	47.17	98.66	0.00	104.94	0.26	0.20	0.12	0.01
2	230190	Barbalha	64880.00	108.35	77.86	162.85	0.00	173.23	0.43	0.32	0.20	0.02
2	230220	Beberibe	57617.00	96.22	69.14	144.62	0.00	153.84	0.38	0.29	0.18	0.02
2	230270	Campos_Sales	52805.00	88.18	63.37	132.54	0.00	140.99	0.35	0.26	0.16	0.02
2	230280	Caninde	84180.00	140.58	101.02	211.29	0.00	224.76	0.56	0.42	0.26	0.03
2	230290	Capistrano	62202.00	103.88	74.64	156.13	0.00	166.08	0.41	0.31	0.19	0.02
2	230300	Caridade	36769.00	61.40	44.12	92.29	0.00	98.17	0.24	0.18	0.11	0.01
