CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
270030,"Arapiraca",270030,"Arapiraca",0,3
270400,"Junqueiro",270030,"Arapiraca",0.53,3
270410,"Lagoa_Da_Canoa",270030,"Arapiraca",0.27,3
270630,"Palmeira_Dos_Indios",270030,"Arapiraca",0.77,3
270920,"Traipu",270030,"Arapiraca",0.93,3
270100,"Boca_Da_Mata",270100,"Boca_Da_Mata",0,3
270170,"Capela",270100,"Boca_Da_Mata",0.94,3
270860,"Sao_Miguel_Dos_Campos",270100,"Boca_Da_Mata",0.54,3
270230,"Coruripe",270230,"Coruripe",0,3
270240,"Delmiro_Gouveia",270240,"Delmiro_Gouveia",0,3
270500,"Mata_Grande",270240,"Delmiro_Gouveia",0.79,3
270710,"Piranhas",270240,"Delmiro_Gouveia",0.7,3
270380,"Joaquim_Gomes",270430,"Maceio",1.05,3
270430,"Maceio",270430,"Maceio",0,3
270770,"Rio_Largo",270430,"Maceio",0.59,3
270550,"Murici",270550,"Murici",0,3
270670,"Penedo",270670,"Penedo",0,3
270690,"Pilar",270690,"Pilar",0,3
270730,"Porto_Calvo",270730,"Porto_Calvo",0,3
270850,"Sao_Luis_Do_Quitunde",270730,"Porto_Calvo",0.81,3
270800,"Santana_Do_Ipanema",270800,"Santana_Do_Ipanema",0,3
270840,"Sao_Jose_Da_Tapera",270840,"Sao_Jose_Da_Tapera",0,3
270930,"Uniao_Dos_Palmares",270930,"Uniao_Dos_Palmares",0,3
