NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
3,130030,"Autazes",41880,83.3412,376.0824,105.1188,0,76.2216,0.833412,0.703584,0.653328,0.427176
3,130040,"Barcelos",29513,58.73087,265.02674,74.07763,0,53.71366,0.5873087,0.4958184,0.4604028,0.3010326
3,130050,"Barreirinha",34075,67.80925,305.9935,85.52825,0,62.0165,0.6780925,0.57246,0.53157,0.347565
3,130060,"Benjamin_Constant",66286,131.90914,595.24828,166.37786,0,120.64052,1.3190914,1.1136048,1.0340616,0.6761172
3,130070,"Boca_Do_Acre",36645,72.92355,329.0721,91.97895,0,66.6939,0.7292355,0.615636,0.571662,0.373779
3,130080,"Borba",43751,87.06449,392.88398,109.81501,0,79.62682,0.8706449,0.7350168,0.6825156,0.4462602
3,130100,"Carauari",102930,204.8307,924.3114,258.3543,0,187.3326,2.048307,1.729224,1.605708,1.049886
3,130110,"Careiro",73914,147.08886,663.74772,185.52414,0,134.52348,1.4708886,1.2417552,1.1530584,0.7539228
3,130115,"Careiro_Da_Varzea",31920,63.5208,286.6416,80.1192,0,58.0944,0.635208,0.536256,0.497952,0.325584
3,130120,"Coari",90891,180.87309,816.20118,228.13641,0,165.42162,1.8087309,1.5269688,1.4178996,0.9270882
3,130130,"Codajas",101428,201.84172,910.82344,254.58428,0,184.59896,2.0184172,1.7039904,1.5822768,1.0345656
3,130140,"Eirunepe",88145,175.40855,791.5421,221.24395,0,160.4239,1.7540855,1.480836,1.375062,0.899079
3,130170,"Humaita",58243,115.90357,523.02214,146.18993,0,106.00226,1.1590357,0.9784824,0.9085908,0.5940786
3,130180,"Ipixuna",48911,97.33289,439.22078,122.76661,0,89.01802,0.9733289,0.8217048,0.7630116,0.4988922
3,130190,"Itacoatiara",204401,406.75799,1835.52098,513.04651,0,372.00982,4.0675799,3.4339368,3.1886556,2.0848902
3,130240,"Labrea",48799,97.11001,438.21502,122.48549,0,88.81418,0.9711001,0.8198232,0.7612644,0.4977498
3,130250,"Manacapuru",124259,247.27541,1115.84582,311.89009,0,226.15138,2.4727541,2.0875512,1.9384404,1.2674418
3,130260,"Manaus",2365272,4706.89128,21240.14256,5936.83272,0,4304.79504,47.0689128,39.7365696,36.8982432,24.1257744
3,130270,"Manicore",59220,117.8478,531.7956,148.6422,0,107.7804,1.178478,0.994896,0.923832,0.604044
3,130290,"Maues",67684,134.69116,607.80232,169.88684,0,123.18488,1.3469116,1.1370912,1.0558704,0.6903768
3,130310,"Nova_Olinda_Do_Norte",39605,78.81395,355.6529,99.40855,0,72.0811,0.7881395,0.665364,0.617838,0.403971
3,130330,"Novo_Aripuana",50497,100.48903,453.46306,126.74747,0,91.90454,1.0048903,0.8483496,0.7877532,0.5150694
3,130340,"Parintins",144598,287.75002,1298.49004,362.94098,0,263.16836,2.8775002,2.4292464,2.2557288,1.4748996
3,130353,"Presidente_Figueiredo",38129,75.87671,342.39842,95.70379,0,69.39478,0.7587671,0.6405672,0.5948124,0.3889158
3,130356,"Rio_Preto_Da_Eva",35136,69.92064,315.52128,88.19136,0,63.94752,0.6992064,0.5902848,0.5481216,0.3583872
3,130380,"Sao_Gabriel_Da_Cachoeira",48336,96.18864,434.05728,121.32336,0,87.97152,0.9618864,0.8120448,0.7540416,0.4930272
3,130390,"Sao_Paulo_De_Olivenca",41540,82.6646,373.0292,104.2654,0,75.6028,0.826646,0.697872,0.648024,0.423708
3,130406,"Tabatinga",69553,138.41047,624.58594,174.57803,0,126.58646,1.3841047,1.1684904,1.0850268,0.7094406
3,130420,"Tefe",215572,428.98828,1935.83656,541.08572,0,392.34104,4.2898828,3.6216096,3.3629232,2.1988344
