CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
160005,"Serra_Do_Navio",160005,"Serra_Do_Navio",0,1
160010,"Amapa",160010,"Amapa",0,1
160015,"Pedra_Branca_Do_Amapari",160015,"Pedra_Branca_Do_Amapari",0,1
160020,"Calcoene",160020,"Calcoene",0,1
160021,"Cutias",160021,"Cutias",0,1
160023,"Ferreira_Gomes",160023,"Ferreira_Gomes",0,1
160025,"Itaubal",160025,"Itaubal",0,1
160027,"Laranjal_Do_Jari",160027,"Laranjal_Do_Jari",0,1
160030,"Macapa",160030,"Macapa",0,1
160050,"Oiapoque",160050,"Oiapoque",0,1
160053,"Porto_Grande",160053,"Porto_Grande",0,1
160055,"Pracuuba",160055,"Pracuuba",0,1
160040,"Mazagao",160060,"Santana",0.46,1
160060,"Santana",160060,"Santana",0,1
160070,"Tartarugalzinho",160070,"Tartarugalzinho",0,1
160080,"Vitoria_Do_Jari",160080,"Vitoria_Do_Jari",0,1
