NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
2,160005,"Serra_Do_Navio",5723,9.55741,6.8676,14.36473,0,15.28041,0.0377718,0.028615,0.0177413,0.0017169
2,160010,"Amapa",9738,16.26246,11.6856,24.44238,0,26.00046,0.0642708,0.04869,0.0301878,0.0029214
2,160015,"Pedra_Branca_Do_Amapari",17182,28.69394,20.6184,43.12682,0,45.87594,0.1134012,0.08591,0.0532642,0.0051546
2,160020,"Calcoene",11784,19.67928,14.1408,29.57784,0,31.46328,0.0777744,0.05892,0.0365304,0.0035352
2,160021,"Cutias",6325,10.56275,7.59,15.87575,0,16.88775,0.041745,0.031625,0.0196075,0.0018975
2,160023,"Ferreira_Gomes",8187,13.67229,9.8244,20.54937,0,21.85929,0.0540342,0.040935,0.0253797,0.0024561
2,160025,"Itaubal",5810,9.7027,6.972,14.5831,0,15.5127,0.038346,0.02905,0.018011,0.001743
2,160027,"Laranjal_Do_Jari",53330,89.0611,63.996,133.8583,0,142.3911,0.351978,0.26665,0.165323,0.015999
2,160030,"Macapa",532408,889.12136,638.8896,1336.34408,0,1421.52936,3.5138928,2.66204,1.6504648,0.1597224
2,160050,"Oiapoque",28718,47.95906,34.4616,72.08218,0,76.67706,0.1895388,0.14359,0.0890258,0.0086154
2,160053,"Porto_Grande",23172,38.69724,27.8064,58.16172,0,61.86924,0.1529352,0.11586,0.0718332,0.0069516
2,160060,"Santana",151877,253.63459,182.2524,381.21127,0,405.51159,1.0023882,0.759385,0.4708187,0.0455631
2,160070,"Tartarugalzinho",23564,39.35188,28.2768,59.14564,0,62.91588,0.1555224,0.11782,0.0730484,0.0070692
2,160080,"Vitoria_Do_Jari",16831,28.10777,20.1972,42.24581,0,44.93877,0.1110846,0.084155,0.0521761,0.0050493
