CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
290010,"Abaira",290010,"Abaira",0,1
290020,"Abare",290020,"Abare",0,1
290035,"Adustina",290035,"Adustina",0,1
290050,"Erico_Cardoso",290050,"Erico_Cardoso",0,1
290070,"Alagoinhas",290070,"Alagoinhas",0,1
290205,"Aracas",290070,"Alagoinhas",0.47,1
290220,"Aramari",290070,"Alagoinhas",0.2,1
292410,"Pedrao",290070,"Alagoinhas",0.5,1
290100,"Amargosa",290100,"Amargosa",0,1
290110,"Amelia_Rodrigues",290110,"Amelia_Rodrigues",0,1
293170,"Terra_Nova",290110,"Amelia_Rodrigues",0.43,1
290115,"America_Dourada",290115,"America_Dourada",0,1
290120,"Anage",290120,"Anage",0,1
290130,"Andarai",290130,"Andarai",0,1
290135,"Andorinha",290135,"Andorinha",0,1
290140,"Angical",290140,"Angical",0,1
290150,"Anguera",290150,"Anguera",0,1
290160,"Antas",290160,"Antas",0,1
292305,"Novo_Triunfo",290160,"Antas",0.5,1
293076,"Sitio_Do_Quinto",290160,"Antas",0.31,1
290200,"Aracatu",290200,"Aracatu",0,1
290240,"Aurelino_Leal",290240,"Aurelino_Leal",0,1
290250,"Baianopolis",290250,"Baianopolis",0,1
290260,"Baixa_Grande",290260,"Baixa_Grande",0,1
290265,"Banzae",290265,"Banzae",0,1
290270,"Barra",290270,"Barra",0,1
290280,"Barra_Da_Estiva",290280,"Barra_Da_Estiva",0,1
290290,"Barra_Do_Choca",290290,"Barra_Do_Choca",0,1
290320,"Barreiras",290320,"Barreiras",0,1
290323,"Barro_Alto",290323,"Barro_Alto",0,1
290327,"Barrocas",290327,"Barrocas",0,1
290330,"Barro_Preto",290330,"Barro_Preto",0,1
291620,"Itape",290330,"Barro_Preto",0.31,1
290340,"Belmonte",290340,"Belmonte",0,1
290350,"Belo_Campo",290350,"Belo_Campo",0,1
293180,"Tremedal",290350,"Belo_Campo",0.33,1
290370,"Boa_Nova",290370,"Boa_Nova",0,1
290380,"Boa_Vista_Do_Tupim",290380,"Boa_Vista_Do_Tupim",0,1
290390,"Bom_Jesus_Da_Lapa",290390,"Bom_Jesus_Da_Lapa",0,1
290395,"Bom_Jesus_Da_Serra",290395,"Bom_Jesus_Da_Serra",0,1
290400,"Boninal",290400,"Boninal",0,1
290405,"Bonito",290405,"Bonito",0,1
290410,"Boquira",290410,"Boquira",0,1
290430,"Brejoes",290430,"Brejoes",0,1
290440,"Brejolandia",290440,"Brejolandia",0,1
290450,"Brotas_De_Macaubas",290450,"Brotas_De_Macaubas",0,1
290460,"Brumado",290460,"Brumado",0,1
290475,"Buritirama",290475,"Buritirama",0,1
290480,"Caatiba",290480,"Caatiba",0,1
290500,"Cacule",290500,"Cacule",0,1
291200,"Ibiassuce",290500,"Cacule",0.45,1
290515,"Caetanos",290515,"Caetanos",0,1
290520,"Caetite",290520,"Caetite",0,1
290530,"Cafarnaum",290530,"Cafarnaum",0,1
290540,"Cairu",290540,"Cairu",0,1
290560,"Camacan",290560,"Camacan",0,1
292805,"Santa_Luzia",290560,"Camacan",0.41,1
290590,"Campo_Alegre_De_Lourdes",290590,"Campo_Alegre_De_Lourdes",0,1
290180,"Antonio_Goncalves",290600,"Campo_Formoso",0.21,1
290600,"Campo_Formoso",290600,"Campo_Formoso",0,1
290610,"Canapolis",290610,"Canapolis",0,1
290620,"Canarana",290620,"Canarana",0,1
290630,"Canavieiras",290630,"Canavieiras",0,1
290650,"Candeias",290650,"Candeias",0,1
290660,"Candiba",290660,"Candiba",0,1
290670,"Candido_Sales",290670,"Candido_Sales",0,1
290680,"Cansancao",290680,"Cansancao",0,1
290682,"Canudos",290682,"Canudos",0,1
290685,"Capela_Do_Alto_Alegre",290685,"Capela_Do_Alto_Alegre",0,1
292273,"Nova_Fatima",290685,"Capela_Do_Alto_Alegre",0.41,1
290687,"Capim_Grosso",290687,"Capim_Grosso",0,1
291125,"Gaviao",290687,"Capim_Grosso",0.45,1
292593,"Quixabeira",290687,"Capim_Grosso",0.32,1
292937,"Sao_Jose_Do_Jacuipe",290687,"Capim_Grosso",0.26,1
290689,"Caraibas",290689,"Caraibas",0,1
290690,"Caravelas",290690,"Caravelas",0,1
290710,"Carinhanha",290710,"Carinhanha",0,1
290720,"Casa_Nova",290720,"Casa_Nova",0,1
290750,"Catu",290750,"Catu",0,1
292950,"Sao_Sebastiao_Do_Passe",290750,"Catu",0.49,1
290420,"Botupora",290755,"Caturama",0.49,1
290755,"Caturama",290755,"Caturama",0,1
290760,"Central",290760,"Central",0,1
290770,"Chorrocho",290770,"Chorrocho",0,1
290780,"Cicero_Dantas",290780,"Cicero_Dantas",0,1
291075,"Fatima",290780,"Cicero_Dantas",0.41,1
291185,"Heliopolis",290780,"Cicero_Dantas",0.41,1
290090,"Almadina",290800,"Coaraci",0.34,1
290800,"Coaraci",290800,"Coaraci",0,1
291660,"Itapitanga",290800,"Coaraci",0.48,1
290810,"Cocos",290810,"Cocos",0,1
290490,"Cachoeira",290820,"Conceicao_Da_Feira",0.25,1
