CODIGO_O	                        ORIGEM	CODIGO_D	                       DESTINO	      DISTANCIA
290020	                         Abare	290020	                         Abare	    0.00
290770	                     Chorrocho	290020	                         Abare	    1.23
292710	                       Rodelas	290020	                         Abare	    1.22
290070	                    Alagoinhas	290070	                    Alagoinhas	    0.00
290100	                      Amargosa	290100	                      Amargosa	    0.00
290115	               America_Dourada	290115	               America_Dourada	    0.00
290120	                         Anage	290120	                         Anage	    0.00
290689	                      Caraibas	290120	                         Anage	    0.56
290130	                       Andarai	290130	                       Andarai	    0.00
291430	                       Iramaia	290130	                       Andarai	    1.69
291500	                        Itaete	290130	                       Andarai	    1.09
292190	                        Mucuge	290130	                       Andarai	    0.78
292285	                 Nova_Redencao	290130	                       Andarai	    0.96
290140	                       Angical	290140	                       Angical	    0.00
290160	                         Antas	290160	                         Antas	    0.00
290920	               Coronel_Joao_Sa	290160	                         Antas	    1.50
290200	                       Aracatu	290200	                       Aracatu	    0.00
291995	                      Maetinga	290200	                       Aracatu	    0.59
290260	                  Baixa_Grande	290260	                  Baixa_Grande	    0.00
290270	                         Barra	290270	                         Barra	    0.00
292160	                       Morpara	290270	                         Barra	    2.50
290280	               Barra_Da_Estiva	290280	               Barra_Da_Estiva	    0.00
291220	                      Ibicoara	290280	               Barra_Da_Estiva	    0.67
291720	                        Ituacu	290280	               Barra_Da_Estiva	    0.50
290290	                Barra_Do_Choca	290290	                Barra_Do_Choca	    0.00
290480	                       Caatiba	290290	                Barra_Do_Choca	    0.65
290320	                     Barreiras	290320	                     Barreiras	    0.00
290340	                      Belmonte	290340	                      Belmonte	    0.00
290350	                    Belo_Campo	290350	                    Belo_Campo	    0.00
290380	            Boa_Vista_Do_Tupim	290380	            Boa_Vista_Do_Tupim	    0.00
290390	             Bom_Jesus_Da_Lapa	290390	             Bom_Jesus_Da_Lapa	    0.00
290400	                       Boninal	290400	                       Boninal	    0.00
290405	                        Bonito	290405	                        Bonito	    0.00
290410	                       Boquira	290410	                       Boquira	    0.00
290430	                       Brejoes	290430	                       Brejoes	    0.00
290460	                       Brumado	290460	                       Brumado	    0.00
292030	             Malhada_De_Pedras	290460	                       Brumado	    0.65
290475	                    Buritirama	290475	                    Buritirama	    0.00
292045	                      Mansidao	290475	                    Buritirama	    1.89
290500	                        Cacule	290500	                        Cacule	    0.00
290520	                       Caetite	290520	                       Caetite	    0.00
290530	                     Cafarnaum	290530	                     Cafarnaum	    0.00
290560	                       Camacan	290560	                       Camacan	    0.00
291855	                       Jussari	290560	                       Camacan	    0.57
292090	                       Mascote	290560	                       Camacan	    0.61
292390	                    Pau_Brasil	290560	                       Camacan	    0.41
290590	       Campo_Alegre_De_Lourdes	290590	       Campo_Alegre_De_Lourdes	    0.00
290600	                 Campo_Formoso	290600	                 Campo_Formoso	    0.00
290323	                    Barro_Alto	290620	                      Canarana	    0.37
290620	                      Canarana	290620	                      Canarana	    0.00
290630	                   Canavieiras	290630	                   Canavieiras	    0.00
290650	                      Candeias	290650	                      Candeias	    0.00
290660	                       Candiba	290660	                       Candiba	    0.00
290670	                 Candido_Sales	290670	                 Candido_Sales	    0.00
290680	                     Cansancao	290680	                     Cansancao	    0.00
290682	                       Canudos	290682	                       Canudos	    0.00
291990	                      Macurure	290682	                       Canudos	    1.50
290685	         Capela_Do_Alto_Alegre	290685	         Capela_Do_Alto_Alegre	    0.00
292465	                      Pintadas	290685	         Capela_Do_Alto_Alegre	    0.83
290687	                  Capim_Grosso	290687	                  Capim_Grosso	    0.00
290690	                     Caravelas	290690	                     Caravelas	    0.00
290710	                    Carinhanha	290710	                    Carinhanha	    0.00
290720	                     Casa_Nova	290720	                     Casa_Nova	    0.00
290750	                          Catu	290750	                          Catu	    0.00
292100	              Mata_De_Sao_Joao	290750	                          Catu	    0.48
290760	                       Central	290760	                       Central	    0.00
290780	                 Cicero_Dantas	290780	                 Cicero_Dantas	    0.00
290800	                       Coaraci	290800	                       Coaraci	    0.00
290810	                         Cocos	290810	                         Cocos	    0.00
291077	                 Feira_Da_Mata	290810	                         Cocos	    1.17
290830	          Conceicao_Do_Almeida	290830	          Conceicao_Do_Almeida	    0.00
290860	                         Conde	290860	                         Conde	    0.00
290870	                      Condeuba	290870	                      Condeuba	    0.00
292470	                        Piripa	290870	                      Condeuba	    0.52
290890	              Coracao_De_Maria	290890	              Coracao_De_Maria	    0.00
290910	                        Coribe	290910	                        Coribe	    0.00
291735	                     Jaborandi	290910	                        Coribe	    0.49
290930	                    Correntina	290930	                    Correntina	    0.00
290250	                   Baianopolis	290970	                   Cristopolis	    0.54
290940	                      Cotegipe	290970	                   Cristopolis	    0.58
290970	                   Cristopolis	290970	                   Cristopolis	    0.00
293345	                     Wanderley	290970	                   Cristopolis	    0.99
290990	                        Curaca	290990	                        Curaca	    0.00
291010	                   Dom_Basilio	291010	                   Dom_Basilio	    0.00
291040	                  Encruzilhada	291040	                  Encruzilhada	    0.00
292665	             Ribeirao_Do_Largo	291040	                  Encruzilhada	    0.81
291050	                    Entre_Rios	291050	                    Entre_Rios	    0.00
291070	             Euclides_Da_Cunha	291070	             Euclides_Da_Cunha	    0.00
291072	                     Eunapolis	291072	                     Eunapolis	    0.00
291465	                       Itabela	291072	                     Eunapolis	    0.39
291530	                    Itagimirim	291072	                     Eunapolis	    0.46
291080	              Feira_De_Santana	291080	              Feira_De_Santana	    0.00
291085	                    Filadelfia	291085	                    Filadelfia	    0.00
292525	                    Ponto_Novo	291085	                    Filadelfia	    0.38
291120	                         Gandu	291120	                         Gandu	    0.00
291570	                       Itamari	291120	                         Gandu	    0.52
293350	           Wenceslau_Guimaraes	291120	                         Gandu	    0.13
291170	                      Guanambi	291170	                      Guanambi	    0.00
291190	                          Iacu	291190	                          Iacu	    0.00
292080	             Marcionilio_Souza	291190	                          Iacu	    0.85
290330	                   Barro_Preto	291210	                      Ibicarai	    0.44
291210	                      Ibicarai	291210	                      Ibicarai	    0.00
291230	                        Ibicui	291230	                        Ibicui	    0.00
292780	         Santa_Cruz_Da_Vitoria	291230	                        Ibicui	    0.54
291250	                    Ibipitanga	291250	                    Ibipitanga	    0.00
291300	                      Ibitiara	291300	                      Ibitiara	    0.00
291240	                       Ibipeba	291310	                       Ibitita	    0.20
291310	                       Ibitita	291310	                       Ibitita	    0.00
291320	                     Ibotirama	291320	                     Ibotirama	    0.00
292225	       Muquem_De_Sao_Francisco	291320	                     Ibotirama	    0.98
291340	                       Igapora	291340	                       Igapora	    0.00
292105	                        Matina	291340	                       Igapora	    0.45
291345	                     Igrapiuna	291345	                     Igrapiuna	    0.00
291360	                        Ilheus	291360	                        Ilheus	    0.00
291370	                     Inhambupe	291370	                     Inhambupe	    0.00
290150	                       Anguera	291380	                      Ipecaeta	    0.66
291380	                      Ipecaeta	291380	                      Ipecaeta	    0.00
291000	                   Dario_Meira	291390	                         Ipiau	    0.71
291390	                         Ipiau	291390	                         Ipiau	    0.00
291830	                       Jitauna	291390	                         Ipiau	    0.40
291400	                         Ipira	291400	                         Ipira	    0.00
291440	                      Iraquara	291440	                      Iraquara	    0.00
291450	                         Irara	291450	                         Irara	    0.00
292830	                  Santanopolis	291450	                         Irara	    0.21
291460	                         Irece	291460	                         Irece	    0.00
291835	                  Joao_Dourado	291460	                         Irece	    0.47
292560	              Presidente_Dutra	291460	                         Irece	    0.36
291470	                     Itaberaba	291470	                     Itaberaba	    0.00
291480	                       Itabuna	291480	                       Itabuna	    0.00
291490	                       Itacare	291490	                       Itacare	    0.00
292070	                         Marau	291490	                       Itacare	    0.92
291130	                Gentio_Do_Ouro	291535	             Itaguacu_Da_Bahia	    1.09
291535	             Itaguacu_Da_Bahia	291535	             Itaguacu_Da_Bahia	    0.00
293360	                   Xique_Xique	291535	             Itaguacu_Da_Bahia	    0.83
291550	                      Itajuipe	291550	                      Itajuipe	    0.00
291560	                     Itamaraju	291560	                     Itamaraju	    0.00
291580	                        Itambe	291580	                        Itambe	    0.00
291600	                       Itanhem	291600	                       Itanhem	    0.00
291845	                      Jucurucu	291600	                       Itanhem	    1.85
291610	                     Itaparica	291610	                     Itaparica	    0.00
291640	                    Itapetinga	291640	                    Itapetinga	    0.00
291680	                     Itarantim	291680	                     Itarantim	    0.00
292000	                   Maiquinique	291680	                     Itarantim	    0.47
292540	                     Potiragua	291680	                     Itarantim	    0.45
291685	                        Itatim	291685	                        Itatim	    0.00
292130	                      Milagres	291685	                        Itatim	    0.40
292850	               Santa_Teresinha	291685	                        Itatim	    0.41
291420	                       Irajuba	291690	                       Itirucu	    0.69
291690	                       Itirucu	291690	                       Itirucu	    0.00
291700	                        Itiuba	291700	                        Itiuba	    0.00
291710	                       Itororo	291710	                       Itororo	    0.00
291750	                      Jacobina	291750	                      Jacobina	    0.00
292140	                     Mirangaba	291750	                      Jacobina	    0.52
291760	                    Jaguaquara	291760	                    Jaguaquara	    0.00
291800	                        Jequie	291800	                        Jequie	    0.00
291810	                     Jeremoabo	291810	                     Jeremoabo	    0.00
292420	               Pedro_Alexandre	291810	                     Jeremoabo	    1.14
