NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
3,290020,"Abare",43337,86.24063,389.16626,108.77587,0,78.87334,0.8624063,0.7280616,0.6760572,0.4420374
3,290100,"Amargosa",190137,378.37263,1707.43026,477.24387,0,346.04934,3.7837263,3.1943016,2.9661372,1.9393974
3,290120,"Anage",61058,121.50542,548.30084,153.25558,0,111.12556,1.2150542,1.0257744,0.9525048,0.6227916
3,290160,"Antas",142795,284.16205,1282.2991,358.41545,0,259.8869,2.8416205,2.398956,2.227602,1.456509
3,290270,"Barra",66625,132.58375,598.2925,167.22875,0,121.2575,1.3258375,1.1193,1.03935,0.679575
3,290280,"Barra_Da_Estiva",63687,126.73713,571.90926,159.85437,0,115.91034,1.2673713,1.0699416,0.9935172,0.6496074
3,290320,"Barreiras",290446,577.98754,2608.20508,729.01946,0,528.61172,5.7798754,4.8794928,4.5309576,2.9625492
3,290340,"Belmonte",25037,49.82363,224.83226,62.84287,0,45.56734,0.4982363,0.4206216,0.3905772,0.2553774
3,290350,"Belo_Campo",36590,72.8141,328.5782,91.8409,0,66.5938,0.728141,0.614712,0.570804,0.373218
3,290390,"Bom_Jesus_Da_Lapa",87981,175.08219,790.06938,220.83231,0,160.12542,1.7508219,1.4780808,1.3725036,0.8974062
3,290460,"Brumado",118814,236.43986,1066.94972,298.22314,0,216.24148,2.3643986,1.9960752,1.8534984,1.2119028
3,290475,"Buritirama",37332,74.29068,335.24136,93.70332,0,67.94424,0.7429068,0.6271776,0.5823792,0.3807864
3,290500,"Cacule",77377,153.98023,694.84546,194.21627,0,140.82614,1.5398023,1.2999336,1.2070812,0.7892454
3,290520,"Caetite",71632.9999999998,142.54967,643.264339999998,179.79883,0,130.37206,1.4254967,1.2034344,1.1174748,0.7306566
3,290560,"Camacan",98496.0000000019,196.007040000004,884.494080000017,247.224960000005,0,179.262720000003,1.9600704,1.6547328,1.5365376,1.0046592
3,290590,"Campo_Alegre_De_Lourdes",31110,61.9089,279.3678,78.0861,0,56.6202,0.619089,0.522648,0.485316,0.317322
3,290620,"Canarana",94047,187.15353,844.54206,236.05797,0,171.16554,1.8715353,1.5799896,1.4671332,0.9592794
3,290670,"Candido_Sales",27322,54.37078,245.35156,68.57822,0,49.72604,0.5437078,0.4590096,0.4262232,0.2786844
3,290680,"Cansancao",79084,157.37716,710.17432,198.50084,0,143.93288,1.5737716,1.3286112,1.2337104,0.8066568
3,290687,"Capim_Grosso",126329,251.39471,1134.43442,317.08579,0,229.91878,2.5139471,2.1223272,1.9707324,1.2885558
3,290710,"Carinhanha",61223,121.83377,549.78254,153.66973,0,111.42586,1.2183377,1.0285464,0.9550788,0.6244746
3,290720,"Casa_Nova",76971.9999999999,153.17428,691.208559999999,193.19972,0,140.08904,1.5317428,1.2931296,1.2007632,0.7851144
3,290750,"Catu",361438,719.26162,3245.71324,907.20938,0,657.81716,7.1926162,6.0721584,5.6384328,3.6866676
3,290800,"Coaraci",35971,71.58229,323.01958,90.28721,0,65.46722,0.7158229,0.6043128,0.5611476,0.3669042
3,290810,"Cocos",50853,101.19747,456.65994,127.64103,0,92.55246,1.0119747,0.8543304,0.7933068,0.5187006
3,290830,"Conceicao_Do_Almeida",60170,119.7383,540.3266,151.0267,0,109.5094,1.197383,1.010856,0.938652,0.613734
3,290860,"Conde",27643,55.00957,248.23414,69.38393,0,50.31026,0.5500957,0.4644024,0.4312308,0.2819586
3,290870,"Condeuba",39750,79.1025,356.955,99.7725,0,72.345,0.791025,0.6678,0.6201,0.40545
3,290930,"Correntina",34601,68.85599,310.71698,86.84851,0,62.97382,0.6885599,0.5812968,0.5397756,0.3529302
3,290990,"Curaca",37090,73.8091,333.0682,93.0959,0,67.5038,0.738091,0.623112,0.578604,0.378318
3,291040,"Encruzilhada",25774,51.29026,231.45052,64.69274,0,46.90868,0.5129026,0.4330032,0.4020744,0.2628948
3,291070,"Euclides_Da_Cunha",172540,343.3546,1549.4092,433.0754,0,314.0228,3.433546,2.898672,2.691624,1.759908
3,291072,"Eunapolis",383093,762.35507,3440.17514,961.56343,0,697.22926,7.6235507,6.4359624,5.9762508,3.9075486
3,291080,"Feira_De_Santana",1118353,2225.52247,10042.80994,2807.06603,0,2035.40246,22.2552247,18.7883304,17.4463068,11.4072006
3,291120,"Gandu",196480,390.9952,1764.3904,493.1648,0,357.5936,3.909952,3.300864,3.065088,2.004096
3,291170,"Guanambi",141470,281.5253,1270.4006,355.0897,0,257.4754,2.815253,2.376696,2.206932,1.442994
3,291320,"Ibotirama",75476,150.19724,677.77448,189.44476,0,137.36632,1.5019724,1.2679968,1.1774256,0.7698552
3,291360,"Ilheus",177792,353.806080000001,1596.57216,446.257920000001,0,323.581440000001,3.5380608,2.9869056,2.7735552,1.8134784
3,291400,"Ipira",64457,128.26943,578.82386,161.78707,0,117.31174,1.2826943,1.0828776,1.0055292,0.6574614
