CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
320010,"Afonso_Claudio",320010,"Afonso_Claudio",0,2
320316,"Laranja_Da_Terra",320010,"Afonso_Claudio",0.71,2
320060,"Aracruz",320060,"Aracruz",0,2
320313,"Joao_Neiva",320060,"Aracruz",0.38,2
320080,"Baixo_Guandu",320080,"Baixo_Guandu",0,2
320013,"Aguia_Branca",320090,"Barra_De_Sao_Francisco",0.66,2
320016,"Agua_Doce_Do_Norte",320090,"Barra_De_Sao_Francisco",0.56,2
320090,"Barra_De_Sao_Francisco",320090,"Barra_De_Sao_Francisco",0,2
320120,"Cachoeiro_De_Itapemirim",320120,"Cachoeiro_De_Itapemirim",0,2
320430,"Presidente_Kennedy",320120,"Cachoeiro_De_Itapemirim",0.8,2
320503,"Vargem_Alta",320120,"Cachoeiro_De_Itapemirim",0.58,2
320130,"Cariacica",320130,"Cariacica",0,2
320140,"Castelo",320140,"Castelo",0,2
320150,"Colatina",320150,"Colatina",0,2
320335,"Marilandia",320150,"Colatina",0.53,2
320160,"Conceicao_Da_Barra",320160,"Conceicao_Da_Barra",0,2
320115,"Brejetuba",320170,"Conceicao_Do_Castelo",0.69,2
320170,"Conceicao_Do_Castelo",320170,"Conceicao_Do_Castelo",0,2
320190,"Domingos_Martins",320190,"Domingos_Martins",0,2
320210,"Ecoporanga",320210,"Ecoporanga",0,2
320225,"Governador_Lindenberg",320225,"Governador_Lindenberg",0,2
320435,"Rio_Bananal",320225,"Governador_Lindenberg",0.44,2
320200,"Dores_Do_Rio_Preto",320230,"Guacui",0.52,2
320230,"Guacui",320230,"Guacui",0,2
320480,"Sao_Jose_Do_Calcado",320230,"Guacui",0.6,2
320240,"Guarapari",320240,"Guarapari",0,2
320030,"Alfredo_Chaves",320260,"Iconha",0.67,2
320260,"Iconha",320260,"Iconha",0,2
320280,"Itapemirim",320280,"Itapemirim",0,2
320420,"Piuma",320280,"Itapemirim",0.62,2
320245,"Ibatiba",320300,"Iuna",0.44,2
320255,"Ibitirama",320300,"Iuna",0.61,2
320300,"Iuna",320300,"Iuna",0,2
320320,"Linhares",320320,"Linhares",0,2
320330,"Mantenopolis",320330,"Mantenopolis",0,2
320050,"Apiaca",320340,"Mimoso_Do_Sul",0.7,2
320340,"Mimoso_Do_Sul",320340,"Mimoso_Do_Sul",0,2
320380,"Muqui",320340,"Mimoso_Do_Sul",0.3,2
320350,"Montanha",320350,"Montanha",0,2
320370,"Muniz_Freire",320370,"Muniz_Freire",0,2
320390,"Nova_Venecia",320390,"Nova_Venecia",0,2
320515,"Vila_Pavao",320390,"Nova_Venecia",0.53,2
320035,"Alto_Rio_Novo",320400,"Pancas",0.59,2
320400,"Pancas",320400,"Pancas",0,2
320405,"Pedro_Canario",320405,"Pedro_Canario",0,2
320410,"Pinheiros",320410,"Pinheiros",0,2
320290,"Itarana",320455,"Santa_Maria_De_Jetiba",0.6,2
320455,"Santa_Maria_De_Jetiba",320455,"Santa_Maria_De_Jetiba",0,2
320450,"Santa_Leopoldina",320460,"Santa_Teresa",0.56,2
320460,"Santa_Teresa",320460,"Santa_Teresa",0,2
320470,"Sao_Gabriel_Da_Palha",320470,"Sao_Gabriel_Da_Palha",0,2
320305,"Jaguare",320490,"Sao_Mateus",0.6,2
320490,"Sao_Mateus",320490,"Sao_Mateus",0,2
320500,"Serra",320500,"Serra",0,2
320506,"Venda_Nova_Do_Imigrante",320506,"Venda_Nova_Do_Imigrante",0,2
320520,"Vila_Velha",320520,"Vila_Velha",0,2
320530,"Vitoria",320530,"Vitoria",0,2
